year,trop_ADV eu_VERB,trop_ADV bu_VERB
1800,3.144164395507687e-08,2.829747991484055e-08
1801,3.095537337571841e-08,3.333655484993869e-08
1802,1.3427040812530322e-08,5.594600338554301e-08
1803,2.5354410126965377e-08,2.3404069793286908e-08
1804,1.4831105232815389e-08,1.4831105232815389e-08
1805,6.822906328807221e-08,2.842877755426798e-08
1806,3.458002950651462e-08,1.729001475325731e-08
1807,1.7081731584767113e-08,4.555128185756985e-08
1808,2.2660739062985158e-08,7.024829073998262e-08
1809,8.584316191218022e-08,2.9367397402779716e-08
1810,2.106114038724627e-08,1.4040760554223652e-08
1811,4.262030373070047e-08,7.521229861140455e-09
1812,6.934741492159446e-08,5.3344166417446104e-08
1813,3.4508900625951355e-08,7.189353823378042e-08
1814,3.1466772298927026e-08,1.8880061958270744e-08
1815,2.966945977789237e-08,2.4275012222574333e-08
1816,3.244645441213834e-08,4.8669683394564345e-08
1817,5.60474440192138e-08,4.670620334934483e-09
1818,1.1921176934492905e-08,3.457141417584353e-08
1819,5.175525075173937e-08,2.794783426907088e-08
1820,5.102586797534059e-08,4.865257352548724e-08
1821,2.070912508145284e-08,1.972297702934611e-08
1822,2.3058916553964082e-08,2.8071724500478012e-08
1823,2.8659792761231984e-08,2.569498569471307e-08
1824,1.2631669044083083e-08,1.2631669044083083e-08
1825,2.1133063299316746e-08,6.339919167430708e-08
1826,2.4662355713189754e-08,3.082794464148719e-08
1827,1.3825909306319772e-08,1.7512819638909605e-08
1828,1.0089530988466322e-08,1.4675682002973645e-08
1829,1.800366966620004e-08,1.800366966620004e-08
1830,2.2961039292113128e-08,3.026682549034376e-08
1831,2.0268567268999504e-08,6.392394169552063e-08
1832,2.0294953273491956e-08,2.0294953273491956e-08
1833,1.50587169400751e-08,5.21263281427764e-08
1834,1.213489042584115e-08,1.8669062740173104e-08
1835,2.7983425354705105e-08,5.218530674255817e-08
1836,3.024337402735e-08,4.032450107160912e-08
1837,1.1132625488130543e-08,2.7831564608504777e-08
1838,1.830527018853445e-08,4.670999942391063e-08
1839,1.957613093850341e-08,2.23727205650448e-08
1840,5.732719632334238e-09,1.7835128929277744e-08
1841,1.6051371787284552e-08,2.760835826620678e-08
1842,1.609983613093391e-08,2.6162233268678392e-08
1843,3.0125246297529884e-08,2.4809025944705354e-08
1844,1.0977122322231025e-08,1.920996517412732e-08
1845,2.0088821273134272e-08,3.627148004170522e-08
1846,8.781752214304106e-09,3.805426018743674e-08
1847,1.5640349459999925e-08,1.5101026207275936e-08
1848,2.252662056889676e-08,2.333114323960217e-08
1849,1.1731181359664333e-08,1.75967720394965e-08
1850,2.0366988096043315e-08,1.6293590476834652e-08
1851,2.3217978650791338e-08,1.6768540334055615e-08
1852,1.7578472011337e-08,1.9531636752390114e-08
1853,1.2541057081705276e-08,2.508211416341055e-08
1854,2.4419623656513068e-08,3.688921879074769e-08
1855,2.865746040470185e-08,2.7065379271107304e-08
1856,1.7084724746041502e-08,2.1226476576430287e-08
1857,1.4156376515472857e-08,1.8549734193129552e-08
1858,1.0766087576996597e-08,3.670256987220455e-08
1859,2.036869339860914e-08,4.99032992706816e-08
1860,2.242820151820979e-08,2.8836257826014844e-08
1861,2.87673795895671e-08,2.8295781717702084e-08
1862,1.9427341513278407e-08,1.8975542914745347e-08
1863,1.2486552236623538e-08,3.5461809488879226e-08
1864,3.5001512799226475e-08,4.650886253898534e-08
1865,1.694463946932956e-08,2.5416959203994338e-08
1866,2.0435575009969398e-08,2.77339928800302e-08
1867,1.067618526917613e-08,2.6690463172940326e-08
1868,4.44588676984381e-09,4.643481688049178e-08
1869,1.8557372527538973e-08,3.564969119906891e-08
1870,2.8096838633473453e-08,3.555110428266062e-08
1871,1.1683295220166201e-08,5.629224020253787e-08
1872,1.814201766592305e-08,3.1446163006876304e-08
1873,3.292302608315367e-08,2.6338419445437466e-08
1874,1.4936523129449597e-08,3.525019315331335e-08
1875,3.032409523484603e-08,2.4030413214859436e-08
1876,1.934724735974669e-08,3.264847947548333e-08
1877,2.3502300550148902e-08,3.64904160221613e-08
1878,3.32149880932775e-08,2.294853729267743e-08
1879,2.1993571408529533e-08,6.1704184872724e-08
1880,8.343199908722454e-09,3.4656370218044685e-08
1881,1.324776466304911e-08,1.5339516323820135e-08
1882,9.317538740560849e-09,4.3925542314582344e-08
1883,1.9589950994713945e-08,3.2860562271253e-08
1884,1.4523733327109767e-08,3.895001299270007e-08
1885,7.090199094506033e-09,3.3517306263775026e-08
1886,1.2906927970846027e-08,3.807543791367607e-08
1887,1.3057849024278312e-08,3.0685946228459215e-08
1888,1.9021843655764314e-08,1.5851536971922542e-08
1889,2.6313573542324775e-08,3.947036120166558e-08
1890,1.3764211992395303e-08,2.3595790488162294e-08
1891,1.9122660788184476e-08,3.250852387282066e-08
1892,1.4417578242387208e-08,2.7581453565517222e-08
1893,1.847524977449666e-08,1.970693297437265e-08
1894,7.561847148451761e-09,2.3945849969564392e-08
1895,1.023164486468886e-08,2.6481904447095417e-08
1896,2.1229304536518612e-08,4.2458609073037223e-08
1897,1.1070755867592652e-08,2.4472196713531957e-08
