year,trop_ADV à_ADP,trop_ADV a_ADP,trop_ADV bas_ADJ
1800,4.084269676241092e-06,6.288328968651058e-09,1.3268373777464149e-06
1801,5.350517312763259e-06,1.1905912922216544e-08,1.292982119593944e-06
1802,4.654707481677178e-06,4.475680270843441e-09,1.2240985824973905e-06
1803,4.1600737858971115e-06,3.900678446910888e-09,8.659505965624703e-07
1804,4.736066330224276e-06,2.4718509461507665e-09,1.0159307066714973e-06
1805,5.048950697528198e-06,0.0,9.466782557865372e-07
1806,4.236053428030573e-06,1.152667650217154e-08,9.797674920264399e-07
1807,3.6469496080826502e-06,0.0,7.202796723504434e-07
1808,4.013217221654486e-06,0.0,9.494850132796273e-07
1809,4.312489181756973e-06,6.7770915546105925e-09,1.1430694257796858e-06
1810,5.405692718341015e-06,7.020380277111826e-09,8.58826524563483e-07
1811,3.780671704589622e-06,7.521230305229665e-09,8.248282483691582e-07
1812,4.05949094783864e-06,8.00162425207418e-09,7.574871574433928e-07
1813,4.644322871172335e-06,1.1502966579257645e-08,8.109591362881474e-07
1814,4.39905443272437e-06,9.440030979135372e-09,8.433094649262785e-07
1815,4.3587133404798806e-06,5.394447111228828e-09,7.012781111370714e-07
1816,4.194862867734628e-06,6.952811659743929e-09,9.733936394695775e-07
1817,5.190615866013104e-06,1.556873407970727e-09,1.066458253262681e-06
1818,4.500244358496275e-06,5.9605886892910576e-09,6.938125238775683e-07
1819,4.836010703002103e-06,1.1386155129855524e-08,7.877148959778424e-07
1820,4.957815690431744e-06,1.4239777357261119e-08,9.149056836577074e-07
1821,5.271951522445306e-06,9.861488514673056e-09,1.0137609933735803e-06
1822,4.8874876483750995e-06,4.010246357211145e-09,8.150825578923104e-07
1823,4.268332304491196e-06,4.941343556552624e-09,8.301457228299114e-07
1824,4.954982614435721e-06,5.052667617633233e-09,8.151637302944437e-07
1825,4.516311946645146e-06,5.283265824829186e-09,8.145034939843754e-07
1826,4.313269982958445e-06,3.5231937367541377e-09,8.60540069425042e-07
1827,4.013200850749854e-06,9.217273055917019e-10,7.493642897316022e-07
1828,4.094515134056564e-06,9.172301251858528e-10,7.778111239531427e-07
1829,4.414328486745944e-06,6.001223296081548e-09,8.144517096297932e-07
1830,4.407475898915436e-06,2.0873671680021744e-09,8.01548992512835e-07
1831,4.000703484052792e-06,3.1182412207897414e-09,9.83805080068123e-07
1832,4.5650117499462795e-06,8.117981842303834e-09,9.60627858148655e-07
1833,4.1770563257159665e-06,6.950176989484191e-09,8.618219453637721e-07
1834,3.6675371575256577e-06,4.667265462998671e-09,9.74525050878583e-07
1835,4.210371116641909e-06,8.31939672707449e-09,9.022763833854697e-07
1836,3.9780120459909085e-06,2.0162250202737653e-09,8.306847121275496e-07
1837,3.885286332661053e-06,0.0,8.558205877307046e-07
1838,3.995598490291741e-06,5.680945713848473e-09,7.587218533444684e-07
1839,4.075330707564717e-06,4.194884994923598e-09,8.201000127883162e-07
1840,3.759390210689162e-06,7.643626342979104e-09,8.439837415608054e-07
1841,3.621831410782761e-06,3.2102742686390684e-09,9.040132340487617e-07
1842,4.026971510029398e-06,2.683306021822318e-09,8.438997269877291e-07
1843,3.8790685721323825e-06,8.269675388916653e-09,1.1252665217398317e-06
1844,3.7854606489418074e-06,3.293136707771538e-09,9.692798812466208e-07
1845,3.647794983407948e-06,6.138250796539069e-09,9.486387284596276e-07
1846,3.822403868980473e-06,4.0981509297211005e-09,1.0883518370974343e-06
1847,3.3718433769536205e-06,3.775256551818984e-09,8.888032425602432e-07
1848,3.414392040212988e-06,8.849743882155536e-09,1.0241567451885203e-06
1849,3.4363981740170857e-06,8.379414939696517e-09,9.921227501763497e-07
1850,3.4936174415634014e-06,4.752297222410107e-09,8.995419875645894e-07
1851,3.6665060179075226e-06,5.159551008659946e-09,9.500023452346795e-07
1852,3.832107267953688e-06,5.208436348880241e-09,7.623848432558589e-07
1853,3.7372349197539734e-06,1.1943863675867306e-09,7.237981662910897e-07
1854,4.139905286137946e-06,4.676097953293379e-09,7.512931006203871e-07
1855,4.08262667406234e-06,5.306937111981824e-09,7.610148031744757e-07
1856,4.019569587399019e-06,4.659470143053568e-09,7.978048870427301e-07
1857,4.291334789741086e-06,1.4644527812635033e-09,9.60192892307532e-07
1858,3.968771125073545e-06,1.4681028059904122e-09,7.824987733329181e-07
1859,4.264185918145813e-06,3.5645213447565993e-09,8.483560804961598e-07
1860,4.193615950498497e-06,1.8308735638683515e-09,7.36468905415677e-07
1861,4.3787722461274825e-06,5.187560214725551e-09,8.823568009574956e-07
1862,3.944202035199851e-06,6.776979449840681e-09,8.742303521103167e-07
1863,4.212962721794611e-06,1.4983862484108101e-09,8.590747597736481e-07
1864,4.076477580383653e-06,1.9178911792039344e-09,8.055142757257272e-07
1865,4.087423803866841e-06,1.882737743486018e-09,8.910056408240052e-07
1866,3.828264198091347e-06,4.865612912574591e-10,8.188826541299932e-07
1867,4.0773320506559685e-06,9.220341823379385e-09,9.448423838875897e-07
1868,4.024021563964197e-06,8.397786022129594e-09,1.0274937949361629e-06
1869,4.035740403196542e-06,2.9301114867763545e-09,9.288453384215245e-07
1870,3.878510597132845e-06,2.2936195165357276e-09,8.77309446423169e-07
1871,3.839555574813858e-06,9.559059321873065e-09,8.613774866716994e-07
1872,3.7245563362375833e-06,1.8142017887967654e-09,9.663648370406008e-07
1873,3.7999157029844355e-06,8.380406368857507e-09,8.314560204780719e-07
1874,3.80044889425335e-06,3.5847654289433706e-09,9.212847089656861e-07
1875,3.946137439925224e-06,3.4329162845736505e-09,8.685278203302005e-07
1876,3.888796527462546e-06,2.418405919968336e-09,8.470466923427011e-07
1877,3.76222351405886e-06,7.4217790801967e-09,8.49175251005363e-07
1878,3.5866148664354114e-06,1.0870359501424787e-08,9.245844694305561e-07
1879,3.92524134440464e-06,6.10932526790009e-09,8.400322144552774e-07
1880,3.9521096368844155e-06,7.059631101924424e-09,8.400960496146581e-07
1881,3.8237230910453945e-06,5.578006112560985e-09,7.990493600118498e-07
1882,3.816863227257272e-06,2.6621540527571597e-09,9.077945151148015e-07
1883,3.666480552055873e-06,1.895801682305631e-09,8.796519637144229e-07
1884,3.68506721315498e-06,5.281357573494461e-09,9.116943715525849e-07
1885,3.407162921575946e-06,1.1602144356359645e-08,9.565322898197337e-07
1886,3.527463377395179e-06,5.80811748696064e-09,8.092643497548124e-07
1887,3.277520136180101e-06,4.570247291724172e-09,9.153552582574775e-07
1888,3.557718855518033e-06,8.876860579931645e-09,8.413995828959742e-07
1889,3.529151626935345e-06,5.012109283164534e-09,8.77119134656823e-07
1890,3.274571554356953e-06,7.2098250147867304e-09,9.287565490012639e-07
1891,3.4274180507054552e-06,7.0116421557742115e-09,8.318357345160621e-07
1892,3.2840737276274012e-06,5.014809900671935e-09,9.16456485811068e-07
1893,3.2399429983342998e-06,3.695050043717174e-09,7.796555223649193e-07
1894,3.5250811833975604e-06,3.780923574225881e-09,8.437760925517068e-07
1895,3.1946806302585173e-06,3.0093072478365457e-09,8.299669502775942e-07
1896,3.294080443083658e-06,2.3588115349859606e-09,8.244046512118075e-07
1897,2.9325849482120248e-06,9.32274157872115e-09,9.876279136733501e-07
1898,3.398407898203004e-06,2.8291773368493978e-09,8.606357937424036e-07
1899,3.350818133185385e-06,5.527578395003729e-09,8.600911769462982e-07
1900,3.3222740967175923e-06,6.229263660451068e-09,9.271220733353402e-07
1901,3.281148565292824e-06,1.2854099562531474e-08,8.567536724513047e-07
1902,2.8067181574442657e-06,5.401312175301598e-09,9.020191669151245e-07
1903,3.0862258881825255e-06,6.48026454719286e-09,8.726755709176359e-07
1904,3.1242695968103362e-06,6.987012746151322e-09,9.615204135116073e-07
1905,3.1929616852721665e-06,7.2250627702885595e-09,9.588690090822638e-07
1906,3.0962846722104587e-06,8.745113744268451e-09,9.87168959909468e-07
1907,3.105248879364808e-06,4.628558980535047e-09,9.69425968833093e-07
1908,3.30536477122223e-06,5.402527980535865e-09,1.0421967999718618e-06
1909,3.3968574371101568e-06,6.60118004702781e-09,1.0017290605901508e-06
1910,3.2647417356201913e-06,4.275320542035388e-09,1.1436482054705266e-06
1911,3.141680963381077e-06,9.576673454247953e-09,9.43834379540931e-07
1912,3.1188803859549807e-06,9.897900055122477e-09,9.788502666197019e-07
1913,3.109142880930449e-06,8.484783764473036e-09,1.0118104682987905e-06
1914,3.1360850698547438e-06,1.5402510378237366e-08,9.583039854987874e-07
1915,2.7814378427137854e-06,8.246533345079854e-09,8.435025620201486e-07
1916,3.166586566294427e-06,5.493731025651982e-09,1.0163402066609706e-06
1917,2.9631278266606387e-06,4.386569774084137e-09,9.507890013082942e-07
1918,3.175983010805794e-06,1.378365155346728e-08,1.0992462193826213e-06
1919,3.0818669074506033e-06,6.4454939163738345e-09,9.263095535061439e-07
1920,3.0440371574513847e-06,7.572231730534895e-09,9.995345635616104e-07
1921,3.117700089205755e-06,3.0290990271630847e-09,1.0563982186795329e-06
1922,3.0345447612489806e-06,4.4267612908655e-09,1.072751842912112e-06
1923,3.0085595881246263e-06,4.246379248229459e-09,9.002324077300727e-07
1924,2.9083505523885833e-06,9.02413699321869e-09,9.746067917149048e-07
1925,2.9904044822615106e-06,7.698724324711748e-09,9.557417115502176e-07
1926,2.9191737667133566e-06,1.0031524944054127e-08,9.429633109903079e-07
1927,3.632417474364047e-06,4.459690061686672e-09,1.0145794249183382e-06
1928,2.995908062075614e-06,1.2568645346711094e-08,9.483614462624246e-07
1929,3.1527349619864253e-06,2.2280812750352652e-09,9.435923971068405e-07
1930,2.912649279096513e-06,8.402883056035648e-09,9.243171348316537e-07
1931,2.7064911591878626e-06,9.124285327288817e-09,1.0686819678085158e-06
1932,2.7223488814343e-06,2.1919073223131136e-09,1.0586912821963779e-06
1933,2.696752744668629e-06,3.4411986593596566e-09,9.72712200564274e-07
1934,2.7605560717347544e-06,3.5944740517379614e-09,1.0903238489845535e-06
1935,2.7610831239144318e-06,3.590485242455088e-09,9.538722451907233e-07
1936,2.5340652882732684e-06,7.274828739411987e-09,9.905892284223228e-07
1937,2.51192795985844e-06,7.554670666820584e-09,9.531476621305046e-07
1938,2.4698733795958105e-06,5.186085783037697e-09,9.529432531962811e-07
