year,trop_ADV au_ADP,trop_ADV beau_ADJ
1800,1.7733087815940962e-06,2.200915076855381e-07
1801,1.412041228832095e-06,2.5716771046013776e-07
1802,1.2151472219557036e-06,2.8196785706313676e-07
1803,1.1702035180860548e-06,3.0815360219094146e-07
1804,1.6981615544864326e-06,3.163969211072981e-07
1805,1.7114124375439133e-06,3.354595605742361e-07
1806,1.25064434541855e-06,4.3513204328604616e-07
1807,1.1302412303848541e-06,2.1636859059981361e-07
1808,1.289396095671691e-06,2.1527702642742952e-07
1809,1.1927680816370412e-06,2.191259653727684e-07
1810,1.6006466694307164e-06,3.7208016578915704e-07
1811,1.271087967325002e-06,3.4597658782331564e-07
1812,1.1122258456452983e-06,3.253994123042503e-07
1813,1.3142139323463198e-06,4.284854924208048e-07
1814,1.0887503094636486e-06,3.901879779277806e-07
1815,9.33239334699465e-07,2.454473564394988e-07
1816,1.175025204247504e-06,1.3442102897442965e-07
1817,1.4821434888290241e-06,4.2035583192046033e-07
1818,1.4698812265123706e-06,3.480983772341517e-07
1819,1.3218291314842645e-06,2.960400422580278e-07
1820,1.3765118183073355e-06,2.729290562442088e-07
1821,1.527544554846827e-06,3.609304712881567e-07
1822,1.3173658999221516e-06,3.2081970857689157e-07
1823,1.1197083722436219e-06,2.954923274955945e-07
1824,1.4046415799384704e-06,3.5958152011517086e-07
1825,1.4854782648399123e-06,3.196375928382622e-07
1826,1.1142100220240536e-06,2.2636520213836775e-07
1827,1.1198986840099678e-06,2.2766664642404066e-07
1828,1.0685730558179785e-06,2.6874843683799554e-07
1829,1.2988361959287431e-06,3.952234289283929e-07
1830,1.2492891983129084e-06,3.5902715467273083e-07
1831,1.1615449011515011e-06,2.4945930476860667e-07
1832,1.1960493111473625e-06,3.138952990866528e-07
1833,1.1259286338827224e-06,3.185497803315229e-07
1834,1.098674260902044e-06,3.285754814896791e-07
1835,9.703442174213706e-07,4.023562780730572e-07
1836,1.1600014886425924e-06,3.3133297749898816e-07
1837,1.0582951972537558e-06,3.548524492025251e-07
1838,9.922719073074404e-07,2.9982770399783476e-07
1839,1.0242511052638292e-06,2.5658712843323883e-07
1840,1.075840373232495e-06,3.21032302963431e-07
1841,1.018299030874914e-06,4.08346900737655e-07
1842,1.0773474059533328e-06,3.2602167721051956e-07
1843,1.1772473271776107e-06,3.355125413606608e-07
1844,1.0356915254305932e-06,4.0231153031200506e-07
1845,1.008347226161277e-06,3.9284804193018275e-07
1846,1.0432721637698705e-06,3.454155765858502e-07
1847,9.082188512365974e-07,2.761330550882235e-07
1848,9.1071910901519e-07,3.443354787413533e-07
1849,1.0046918532680138e-06,2.9076570884356556e-07
1850,8.526978945155861e-07,3.1908281972192754e-07
1851,9.564517995386268e-07,2.870000328503153e-07
1852,1.1120012004539603e-06,3.196677766936773e-07
1853,1.0886831205425551e-06,3.4398328430107483e-07
1854,1.0432894441692042e-06,3.829204575644951e-07
1855,1.099066707865859e-06,4.096955379395695e-07
1856,1.102741293834697e-06,4.467914234140835e-07
1857,1.1783962463596254e-06,4.486106806034229e-07
1858,1.0678000990083092e-06,5.157934754862481e-07
1859,1.2643866966755013e-06,4.77136637311304e-07
1860,1.0962355645460775e-06,4.092002314770582e-07
1861,1.1596554259085678e-06,4.791419261351848e-07
1862,1.0558534313531709e-06,5.168576269198866e-07
1863,1.1088058045061189e-06,4.4302287260933326e-07
1864,1.1579268175410107e-06,5.101590327960537e-07
1865,1.0576279692031676e-06,4.546811789296612e-07
1866,1.0066953564091818e-06,3.765984353254481e-07
1867,9.579449624652625e-07,4.542231568649413e-07
1868,9.929146926879184e-07,4.4014276767700977e-07
1869,1.1290695738352952e-06,4.7223628918402483e-07
1870,1.0017382692240062e-06,4.185855542182537e-07
1871,9.229802913068852e-07,4.014805092822371e-07
1872,9.63341108217719e-07,4.662498597207687e-07
1873,1.0535368346609175e-06,3.597588622561432e-07
1874,1.0897687161559588e-06,3.961165719879034e-07
1875,1.19637127227179e-06,4.828968751535712e-07
1876,1.048983563123329e-06,4.885179798463923e-07
1877,1.0272979125147685e-06,4.545839886738179e-07
1878,1.057444478647085e-06,3.6657267044049036e-07
1879,1.0385853101979592e-06,4.1726691613064304e-07
1880,1.0595864523565979e-06,3.9020504605247197e-07
1881,9.001507237371698e-07,4.81103019422946e-07
1882,1.0182739060837775e-06,4.718667945269317e-07
1883,9.681227766122902e-07,4.1518055687861377e-07
1884,1.002797716864734e-06,5.083306451325598e-07
1885,9.662007869337685e-07,4.1445437037879174e-07
1886,9.57694055614411e-07,4.097949641845844e-07
1887,9.460411547479453e-07,5.327602758953276e-07
1888,9.257297506337636e-07,4.844229701816971e-07
1889,9.648310879128985e-07,4.4294516321485844e-07
1890,9.30067415083613e-07,4.974779237443272e-07
1891,8.828294539853232e-07,4.6468063086280154e-07
1892,9.139491226051177e-07,5.033615568805772e-07
1893,9.600971679901704e-07,5.031426448809384e-07
1894,9.187644423036545e-07,5.261785034349487e-07
1895,1.0923785112026962e-06,5.820000410494686e-07
1896,9.352688152830524e-07,5.413472736748304e-07
1897,8.984792430055677e-07,4.74877145606456e-07
1898,9.115609600485186e-07,5.53952927084822e-07
1899,8.904928563424619e-07,5.184868783203456e-07
1900,9.920102002070053e-07,5.170288854827731e-07
1901,8.450173254459514e-07,5.219881882290167e-07
1902,6.677985879832704e-07,4.512550777491242e-07
1903,8.910363362701901e-07,5.357018348917109e-07
1904,7.836203508304607e-07,4.885534377052636e-07
1905,8.819737331577926e-07,4.7375768108537386e-07
1906,8.276992957689799e-07,5.468268211572536e-07
1907,8.567977261009219e-07,5.806270371166988e-07
1908,8.108703468678868e-07,6.311134881364922e-07
1909,8.499019372720795e-07,6.353635768618915e-07
1910,8.288777735288022e-07,7.022213939222866e-07
1911,8.50195760904171e-07,6.288682321553551e-07
1912,9.736407946547843e-07,6.42842573395086e-07
1913,8.447662480648432e-07,6.395405778292229e-07
1914,8.129846946758335e-07,6.355209641317749e-07
1915,6.196680715220282e-07,5.937504210518085e-07
1916,7.548386520284112e-07,7.317649837190743e-07
1917,7.928724699013401e-07,7.76422877102334e-07
1918,7.362767178165086e-07,8.350595575024045e-07
1919,7.697761361669109e-07,7.780631916531888e-07
1920,8.617199682703358e-07,7.004314586112059e-07
1921,9.034287700160348e-07,7.307701057612803e-07
1922,7.864879307817318e-07,7.643541154456202e-07
1923,9.076635478777462e-07,8.216743569988694e-07
1924,1.0455107712914469e-06,8.34088100809538e-07
1925,7.698724289184611e-07,7.368778938143805e-07
1926,8.348457640749984e-07,7.824589243199398e-07
1927,9.242707506018633e-07,8.830185853625494e-07
1928,8.42099211695313e-07,6.867050852399359e-07
1929,8.689517017046455e-07,8.24390094855687e-07
1930,9.085617307391658e-07,7.300004511989755e-07
1931,7.960939001350198e-07,7.801263990359075e-07
1932,8.986820034806442e-07,7.090820357547045e-07
1933,7.260929351105005e-07,6.939750516465892e-07
1934,7.033187330307555e-07,7.847934959670511e-07
1935,8.270084208561457e-07,8.569291169990834e-07
1936,7.032334679024643e-07,6.462472672552622e-07
1937,6.660701501459698e-07,7.17693724894275e-07
1938,6.638189802288252e-07,7.973606788169718e-07
1939,6.652911679339013e-07,7.723495514255774e-07
1940,6.263383625082497e-07,5.274428547252796e-07
1941,6.640880769737123e-07,8.382267644435615e-07
1942,7.100055654518656e-07,9.982556630205863e-07
