year,dernier_ADJ enfant_NOUN
1800,1.351990750464438e-07
1801,1.0000967165524344e-07
1802,6.937304419807333e-08
1803,7.411288782677161e-08
1804,1.656140113936999e-07
1805,1.5635826855486812e-07
1806,1.123850950079941e-07
1807,2.0782772480743006e-07
1808,1.9261628381173068e-07
1809,1.0843346842648316e-07
1810,1.567884990727464e-07
1811,1.5543875520052097e-07
1812,1.6269970615212515e-07
1813,3.36461766892171e-07
1814,1.9824065589091333e-07
1815,1.726223075593225e-07
1816,1.1588019788177917e-07
1817,1.4323235575375293e-07
1818,1.144433028343883e-07
1819,1.500902300222151e-07
1820,9.611849716151255e-08
1821,1.1044866621290339e-07
1822,1.2832788343075663e-07
1823,1.5812298670425662e-07
1824,9.600068295867459e-08
1825,1.4440927031955653e-07
1826,1.1978858083239174e-07
1827,1.4655464575241695e-07
1828,1.467568182533796e-07
1829,1.2516837505360812e-07
1830,1.1897992635567789e-07
1831,1.6526678336958867e-07
1832,2.0024355062986388e-07
1833,2.03871863391214e-07
1834,1.838902625728167e-07
1835,1.6260639768006513e-07
1836,1.7742780755725107e-07
1837,1.676851668630519e-07
1838,1.420236372950967e-07
1839,1.3283802502428443e-07
1840,1.3312649116414832e-07
1841,1.5280905074632756e-07
1842,1.925272101743758e-07
1843,1.8843046778460604e-07
1844,1.8167138193803112e-07
1845,1.8916973165694628e-07
1846,1.399225766363088e-07
1847,1.364485626709211e-07
1848,1.76994871869951e-07
1849,1.541812304495238e-07
1850,1.439267167668845e-07
1851,1.3350337568773796e-07
1852,1.5885730264564302e-07
1853,1.7796357387744877e-07
1854,1.8028956327853507e-07
1855,2.2713690128739472e-07
1856,1.5686883941823382e-07
1857,2.0941673378738201e-07
1858,2.0700249148131178e-07
1859,1.8841041082851007e-07
1860,1.588282875775171e-07
1861,1.7684864417333301e-07
1862,1.9382160609815458e-07
1863,2.627170658797695e-07
1864,1.750075696582698e-07
1865,2.2028031310128426e-07
1866,1.8927234890497857e-07
1867,2.3050854736084148e-07
1868,1.5461806412986334e-07
1869,2.2903704177679174e-07
1870,2.092927786634391e-07
1871,1.7524942563795776e-07
1872,1.2820359529541747e-07
1873,1.8377033939032117e-07
1874,2.73637092707002e-07
1875,2.6662315155689953e-07
1876,2.0072768602830138e-07
1877,2.3254908398939733e-07
1878,1.9385474997468677e-07
1879,1.7167204191537166e-07
1880,2.0922178123328194e-07
1881,1.5967042543696408e-07
1882,1.8302309312545617e-07
1883,1.6303894723179724e-07
1884,1.5910089690152063e-07
1885,2.0497121511198202e-07
1886,1.6262728763649648e-07
1887,2.0957847368663352e-07
1888,1.9655905858506628e-07
1889,2.0111089238383784e-07
1890,1.6254877827082126e-07
1891,1.6955425508058397e-07
1892,1.9432388853601879e-07
1893,1.687406134820435e-07
1894,1.7896372273007444e-07
1895,1.6671562086401082e-07
1896,1.810387900702537e-07
1897,1.5615592019457836e-07
1898,1.5673643360969436e-07
1899,1.3376740071180393e-07
1900,1.541742733479623e-07
1901,1.643089293512645e-07
1902,1.4436235185044666e-07
1903,1.663267852336503e-07
1904,1.456523364140594e-07
1905,1.6566035943021973e-07
1906,1.5072460229914597e-07
1907,1.9439947607224894e-07
1908,1.5667330899304943e-07
1909,1.397249826950997e-07
1910,1.6085893317363542e-07
1911,1.4524621860800835e-07
1912,1.6722242612843274e-07
1913,1.4477162540993405e-07
1914,1.6005217950976203e-07
1915,1.4843760709482012e-07
1916,1.2305957852731808e-07
1917,1.5352994897632755e-07
1918,1.1716103642811504e-07
1919,1.841569658989073e-07
1920,1.4311518503618004e-07
1921,1.2722215025906536e-07
1922,1.3796739639637678e-07
1923,1.316377633564514e-07
1924,1.314945697883374e-07
1925,1.90268474309363e-07
1926,1.2372213120670494e-07
1927,1.516294602099677e-07
1928,1.2682906458394427e-07
1929,1.6487801701714488e-07
1930,1.3234540130468986e-07
1931,1.3002106591386564e-07
1932,1.5562541477720515e-07
1933,1.2503021196152986e-07
1934,1.3778817375964536e-07
1935,1.8072108698419243e-07
1936,1.6368363997543156e-07
1937,1.5361163718807802e-07
1938,1.815130019622302e-07
1939,1.3764645245828433e-07
