year,premier_ADJ acteur_NOUN,premier_ADJ facteur_NOUN
1800,7.86041156608519e-08,7.231578535993322e-08
1801,1.7620750725200196e-07,3.5717739876872656e-08
1802,2.6854081625060644e-08,7.384872446891677e-08
1803,5.265916058760922e-08,1.5602713787643552e-08
1804,4.943701981119375e-08,3.954961580454608e-08
1805,7.675770063997334e-08,6.538618890772341e-08
1806,3.458002950651462e-08,8.35684019762084e-08
1807,1.565825247240582e-07,7.117387923472052e-08
1808,1.2236799307174806e-07,4.985362878073829e-08
1809,3.6144488291256494e-08,2.710836710662079e-08
1810,1.474279875957052e-07,9.594519667643908e-08
1811,5.515568801683912e-08,1.2535383575595915e-07
1812,8.535066342574282e-08,2.6672083208723052e-08
1813,7.476928454153153e-08,2.5881675469463516e-08
1814,1.7306724942045548e-07,7.237357380063258e-08
1815,6.203614333344376e-08,9.440282155992463e-08
1816,3.939926429552543e-08,1.9467873357825738e-07
1817,1.323342360137758e-07,2.1796227045456362e-08
1818,6.795070817133819e-08,2.6226590676969863e-08
1819,5.796588098405664e-08,2.6912729822470283e-08
1820,5.22125169766241e-08,3.9159388620646496e-08
1821,1.1439326641493608e-07,3.8459806006585495e-08
1822,1.45371430448904e-07,4.411270992932259e-08
1823,8.103803139647425e-08,3.5577674140085946e-08
1824,1.1368502050856932e-07,1.2631669044083083e-08
1825,8.189062006280778e-08,1.8491430608946757e-08
1826,4.844391554570393e-08,6.958307352533666e-08
1827,9.217272989303638e-08,4.424290978022327e-08
1828,8.62196332107601e-08,2.7516904310687096e-08
1829,9.001834505584227e-08,5.401101077495696e-08
1830,9.288783786587373e-08,3.026682549034376e-08
1831,1.4187997066095193e-07,5.456922025359745e-08
1832,1.6371262745451531e-07,2.976593194148336e-08
1833,6.139323061038482e-08,1.2741991461950875e-08
1834,8.867804268675172e-08,1.9602515166639023e-08
1835,5.974839467626225e-08,3.932805725526123e-08
1836,6.72075017860152e-08,2.8227150394855016e-08
1837,6.262101948095733e-08,6.609996461293122e-08
1838,2.4617431648721322e-08,2.651107955387033e-08
1839,5.2436064379435265e-08,2.3771015378315496e-08
1840,4.0766007458614695e-08,3.630722389402763e-08
1841,3.0818632978935057e-08,3.274479709602929e-08
1842,2.817471411731276e-08,4.427455024824667e-08
1843,4.134837894298471e-08,3.603215859016018e-08
1844,5.708103678614407e-08,5.54344694592146e-08
1845,3.2923345827384765e-08,8.035528509253709e-08
1846,3.922516045307134e-08,1.4636253098387897e-08
1847,3.829188699455699e-08,1.2566211182729603e-07
1848,1.528592186161859e-08,1.0539240236084879e-07
1849,6.703531951757213e-09,2.3462362719328667e-08
1850,2.1724788190624622e-08,5.295417082606946e-08
1851,3.418202609850596e-08,7.997304152240758e-08
1852,5.924596480078037e-08,3.059956199535918e-08
1853,3.2248433257109355e-08,4.120633079196523e-08
1854,5.247621004400571e-08,4.312401458150816e-08
1855,5.73149208094037e-08,3.237231638308913e-08
1856,2.8992259260007813e-08,5.332504837696206e-08
1857,4.686248733509757e-08,3.856392183365642e-08
1858,6.997956608634226e-08,5.627727261980908e-08
1859,3.768208145515928e-08,6.619825398956891e-08
1860,3.844834428612387e-08,5.080674014834585e-08
1861,2.782418562219391e-08,5.8949545689301885e-08
1862,7.364317866631609e-08,4.066187742068905e-08
1863,4.4452125536054155e-08,4.4452125536054155e-08
1864,4.171413359177478e-08,2.9247839705703882e-08
1865,4.6597758540656287e-08,4.989254875908955e-08
1866,5.3035180247462677e-08,6.47126512376417e-08
1867,2.8631587767335986e-08,2.8631587767335986e-08
1868,4.4952855660085334e-08,5.77965266757019e-08
1869,4.4440023883041135e-08,5.567211758261692e-08
1870,5.676708214608084e-08,9.518520727169744e-08
1871,4.248470730772169e-08,5.947859449406678e-08
1872,2.0560953717385644e-08,4.7169248063028135e-08
1873,5.207823861042016e-08,1.1433268554128517e-07
1874,1.4936523129449597e-08,4.839433387360259e-08
1875,1.5448122780981066e-08,6.350894921069994e-08
1876,4.836811839936672e-08,7.315677663655151e-08
1877,4.576763856789512e-08,6.370360239316142e-08
1878,3.9254075989703097e-08,3.32149880932775e-08
1879,3.726688524441357e-08,7.147910707772098e-08
1880,8.022308151112156e-08,5.0700986520269e-08
1881,2.4403776777148778e-08,6.763332294212887e-08
1882,4.592215674392719e-08,9.38409314699129e-08
1883,3.033282780506852e-08,1.049010265319339e-07
1884,4.621188054443337e-08,1.1486952899986136e-07
1885,3.931837699866492e-08,1.1473231265046735e-07
1886,2.6459201052375647e-08,8.970314979706018e-08
1887,4.1785117588233334e-08,1.044627921942265e-07
1888,3.804368731152863e-08,1.0842450848258522e-07
1889,3.132568338060082e-08,1.3532695675166906e-07
1890,3.4082809463598096e-08,1.3502035711709937e-07
1891,2.932141285327816e-08,1.019875183194685e-07
1892,3.823792393831127e-08,1.3728042347338487e-07
1893,4.310891554837326e-08,1.367168493970894e-07
1894,4.0329851458409394e-08,1.298117036085955e-07
1895,4.995450098022047e-08,1.7634540938615828e-07
1896,2.35881150167927e-08,1.775005671333929e-07
1897,2.2141511735185304e-08,1.9461222677819023e-07
1898,3.1120951149432585e-08,1.5164391697908286e-07
1899,3.371822998587959e-08,1.3542566534852085e-07
1900,2.7512582434496835e-08,1.7234296478818578e-07
1901,1.0618603829559703e-08,1.5033707256861817e-07
1902,1.276673788908056e-08,1.19810921017649e-07
1903,1.566063878577495e-08,1.6470671937440784e-07
1904,2.364835083312755e-08,1.456523364140594e-07
1905,2.2707340008309984e-08,1.7340150293421175e-07
1906,1.800464666246171e-08,1.3271996124331054e-07
1907,2.9828491121541845e-08,2.2628511220368352e-07
1908,1.9154416719402434e-08,1.2376700908589555e-07
1909,3.5206294768386215e-08,1.710805926924408e-07
1910,3.2064905286510736e-08,1.512394618430335e-07
1911,4.575521783678482e-08,1.7131604579390114e-07
1912,3.4903123946605774e-08,1.416962618350226e-07
1913,2.3863453435524207e-08,1.5749879356263818e-07
1914,2.6786974971493294e-08,1.479980369367695e-07
1915,3.062998032987707e-08,3.357517073254712e-07
1916,1.7579939282086343e-08,1.5602195446717815e-07
1917,1.754627876326964e-08,1.3159709055798885e-07
1918,1.722956355365568e-08,1.7689019671252026e-07
1919,2.9465114403937065e-08,1.3627614908751084e-07
1920,2.5745588771997063e-08,1.5674520170705364e-07
1921,4.240738565863822e-08,2.2718242576047487e-07
1922,3.6889676535700744e-08,1.844483819013476e-07
1923,2.653987030143412e-08,1.9214866142647224e-07
1924,3.738571141553848e-08,1.8821771163857193e-07
1925,5.49908882874206e-08,1.2537923055333522e-07
1926,3.12091874565823e-08,2.162350796197643e-07
1927,3.456259556333663e-08,1.3936530784963708e-07
1928,3.542072890549974e-08,1.7024801257647937e-07
1929,4.233354289340241e-08,1.5262356956036172e-07
1930,3.151081173768944e-08,1.7330945922822139e-07
1931,1.596749932275543e-08,1.6081553511071434e-07
1932,2.6302888755935783e-08,1.9288784658400004e-07
1933,2.86766552726192e-08,1.720599271948231e-07
1934,4.553000643170435e-08,3.0073766055238593e-07
1935,3.590485242455088e-08,2.034608330703236e-07
1936,1.2124714565686645e-08,2.1945733807982037e-07
1937,2.0145789036973838e-08,2.0145789725312113e-07
1938,1.6854778905894818e-08,2.17815599112825e-07
1939,1.3764645423464117e-08,2.049402771930886e-07
1940,2.5357829613881222e-08,2.662572131661989e-07
1941,2.6563522936839945e-08,2.1841118780230317e-07
1942,2.730790527039062e-08,3.1252380949808867e-07
1943,4.3548528338988035e-08,2.6129117713935557e-07
1944,3.855823393905666e-08,3.0846586973609647e-07
