year,premier_ADJ enfant_NOUN
1800,3.081281079175824e-07
1801,3.3098437524081703e-07
1802,2.953948978756671e-07
1803,2.7694816995271765e-07
1804,4.350457700752486e-07
1805,2.0468719608146557e-07
1806,3.1410192491421185e-07
1807,5.096049635611166e-07
1808,2.447359799262472e-07
1809,1.987946802728402e-07
1810,3.673999029452091e-07
1811,3.434695088344597e-07
1812,4.160844766509797e-07
1813,5.550181612079541e-07
1814,3.776012533762696e-07
1815,3.3715295777447807e-07
1816,4.519327490015712e-07
1817,1.9460917466407324e-07
1818,3.182954291247597e-07
1819,2.598113599816543e-07
1820,3.0140861895233684e-07
1821,4.3883622424800706e-07
1822,3.488914330773696e-07
1823,3.08339827670423e-07
1824,3.09896961425693e-07
1825,4.860604405632074e-07
1826,3.28537813620855e-07
1827,3.548650227003236e-07
1828,4.6044951790280564e-07
1829,2.8548675157225034e-07
1830,2.7970719429504243e-07
1831,2.868781914244778e-07
1832,4.221350309308036e-07
1833,3.6372594536260294e-07
1834,4.3872296262570387e-07
1835,4.053815203519662e-07
1836,4.0862160338717146e-07
1837,4.988807535966089e-07
1838,2.8404729834896614e-07
1839,2.95739397415673e-07
1840,3.694419490329892e-07
1841,3.6725538166137994e-07
1842,4.420746568811751e-07
1843,3.44963612397553e-07
1844,4.3634061119846024e-07
1845,3.582506373778216e-07
1846,3.3546291677843953e-07
1847,2.809869554809552e-07
1848,4.078927418049716e-07
1849,3.980222169630565e-07
1850,3.4420208727681256e-07
1851,3.13442737098768e-07
1852,3.8282006986634087e-07
1853,3.5951030863401456e-07
1854,3.933118040144734e-07
1855,4.7550156523357145e-07
1856,4.4834459123066495e-07
1857,3.153455001569938e-07
1858,5.334107133769805e-07
1859,4.3079786737898473e-07
1860,3.744136336525372e-07
1861,3.4756653999323817e-07
1862,4.301122800698387e-07
1863,4.175502965608757e-07
1864,4.3967656182530845e-07
1865,3.8690259884788247e-07
1866,4.028727591531833e-07
1867,4.163712397087238e-07
1868,4.075396201619341e-07
1869,3.828678915018813e-07
1870,3.9048873334834866e-07
1871,3.3987768532917073e-07
1872,3.3865098791885373e-07
1873,4.064497012290502e-07
1874,4.128455048935109e-07
1875,4.828968845904669e-07
1876,4.994008298009334e-07
1877,4.6076877957546003e-07
1878,4.988287400919944e-07
1879,4.404823480408382e-07
1880,4.0881680485327365e-07
1881,3.5350612392903713e-07
1882,5.171234342959963e-07
1883,4.4108986085866775e-07
1884,4.951272831732467e-07
1885,4.4668256338198375e-07
1886,5.285387072451186e-07
1887,4.126280339633581e-07
1888,4.1404213657614264e-07
1889,4.3981260633429997e-07
1890,3.8146528125171386e-07
1891,4.079500808273906e-07
1892,3.560515136058484e-07
1893,3.645782560290911e-07
1894,4.001477442727719e-07
1895,4.2732163141323554e-07
1896,3.6089818356010994e-07
1897,3.752403630041812e-07
1898,4.1871826716999294e-07
1899,4.460755729240873e-07
1900,4.0594035133345585e-07
1901,4.4039262214745634e-07
1902,3.240787358471664e-07
1903,4.163569737869466e-07
1904,3.568751019145111e-07
1905,4.092481935558112e-07
1906,3.9970315057757944e-07
1907,3.7851328293925235e-07
1908,4.4939209820071824e-07
1909,4.274264160386565e-07
1910,4.312729715572061e-07
1911,3.750863815099592e-07
1912,4.2352594320504977e-07
1913,3.865879625308821e-07
1914,4.607359800345989e-07
1915,3.6991593344026796e-07
1916,2.823777660587723e-07
1917,3.8601812679672776e-07
1918,5.283732908978322e-07
1919,4.889367480886975e-07
1920,5.058250969192102e-07
1921,4.801122006625747e-07
1922,4.013596948126974e-07
1923,5.148734878446248e-07
1924,4.3058026033548913e-07
1925,6.477926826065072e-07
1926,5.127223774437084e-07
1927,6.366207134789192e-07
1928,5.073162556712418e-07
1929,5.614764564398911e-07
1930,6.480723389046261e-07
1931,5.212247753405563e-07
1932,4.734519709614915e-07
1933,4.7144422055112045e-07
1934,5.247932310936676e-07
1935,5.660998247947191e-07
1936,6.013858175890618e-07
1937,5.880052178497408e-07
1938,5.963998530589265e-07
1939,8.809373097662387e-07
1940,9.838837415898638e-07
1941,7.910027228774652e-07
1942,6.857318577413452e-07
1943,7.809702826655496e-07
1944,7.165405104814226e-07
1945,1.1654996399101947e-06
1946,6.612524314775214e-07
1947,5.948514480991207e-07
1948,4.946708900277486e-07
1949,4.741614998415855e-07
1950,6.094062301453818e-07
1951,5.25607103174508e-07
1952,4.818975343212628e-07
1953,5.32227094840465e-07
1954,5.873294162128673e-07
1955,4.77727450487464e-07
1956,5.424550275634488e-07
1957,5.159661973230811e-07
1958,5.252874637484695e-07
1959,5.813060734993769e-07
1960,6.007283621656256e-07
1961,5.732231311839087e-07
1962,5.555554021263731e-07
1963,5.677194740982827e-07
1964,5.536410969675387e-07
1965,5.28052173764948e-07
1966,4.802377930879231e-07
1967,5.526906119435182e-07
1968,5.61876113192028e-07
1969,5.754407306213238e-07
1970,5.573654742185852e-07
1971,4.999660752069701e-07
1972,5.98688160380334e-07
1973,6.103116305666845e-07
1974,7.437005686838916e-07
1975,7.070812229059698e-07
1976,7.096200596024005e-07
1977,9.167779553287403e-07
1978,7.799996399882048e-07
1979,7.133555359750687e-07
1980,8.129765287634427e-07
1981,9.494649644281594e-07
1982,8.851898338768649e-07
1983,7.578379506156807e-07
1984,8.33317535864353e-07
1985,9.949733390524074e-07
1986,8.949766963084471e-07
1987,9.655090531524024e-07
1988,9.264675351339235e-07
1989,8.868805396744506e-07
1990,9.072004145682655e-07
1991,9.759339478776496e-07
1992,1.0077688088472314e-06
1993,9.881945706169404e-07
1994,1.0845249640567545e-06
1995,8.838595002558236e-07
1996,1.0302517643445697e-06
1997,1.0179560732126447e-06
1998,1.1004842690454097e-06
1999,1.0241820689316228e-06
2000,1.0603275413245683e-06
2001,1.1995757578375787e-06
2002,1.1706623466167798e-06
2003,1.1854895887175587e-06
2004,1.2227700629807714e-06
2005,1.3632849960032445e-06
2006,1.2827227369172078e-06
2007,1.4276269881818848e-06
2008,1.1712216334558434e-06
2009,1.4314114178404225e-06
2010,1.3939913081628674e-06
2011,1.4022505272492936e-06
2012,1.4886797163882193e-06
2013,1.4138074915237553e-06
2014,1.3401940277546487e-06
2015,1.2219980147776255e-06
2016,1.1999272429008556e-06
2017,1.3833346663716384e-06
2018,1.3113851258239606e-06
2019,1.3140138204192908e-06
