year,premier_ADJ air_NOUN,premier_ADJ fer_NOUN
1800,8.174827570428533e-08,0.0
1801,7.619784270218588e-08,5.000483582762172e-08
1802,6.713520406265161e-09,8.951360541686881e-09
1803,5.070882025393075e-08,3.1205427575287104e-08
1804,6.426812149129546e-08,0.0
1805,2.842877711017877e-08,3.1271653710973624e-08
1806,7.204172902675055e-08,0.0
1807,6.263301344233696e-08,0.0
1808,2.2660739062985158e-08,1.1330369531492579e-08
1809,2.484933525614963e-08,9.036122072814123e-09
1810,1.8721014516387413e-08,9.360507036149102e-09
1811,4.763445815569867e-08,0.0
1812,1.6536691305191198e-07,8.001624962616916e-08
1813,3.3358602458122277e-07,0.0
1814,1.0069366851439554e-07,6.293354282149721e-09
1815,4.5852800667489646e-08,0.0
1816,8.57513455798653e-08,3.244645441213834e-08
1817,3.736496234640896e-08,6.227493631882908e-09
1818,2.98029441125891e-08,8.344824387052086e-09
1819,3.2088255608186955e-08,1.3456364911235141e-08
1820,1.0086508694939766e-07,1.1866481131050932e-09
1821,1.972297603014539e-08,4.930744257336528e-09
1822,3.8097340393505874e-08,1.9048670196752937e-08
1823,1.3835761869529506e-08,0.0
1824,7.747423858006641e-08,4.210556348027694e-09
1825,6.780191341704267e-08,8.805443041381977e-10
1826,1.8496766784892316e-08,1.7615968683770689e-09
1827,2.5808365222701468e-08,7.373818444733615e-09
1828,1.4675682002973645e-08,1.1006761724274838e-08
1829,9.859152783064928e-08,1.2002446148073886e-08
1830,9.810625845041443e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,3.111892987739395e-08,0.0
1833,3.70676112027013e-08,1.1583628500844156e-09
1834,3.267085801894609e-08,2.8003592777992026e-09
1835,6.126101226300307e-08,4.5378527602224494e-09
1836,5.309392392405243e-08,4.032449929525228e-09
1837,4.1051556820548285e-08,1.3915781860163179e-09
1838,2.7773513266993177e-08,1.1361890983607736e-08
1839,3.146163785050504e-08,2.7965900706306e-09
1840,4.968357031343018e-08,1.0828470564661075e-08
1841,4.237562123421412e-08,1.2841097074556274e-08
1842,2.884553929050071e-08,2.0124795163667386e-09
1843,2.9534556134080958e-08,5.906911071384968e-10
1844,3.3480223038395707e-08,6.586273748609983e-09
1845,2.3436957263811564e-08,2.7901139176833567e-09
1846,5.093416177714971e-08,9.367202125076801e-09
1847,2.1033572217277197e-08,8.089835468183537e-09
1848,3.6203496367459564e-08,3.218088684420195e-09
1849,1.508294689145373e-08,3.3517659758786067e-09
1850,2.5798184033476446e-08,6.1100964288129944e-09
1851,2.8377531435808123e-08,5.8044946626978344e-09
1852,3.6459056218518526e-08,3.2552727180501506e-09
1853,2.6873692604567623e-08,9.555090940693844e-09
1854,6.182840506241405e-08,4.676098175337984e-09
1855,4.7231740296638236e-08,1.326734277995456e-08
1856,7.972871429728912e-08,9.318940286107136e-09
1857,3.3194261561675376e-08,2.7336451324799782e-08
1858,2.838332058274773e-08,6.8511463169329545e-09
1859,4.786642904264227e-08,3.258990943777462e-08
1860,5.767251759491998e-08,3.661747127736703e-09
1861,4.480165421982818e-08,2.0278644541349422e-08
1862,3.9758280279134084e-08,2.2589932147099034e-09
1863,3.945750420841776e-08,1.0488703516831066e-08
1864,3.4522040670559306e-08,5.274200631788517e-09
1865,1.97687466396701e-08,8.001635798393636e-09
1866,3.941146431429843e-08,4.865612912574591e-10
1867,3.979305596146787e-08,4.367530337390235e-09
1868,3.2109181424822e-08,5.9278488784286765e-09
1869,8.839169585161955e-08,9.767038289254515e-10
1870,4.243196061182175e-08,1.7202146374017957e-09
1871,1.274541272522356e-08,6.372706140567175e-09
1872,3.5679303067581714e-08,1.69325495846806e-08
1873,2.8732820567256567e-08,1.0774807712721213e-08
1874,3.4055272379873713e-08,2.0313670745508716e-08
1875,4.0622842589765895e-08,6.293679799540541e-09
1876,4.353130833578689e-08,5.441413541973361e-09
1877,4.886004523196874e-08,1.0514186854493346e-08
1878,7.669642321239678e-08,6.039088784604019e-09
1879,6.781351258311474e-08,1.8938909107646396e-08
1880,6.096954163758994e-08,6.417846254436199e-10
1881,5.9266313190420306e-08,3.4862537301449947e-09
1882,6.92160078141768e-08,1.1979693681496428e-08
1883,7.393626894058869e-08,6.319338941018771e-10
1884,3.366865364284877e-08,6.601696966868076e-09
1885,3.674012205578947e-08,6.445635580831777e-09
1886,6.19532544710033e-08,5.162771099520569e-09
1887,3.1991731541669566e-08,5.876032105334161e-09
1888,3.804368731152863e-08,3.804368819970705e-09
1889,6.390439410974835e-08,5.6386229019267375e-09
1890,4.7847022621727575e-08,7.209825181320184e-09
1891,3.952016314201501e-08,3.1871101313640793e-09
1892,1.7551835096440982e-08,1.8805537127519756e-09
1893,3.0176241949675386e-08,2.463366621796581e-09
1894,1.071261657159539e-08,3.780923574225881e-09
1895,1.3842813118003505e-08,3.611168697403855e-09
1896,2.240870955461105e-08,4.1279202278587945e-09
1897,1.3984112534615178e-08,2.9133566670225264e-09
