year,dernier_ADJ air_NOUN,dernier_ADJ fer_NOUN
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,3.900678446910888e-09,7.801356893821776e-09
1804,3.213406074564773e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.5935023018064385e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,1.581321384946932e-08,1.581321384946932e-08
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,5.067695596494559e-08
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,2.0858434979231788e-08
1817,3.113746815941454e-09,3.113746815941454e-09
1818,0.0,1.1921177378582115e-09
1819,1.8631890696951814e-08,0.0
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,7.88919063410276e-09,1.97229765852569e-09
1822,1.604098542884458e-08,0.0
1823,0.0,0.0
1824,5.052667617633233e-09,0.0
1825,3.522177216552791e-09,0.0
1826,9.688783109140786e-09,1.6735169694470642e-08
1827,9.217273166939322e-09,9.217273055917019e-10
1828,6.420610709767516e-09,9.172301251858528e-10
1829,2.2290258527846163e-08,1.714635211591542e-09
1830,2.6092090266160994e-08,1.3567886369969528e-08
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,0.0
1833,9.266902800675325e-09,2.3167257001688313e-09
1834,7.467624740797874e-09,9.334530925997342e-10
1835,1.5126175867408165e-08,0.0
1836,8.064899859050456e-09,0.0
1837,9.74104708006962e-09,2.0873671680021744e-09
1838,1.4517972601879592e-08,0.0
1839,1.1885507689157748e-08,4.194885327990505e-09
1840,7.64362617644565e-09,8.280594876453051e-09
1841,1.1556987367100646e-08,0.0
1842,4.024959032733477e-09,6.708265054555795e-10
1843,1.8311423488626133e-08,1.1813822142769936e-09
1844,1.3721403568922597e-08,6.586273748609983e-09
1845,8.928364714222425e-09,1.1160455892778032e-09
1846,9.367202125076801e-09,0.0
1847,3.074137566727586e-08,2.6966118227278457e-09
1848,2.091757700384278e-08,2.413566457803995e-09
1849,2.76520690789539e-08,0.0
1850,4.752297222410107e-09,1.2220192857625989e-08
1851,5.159551008659946e-09,6.449438760824933e-10
1852,1.3021090872200602e-09,2.6042181744401205e-09
1853,1.0749477752369785e-08,0.0
1854,7.79349651480743e-09,1.558699391779328e-09
1855,1.2736649068756378e-08,1.0613874223963649e-09
1856,6.212626857404757e-09,3.6240324075009767e-09
1857,8.78671624349181e-09,3.905207268672939e-09
1858,1.565976326389773e-08,1.9574704079872163e-09
1859,1.171199848215565e-08,5.601390462572908e-09
1860,1.0069804545764782e-08,3.204028820036342e-09
1861,9.903524222920623e-09,9.431927461278633e-10
1862,2.0782737308877586e-08,2.710791813242963e-09
1863,1.548332484446746e-08,0.0
1864,1.726102105692462e-08,3.835782358407869e-09
1865,1.3179164426446732e-08,0.0
1866,3.4059290943133647e-09,4.865612912574591e-10
1867,1.261730986357179e-08,4.367530337390235e-09
1868,7.903798504571569e-09,4.93987406535723e-10
1869,1.70923168951731e-08,8.790334682373668e-09
1870,1.8922360567330543e-08,6.307453670473251e-09
1871,1.1683295220166201e-08,0.0
1872,1.3304146229131675e-08,3.0236697590169115e-09
1873,7.781805422268917e-09,5.9860045809045914e-09
1874,7.169530746864439e-09,4.182226565063729e-09
1875,1.1443054281912168e-09,1.716458086775674e-09
1876,3.02300739996042e-09,0.0
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,1.4493812372506909e-08,0.0
1879,1.3440515367335593e-08,6.10932526790009e-10
1880,1.7328185109022343e-08,0.0
1881,9.064259565150223e-09,5.5780060570498335e-09
1882,9.317538740560849e-09,0.0
1883,1.2006744043446815e-08,0.0
1884,3.300848483434038e-09,5.281357573494461e-09
1885,5.80107206715752e-09,0.0
1886,2.5168509054651622e-08,1.2906927748801422e-09
1887,1.7628095927424425e-08,3.9173548849191775e-09
1888,1.0779045211961602e-08,1.268122939990235e-09
1889,1.8168896165349224e-08,0.0
1890,1.1797895993481688e-08,7.209825181320184e-09
1891,4.461953917456185e-09,1.2748440081367107e-09
1892,1.3163876211308434e-08,1.2537024751679837e-09
1893,1.0469308087124318e-08,4.926733243593162e-09
1894,3.150769645188234e-09,3.150769645188234e-09
1895,1.625025980445116e-08,0.0
1896,4.717623180994224e-09,5.89702897624278e-10
1897,1.3401440845939305e-08,5.826713556089658e-10
1898,7.355861253444118e-09,5.6583548957434e-10
1899,7.185851913504848e-09,0.0
1900,3.633737311048435e-09,0.0
1901,6.706486921359556e-09,3.353243460679778e-09
1902,6.38336894454028e-09,9.820567692386817e-10
