year,premier_ADJ are_NOUN,premier_ADJ phare_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,1.6380887757350138e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,1.0947446504872005e-08
1825,0.0,8.805443041381977e-10
1826,0.0,8.80798456392995e-09
1827,0.0,1.8434546111834038e-09
1828,1.8344602503717056e-09,8.255071293206129e-09
1829,0.0,2.571952872898464e-09
1830,0.0,0.0
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,5.791814139399776e-09
1834,0.0,2.0535967593104942e-08
1835,0.0,3.025235173481633e-09
1836,6.720750067579218e-10,1.008112526790228e-08
1837,2.0873671680021744e-09,4.87052354003481e-09
1838,1.8936485712828244e-09,2.5248647617104325e-09
1839,0.0,6.9914751765765e-10
1840,6.369688665408546e-10,0.0
1841,6.420548537278137e-10,6.420548537278137e-09
1842,0.0,5.366612043644636e-09
1843,1.1813822142769936e-09,1.1813822142769936e-09
1844,1.6465684371524958e-09,2.7442805805577564e-09
1845,3.348136878855712e-09,0.0
1846,5.854501328173001e-10,5.854501328173001e-10
1847,2.1572894581822766e-09,4.853901280910122e-09
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,0.0,2.513824481908955e-09
1850,4.752297222410107e-09,1.0183494048021657e-08
1851,6.449438760824933e-10,5.159551008659946e-09
1852,1.9531636308300904e-09,2.6042181744401205e-09
1853,5.971931837933653e-10,2.388772735173461e-09
1854,1.558699391779328e-09,4.1565315633818045e-09
1855,5.306937111981824e-10,1.4328730202350926e-08
1856,1.0354378465748937e-09,1.0354378465748937e-09
1857,0.0,4.393358121745905e-09
1858,9.787352039936081e-10,1.468102750479261e-09
1859,0.0,2.036869339860914e-09
1860,1.8308735638683515e-09,7.323494255473406e-09
