year,premier_ADJ or_NOUN,premier_ADJ for_NOUN
1800,2.829747991484055e-08,0.0
1801,1.4287095284615248e-08,2.3811825844433088e-09
1802,1.1189200677108602e-08,0.0
1803,5.851017448321727e-09,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,8.528632911009026e-09,0.0
1806,2.881669125542885e-08,0.0
1807,2.2775641372874134e-08,0.0
1808,1.1330369975581789e-08,0.0
1809,1.1295152591017654e-08,0.0
1810,3.7442028144596406e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,3.4613449884091096e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.622322720606917e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,1.3113294894395722e-08,0.0
1819,2.0702100145264524e-08,0.0
1820,2.4919610375206958e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,2.8071724500478012e-08,0.0
1823,2.569498569471307e-08,0.0
1824,1.9368560089105813e-08,0.0
1825,4.050503643604486e-08,0.0
1826,8.80798456392995e-09,0.0
1827,2.7651818612639545e-08,0.0
1828,3.760643585426493e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,4.677361831184612e-09,0.0
1832,2.705993829010822e-08,0.0
1833,1.3900354645102198e-08,1.1583628500844156e-09
1834,2.9870498963191494e-08,0.0
1835,4.159698363537245e-08,0.0
1836,3.2931674442959746e-08,0.0
1837,1.7394727436226276e-08,0.0
1838,1.7042836919500814e-08,0.0
1839,2.027527834513876e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,1.2841097074556274e-08,0.0
1842,1.542900918138912e-08,0.0
1843,1.6539350389255247e-08,0.0
1844,2.4698525058486354e-08,0.0
1845,1.7298706467272496e-08,0.0
1846,2.6345256864956923e-08,4.0981511517657054e-09
1847,1.240441438454809e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.1731180693530519e-08,0.0
1850,9.504594444820214e-09,0.0
1851,2.3862924081186065e-08,0.0
1852,1.4974254725075298e-08,6.510545436100301e-10
1853,1.5527023000672102e-08,5.971931837933653e-10
1854,1.922395914677466e-08,0.0
1855,1.1144567935161831e-08,5.306937111981824e-10
1856,2.640366475459288e-08,0.0
1857,1.903788510171367e-08,0.0
1858,1.9574704523961373e-08,0.0
1859,1.0693563812225193e-08,5.092173349652285e-10
1860,1.739329860694916e-08,4.577183909670879e-10
1861,1.7920662287451705e-08,4.715963730639317e-10
1862,1.1746764477793548e-08,0.0
1863,1.4983863039219614e-08,0.0
1864,2.349416661218129e-08,0.0
1865,2.541695881541628e-08,0.0
1866,2.2868380966656332e-08,0.0
1867,3.1543274658929477e-08,4.85281148598915e-10
1868,1.778354707937524e-08,0.0
1869,2.002242827092715e-08,0.0
1870,2.5229815125982213e-08,0.0
1871,9.559059321873065e-09,0.0
1872,1.5723082169571967e-08,6.047339295989218e-10
1873,2.693702005895915e-08,0.0
1874,1.6131444624534197e-08,0.0
1875,1.3731665304828056e-08,0.0
1876,1.813804395567331e-08,0.0
1877,3.2779525871440285e-08,0.0
