year,dernier_ADJ acteur_NOUN,dernier_ADJ facteur_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,0.0,1.1860552717735118e-07
1803,0.0,3.315576790896557e-08
1804,0.0,0.0
1805,0.0,1.1371510844071508e-08
1806,2.0171682990621775e-08,2.305335300434308e-08
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,2.2660739951163578e-09,3.3991110370834576e-08
1809,0.0,0.0
1810,1.263668423234776e-07,5.8503168531842675e-08
1811,0.0,1.6546707115594472e-07
1812,0.0,4.267533171287141e-08
1813,4.3136125782439194e-08,3.738464116054274e-08
1814,9.440030979135372e-09,1.8880061958270744e-08
1815,0.0,5.664169577812572e-08
1816,2.3176038865813098e-09,2.5493642752394408e-08
1817,0.0,6.227493631882908e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,3.1053151161586356e-09
1820,4.746592452420373e-09,3.797273961936298e-08
1821,3.94459531705138e-09,4.930744257336528e-09
1822,0.0,1.2030739071633434e-08
1823,5.929612356680991e-09,1.680056804787e-08
1824,1.0947446504872005e-08,4.210556348027694e-09
1825,1.4969252504215547e-08,1.584979791857677e-08
1826,4.403992281964975e-09,1.9377566218281572e-08
1827,5.530363722527909e-09,1.1982455028203276e-08
1828,3.668920500743411e-09,1.7427371545863934e-08
1829,0.0,7.715858174606183e-09
1830,1.5655253093882493e-08,6.262101504006523e-09
1831,1.4032085715598441e-08,1.5591206548037917e-08
1832,9.470978667991403e-09,1.2176972319366541e-08
1833,1.853380560135065e-08,3.4750886612755494e-09
1834,1.8669061851994684e-09,1.9602515166639023e-08
1835,1.5126175867408165e-09,3.7059130875150004e-08
1836,8.064900192117364e-09,1.6129799718100912e-08
1837,6.9578907080369845e-09,2.5744196108234974e-08
1838,6.312161904276081e-09,2.7142295522253335e-08
1839,6.9914749545318955e-09,1.11863602825224e-08
1840,3.1848443882154243e-09,1.1465439264668476e-08
1841,5.778493683550323e-09,8.346713542550788e-09
1842,6.708265054555795e-10,3.3541325272778977e-09
1843,7.678984559333912e-09,1.1813821920725331e-08
1844,2.7442805805577564e-09,1.0428266250528395e-08
1845,1.6740683839167048e-09,4.464182268293371e-08
1846,1.7563503984519002e-09,1.9319854160926297e-08
1847,1.0786447290911383e-09,3.020205241455187e-08
1848,8.045221711050488e-10,2.896279838182636e-08
1849,5.02764896381791e-09,6.703531951757213e-09
1850,1.6972490968214515e-08,2.1045888587423178e-08
1851,1.6768540778144825e-08,3.418202609850596e-08
1852,9.765818598239662e-09,1.6927417689771573e-08
1853,1.0749477752369785e-08,3.1054046445433414e-08
1854,1.818482586735115e-08,1.9743524148907454e-08
1855,0.0,1.751289246954002e-08
1856,4.659470365098173e-09,1.2942972915652717e-08
1857,2.4407544874094356e-09,1.757343248698362e-08
1858,1.2234189661342043e-08,2.3489644007668176e-08
1859,1.0184346477259965e-08,3.258990943777462e-08
1860,2.746310290291376e-09,1.4189270203246451e-08
1861,9.431927461278633e-10,1.4147890858851042e-08
1862,1.1294965851504912e-08,2.936691068100572e-08
1863,8.990317823531768e-09,1.8480097452311384e-08
1864,1.9178911792039344e-09,9.589456340108882e-09
1865,9.41368871743009e-10,2.5416959203994338e-08
1866,2.9193677475447544e-09,1.9949013108089275e-08
1867,5.338092634588065e-09,1.6984840200962026e-08
1868,1.975949626142892e-09,2.0747471296544973e-08
1869,2.9301114867763545e-09,2.0999133099053324e-08
1870,6.307453670473251e-09,1.2614907340946502e-08
1871,5.3105884134652115e-09,1.805600113868877e-08
1872,1.8142017887967654e-09,1.0280476914203973e-08
1873,2.9930022904522957e-09,2.8134220286801792e-08
1874,5.974609140757536e-10,2.7483201492373155e-08
1875,2.8607636259891933e-09,1.830888685105947e-08
1876,5.441413541973361e-09,5.562333660336094e-08
1877,4.9478527941460015e-09,4.143826615177204e-08
1878,1.8117265465633636e-09,2.8383716710322915e-08
1879,3.0546627449723474e-09,6.292604837199178e-08
1880,9.626769603698904e-09,3.273101611966922e-08
1881,3.4862537301449947e-09,3.765154232837631e-08
1882,0.0,3.394246306243076e-08
1883,8.215140845369007e-09,6.635305993540896e-08
1884,0.0,5.809493330843907e-08
1885,1.8692343894954888e-08,1.0893124624544726e-07
1886,9.034849313138693e-09,8.002295004416737e-08
1887,1.9586773869484375e-09,9.075205298358924e-08
1888,1.9021844099853524e-09,8.940266837953459e-08
1889,4.385595886446936e-09,8.207329216247672e-08
1890,6.554386478008212e-10,5.3745967676377404e-08
1891,3.1871101313640793e-09,6.820415165975646e-08
1892,4.387958441043338e-09,1.1095266927441116e-07
1893,1.2316833108982905e-09,1.3117427499764744e-07
1894,1.2603078580752936e-09,1.1468801375258408e-07
1895,0.0,8.60661870660806e-08
1896,1.179405795248556e-09,1.0437741337909756e-07
1897,2.330685422435863e-09,1.0662886040790909e-07
1898,3.960848538042683e-09,1.1373293251626393e-07
1899,1.1055156790007459e-09,1.0447123344192732e-07
1900,6.7483690857628176e-09,1.2718079744900024e-07
1901,2.794369402536745e-09,8.383108252019156e-08
1902,4.910283846193408e-10,9.034922499040476e-08
1903,6.480264325148255e-09,1.1610473649170672e-07
1904,3.7622376325430196e-09,1.311408510673573e-07
1905,5.160759042333041e-10,1.6669251579060074e-07
1906,2.0576737536082135e-09,1.3271996124331054e-07
1907,1.5428529565042481e-09,1.1314255488059644e-07
1908,5.402527980535865e-09,1.2671384297391342e-07
1909,1.6502950117569526e-09,1.1442045888543362e-07
1910,4.275320542035388e-09,1.330693493173385e-07
1911,2.128149656499545e-09,1.3620157801597088e-07
1912,7.293189607793238e-09,1.458637939322216e-07
1913,2.6514948014977335e-09,1.3098384954446374e-07
1914,2.0090231700464756e-09,1.406316130214691e-07
1915,0.0,1.2369800117539853e-07
1916,0.0,1.2415831918133335e-07
1917,0.0,1.7436614996313438e-07
1918,1.1486376294556067e-09,1.8263338574797672e-07
1919,9.207848372660976e-10,1.6666206192894606e-07
1920,0.0,2.105080469938514e-07
1921,1.5145494858259667e-09,2.241533252345107e-07
1922,3.6889677978990676e-09,1.9330191491917503e-07
1923,5.307974060286824e-09,1.4331530451272556e-07
1924,7.734974438733389e-09,1.675911107668071e-07
1925,2.1996355847875293e-09,1.6827212334646902e-07
1926,4.458455382660986e-09,1.8168205428992223e-07
1927,1.1149224876660924e-09,1.6946822256613814e-07
1928,2.2852082448565625e-09,1.7938884322443727e-07
1929,6.684243825105796e-09,1.7713246336370503e-07
1930,5.2518016602221e-09,1.7225909232365666e-07
1931,4.5621426636444085e-09,1.8248570654577634e-07
1932,7.6716757391182e-09,1.8850403193937382e-07
1933,5.735331320977366e-09,1.950012631368736e-07
1934,0.0,2.132721306224994e-07
1935,7.180970484910176e-09,2.4774347640033056e-07
1936,2.424942913137329e-09,2.837183217252459e-07
1937,3.777335333410292e-09,2.0523522437088104e-07
1938,1.2965214457594243e-09,2.0355386709525192e-07
1939,0.0,2.0952849411060015e-07
1940,0.0,2.637214322476211e-07
1941,8.854508237732261e-09,1.6528414903405064e-07
1942,3.034211770724937e-09,2.306000936869168e-07
1943,2.9032352077962287e-09,2.6129117713935557e-07
1944,0.0,2.7312083084041205e-07
1945,0.0,2.2438591429363441e-07
1946,2.0881655515836428e-08,2.6171676381636644e-07
1947,9.53669654357725e-09,2.5033828898735067e-07
