devrasVERBécrireVERB_count,devrasVERBdécrireVERB_count
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999781800688,0
2.999999991055712,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
3.000000041011231,0
13.000000433504972,0
4.00000015466603,0
4.0000000846224495,0
0.0,0
0.0,0
0.9999999529546316,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.000000069315864,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999859455625,0
0.0,0
1.0000000256593744,0
5.999999856205376,0
3.0000001563214287,0
0.9999999575864772,0
0.0,0
0.999999956948566,0
0.0,0
2.000000048447772,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.0000000678808334,0
2.000000089265482,0
3.000000114780004,0
3.9999999505154102,0
3.0000001126183156,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
4.000000205316461,0
1.9999999556388053,0
1.9999999324502462,0
1.0000000408397083,0
0.9999999732435634,0
1.999999930057517,0
0.0,0
3.0000000075351423,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000277694943,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.0000000693256794,0
0.0,0
0.0,0
3.000000145365493,0
1.000000005077469,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999599809204,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000125184012,0
1.0000000188446085,0
0.0,0
1.9999999746787551,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000162703824,0
0.9999999756852518,0
0.0,0
1.999999987750524,0
0.0,0
0.0,0
1.0000000203859956,0
0.0,0
0.9999999951895512,0
2.000000022173875,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000333399033,0
0.9999999567190246,0
0.0,0
0.9999999569552831,0
0.0,0
2.0000000496222485,0
0.0,0
0.0,0
2.9999997589379497,0
0.9999999964412905,0
2.9999999588241466,0
0.999999987104003,0
0.9999999563909611,0
0.0,0
0.9999999935506795,0
0.0,0
0.9999999957305106,0
0.0,0
0.9999999575505208,0
1.0000000402447056,0
1.9999999753335465,0
3.00000011886951,0
1.0000000293982834,0
1.9999998948517261,0
0.0,0
2.0000000396523427,0
0.0,0
2.000000030828969,0
0.0,0
2.0000000066785972,0
2.0000000362795993,0
6.999999744988811,0
5.00000003814322,0
3.9999999935571835,0
0.0,0
6.000000205516142,0
3.9999999931679535,0
10.00000007600382,0
10.00000001314464,0
10.000000007326317,0
19.999999541456038,0
4.999999878159729,0
13.999999621246893,0
12.000000516501283,0
8.00000033515957,0
