year,ancien_ADJ bail_NOUN
1800,1.5720821977538435e-08
1801,5.9529565277216534e-08
1802,3.8043282302169246e-08
1803,1.950339267864365e-08
1804,9.887403784603066e-09
1805,2.55858996212055e-08
1806,5.76333825108577e-09
1807,8.540865792383556e-09
1808,1.1330369531492579e-08
1809,0.0
1810,1.8721014072298203e-08
1811,4.512738271955641e-08
1812,8.00162425207418e-09
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,7.784366928831332e-09
1818,2.384235386898581e-08
1819,6.210630232317271e-09
1820,1.1866481131050932e-08
1821,0.0
1822,1.0025615893027862e-08
1823,2.9648061783404955e-09
1824,1.0947446504872005e-08
1825,1.937197424695114e-08
1826,6.1655889282974385e-09
1827,2.1199728195142598e-08
1828,1.6510142586412258e-08
1829,7.715858174606183e-09
1830,1.461157062010443e-08
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,1.7375443306377747e-08
1834,7.467624740797874e-09
1835,2.4958190181223472e-08
1836,1.5457725766054864e-08
1837,1.0436836284100082e-08
1838,1.0730675015224733e-08
1839,1.11863602825224e-08
1840,2.5478755105723394e-08
1841,6.22793194793303e-08
1842,1.2074877098200432e-08
1843,1.5357969118667825e-08
1844,1.0428266250528395e-08
1845,2.399498022498392e-08
1846,3.5127007969038004e-09
1847,1.7258315665458213e-08
1848,1.930853166243196e-08
1849,4.1897072478036534e-09
1850,1.8330290174617403e-08
1851,7.739326512989919e-09
1852,2.4740073101270355e-08
1853,1.7318601663873778e-08
1854,2.338049043260071e-08
1855,1.3798036491152743e-08
1856,1.9673318973900678e-08
1857,2.3431244500216053e-08
1858,8.808616946964776e-09
1859,2.4442432078330967e-08
1860,7.323494255473406e-09
1861,1.5562680033553988e-08
1862,1.8071945051545413e-09
1863,1.7980635647063536e-08
1864,1.7740493518658695e-08
1865,1.7886009118228685e-08
1866,1.702964524952222e-08
1867,5.82337378318698e-09
1868,8.89177353968762e-09
1869,9.278686263769487e-09
1870,3.2110673231500186e-08
1871,3.717412155879174e-08
1872,8.4662747923403e-09
1873,1.6760813181804224e-08
1874,1.1949218503559678e-08
1875,1.3731664694205392e-08
1876,1.4510435519810017e-08
1877,1.2988113695655557e-08
1878,2.717589886458427e-08
1879,1.588424503040642e-08
1880,1.9253539207397807e-08
1881,2.2312024228199334e-08
1882,2.1962771157291172e-08
1883,1.1374810426900694e-08
1884,1.7164412113856997e-08
1885,2.5782542323327107e-08
1886,1.097088819790315e-08
1887,2.7421483750345033e-08
1888,8.876860135842435e-09
1889,1.3783300722991498e-08
1890,2.0974036729626278e-08
1891,3.888274235919198e-08
1892,2.820830502514582e-08
1893,3.7566341148931315e-08
1894,1.2603078580752936e-08
1895,1.5648398132839247e-08
1896,1.7691087705884456e-08
1897,1.2818770045441852e-08
1898,1.1316709347397591e-08
1899,1.8241008703512307e-08
1900,1.5054054003371675e-08
1901,2.3472702892490815e-08
1902,2.0132164380015638e-08
1903,1.1340462791054051e-08
1904,1.1824175416563776e-08
1905,8.257214467732865e-09
1906,2.2634411678268407e-08
1907,9.771402353919711e-09
1908,1.3751889405000384e-08
1909,1.8153246017504898e-08
1910,1.870452770447173e-08
1911,5.852411444351446e-09
1912,1.3023552902780011e-08
1913,2.0151361468379037e-08
1914,2.8126324380650658e-08
1915,4.005459075528961e-08
1916,1.538244731591476e-08
1917,3.289927441585405e-09
1918,1.033773866510046e-08
1919,1.5653341733923298e-08
1920,6.96645301445642e-08
1921,2.196096815509918e-08
1922,1.0329110011753073e-08
1923,1.1677542488541803e-08
1924,1.2891624656674594e-08
1925,1.2097995494286806e-08
1926,1.7833821530643945e-08
1927,1.7838759802657478e-08
1928,2.170947865920425e-08
1929,2.33948540540041e-08
1930,1.8906487042613662e-08
1931,1.4826963656844327e-08
1932,1.753525857850491e-08
1933,2.982372038218273e-08
1934,1.7972370258689807e-08
1935,2.0346082152400413e-08
1936,3.6374143697059935e-09
1937,1.3850230295986421e-08
1938,1.0372171566075394e-08
1939,1.070583532936098e-08
1940,1.2678914806940611e-08
1941,0.0
1942,1.8205270180260413e-08
1943,2.6129116648121453e-08
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,1.8097434661967782e-08
1947,2.622591566137089e-08
1948,2.0656587551570738e-08
1949,8.835307596655184e-09
1950,1.4889506516624351e-08
1951,2.1322803078760444e-08
1952,1.687168627029223e-08
1953,1.723812381726475e-08
