year,en_ADP an_NOUN,en_ADP bancs_NOUN
1800,4.904896533375336e-07,1.540640539587912e-07
1801,5.643402785082685e-07,3.1907845254863787e-07
1802,6.064546766992862e-07,1.7007585029205075e-07
1803,5.265915992147541e-07,2.9840191473340383e-07
1804,3.6830580740776497e-07,1.1617699158250616e-07
1805,4.918178508894755e-07,2.3311596919484145e-07
1806,4.3801370352980484e-07,2.420601958874613e-07
1807,4.526658616832435e-07,7.117387781363504e-07
1808,5.483899125913183e-07,2.3793776904312836e-07
1809,5.421673359151669e-07,4.3373387370593264e-07
1810,5.943921879136838e-07,2.386929338626942e-07
1811,5.515568854974617e-07,4.938941060572688e-07
1812,3.6807472891808857e-07,3.280666192040371e-07
1813,4.658701489024253e-07,2.7894694198948855e-07
1814,5.286417530392384e-07,1.950939889638903e-07
1815,5.529308373386499e-07,4.1537242623235215e-07
1816,5.400016984680178e-07,2.897004947044479e-07
1817,5.433488123873786e-07,6.959224378988438e-07
1818,6.115563999653517e-07,3.1471907391278364e-07
1819,4.896046665869846e-07,9.284892144023615e-07
1820,5.517913699293331e-07,1.1391821885808895e-07
1821,5.581602378068595e-07,3.70791951809224e-07
1822,5.323601897089247e-07,7.609442604916694e-07
1823,5.33665093671587e-07,3.9530746676064155e-07
1824,5.793725446068265e-07,1.978961421400527e-07
1825,5.60906715518783e-07,2.896990736189764e-07
1826,4.6241916806799566e-07,3.4527297998465656e-07
1827,6.286180035952604e-07,5.75157855564612e-07
1828,5.851928263078676e-07,4.283464818399807e-07
1829,5.735454887134672e-07,4.766685890444933e-07
1830,3.7781346229337487e-07,5.667201889991702e-07
1831,3.80425425827724e-07,3.4612477861628577e-07
1832,3.368962461225422e-07,3.5989717162010493e-07
1833,6.544750054127135e-07,4.297526174923405e-07
1834,4.424567656702294e-07,5.81541257815843e-07
1835,4.4092801942952065e-07,3.8798640389359207e-07
1836,3.8913142974550397e-07,1.6264215219052858e-07
1837,4.167776712638016e-07,2.379598669222105e-07
1838,3.888291648657116e-07,2.6763567007037636e-07
1839,4.1669192585302994e-07,2.8525218453978596e-07
1840,3.471480304884089e-07,1.8153612302285183e-07
1841,3.7239181560622114e-07,3.4606756571520236e-07
1842,5.138531156134718e-07,1.690482775984492e-07
1843,3.378753090643727e-07,2.1264879990212648e-07
1844,3.485236398370617e-07,2.0197904859742266e-07
1845,3.5546052618018464e-07,2.4329793291144597e-07
1846,3.2843752117983627e-07,2.4881632043616264e-07
1847,4.0395245015645287e-07,3.4840223861465347e-07
1848,3.1456817606301257e-07,1.0418561942060478e-06
1849,4.725990050413742e-07,3.2344541978091e-07
1850,3.91725066606341e-07,2.3354147060672403e-07
1851,4.456562066046388e-07,2.986090237300232e-07
1852,3.359441413941511e-07,2.0768639785728737e-07
1853,5.482233342846143e-07,3.5831590139423497e-07
1854,3.3044426805961535e-07,2.187374690265642e-07
1855,4.1022623520348134e-07,3.3911328500835225e-07
1856,3.748285001270446e-07,7.284305070243136e-07
1857,3.656250328054611e-07,4.940087023896922e-07
1858,3.0976968945495287e-07,2.897056106121454e-07
1859,3.5288760402707453e-07,2.4340587856386264e-07
1860,3.748713676143822e-07,3.405424706670601e-07
1861,3.2870266553075567e-07,1.9618408941823873e-07
1862,3.6189069990699707e-07,3.0496406111524266e-07
1863,3.995696622460798e-07,2.0677730105944647e-07
1864,3.452204173637341e-07,2.7377896572033933e-07
1865,3.8266645119300335e-07,2.767624494026677e-07
1866,3.824371657135117e-07,2.5933715619430586e-07
1867,3.663872796266787e-07,3.2174139619201014e-07
1868,4.5249248004086695e-07,3.724665020854445e-07
1869,3.8775141508740063e-07,4.5172552631811413e-07
1870,4.157185449216172e-07,3.744333980648662e-07
1871,3.887350770170883e-07,3.1969744895832264e-07
1872,5.049528292166983e-07,4.039622751861316e-07
1873,5.453249966036466e-07,4.980355470252107e-07
1874,4.451083851497728e-07,4.648245806038176e-07
1875,3.804815484897972e-07,8.176062351594737e-07
1876,4.885179869518197e-07,8.343500326191133e-07
1877,3.525345166899285e-07,3.5624540828393947e-07
1878,5.398945350232331e-07,4.468925567380211e-07
1879,4.1909971393305767e-07,4.2948556711053243e-07
1880,4.3577175246056754e-07,4.691445667504013e-07
1881,4.2741470163143447e-07,3.228271054922516e-07
1882,4.199548004901743e-07,4.359277170351561e-07
1883,4.069654357952146e-07,4.891168146059499e-07
1884,3.366865382048445e-07,6.733731083841121e-07
1885,4.202554444443507e-07,1.083511392607761e-06
1886,4.491610913204269e-07,6.175964699650649e-07
1887,3.3166937818407405e-07,8.938097835198278e-07
1888,4.7237579248182726e-07,7.798956289661874e-07
1889,3.2265454574798014e-07,7.449247618751542e-07
1890,3.454161583427151e-07,7.511326884923619e-07
1891,3.5823116739663874e-07,5.615688110083283e-07
1892,3.2658949455921515e-07,5.497485631167365e-07
1893,2.7528121826492224e-07,7.322357191696938e-07
1894,3.610781962315457e-07,6.515791710626218e-07
1895,2.8167116128408054e-07,7.059834956635314e-07
1896,2.954411550959435e-07,6.020866862854746e-07
1897,3.018237670904256e-07,7.166857471929688e-07
1898,2.8744442459593955e-07,6.048781528988911e-07
1899,2.802482299557596e-07,6.809976866861689e-07
1900,2.678583330695261e-07,1.0081025720865e-06
1901,2.732893396584224e-07,5.761989996244665e-07
1902,2.7595794294121845e-07,4.753154883019306e-07
1903,2.9323195738228947e-07,8.856360977915756e-07
1904,2.7410588554488413e-07,4.84791200960899e-07
1905,2.342984628533884e-07,4.0821603874974244e-07
1906,2.453775985733486e-07,6.450807177316165e-07
1907,2.7617068942831224e-07,5.11712926254404e-07
1908,2.1462770916080842e-07,5.657919928125921e-07
1909,2.381925914285432e-07,5.341454993867956e-07
1910,1.9345826018923873e-07,7.706265137130686e-07
1911,2.745313101293334e-07,4.830899911212327e-07
1912,2.3181924374560126e-07,6.09502308179799e-07
