year,bon_ADJ or_NOUN,bon_ADJ bord_NOUN
1800,3.45858084394024e-08,2.2009151834367913e-08
1801,5.952956638743956e-08,0.0
1802,8.056224487518193e-08,1.1189200677108602e-08
1803,3.315576790896557e-08,0.0
1804,5.6852570651244605e-08,4.943701892301533e-09
1805,2.55858996212055e-08,0.0
1806,6.339671898558663e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,7.024829073998262e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.4040760110134443e-08,4.680253518074551e-09
1811,6.016984377410495e-08,3.5099073869560016e-08
1812,1.600324850414836e-08,0.0
1813,3.163315875909234e-08,1.1502966579257645e-08
1814,6.608022173892891e-08,1.2586708564299443e-08
1815,5.664169577812572e-08,0.0
1816,3.244645441213834e-08,0.0
1817,4.670620157298799e-08,0.0
1818,3.5763530803478716e-08,0.0
1819,6.107119787657211e-08,0.0
1820,7.001224133773576e-08,0.0
1821,5.127973856655643e-08,0.0
1822,4.511527151862538e-08,1.0025615893027862e-09
1823,5.138997138942614e-08,0.0
1824,5.642145595174952e-08,0.0
1825,9.774041842547376e-08,3.522177216552791e-09
1826,9.953022128694755e-08,0.0
1827,5.069500080834288e-08,0.0
1828,8.438517085096464e-08,8.255071293206129e-09
1829,3.772197487705853e-08,1.3717081692732336e-08
1830,6.366470017837855e-08,1.0436835395921662e-08
1831,4.989185953263586e-08,1.5591206548037917e-08
1832,8.929779937716376e-08,9.470978667991403e-09
1833,4.865124125785769e-08,1.1583628500844156e-09
1834,5.507373401769655e-08,3.733812370398937e-09
1835,6.806779140333674e-08,3.1764969321557146e-08
1836,6.183090411893133e-08,1.3441500135158435e-09
1837,8.697363540477454e-08,4.87052354003481e-09
1838,1.218247263068406e-07,1.2624323808552163e-09
1839,1.0836786401569043e-07,0.0
1840,9.427139247009109e-08,1.0828470564661075e-08
1841,6.35634278545183e-08,8.346713542550788e-09
1842,3.3541326160957396e-08,2.1466448174578545e-08
1843,1.2109167357721162e-07,1.594865928211675e-08
1844,8.781698307425145e-08,7.683985892015244e-09
1845,6.02664584903323e-08,5.022205318283568e-09
1846,6.20577138565892e-08,2.3418005312692003e-09
1847,6.094342808182773e-08,5.3932236454556914e-09
1848,2.3089786793661915e-07,1.045878850192139e-08
1849,7.373885324568619e-08,6.703531951757213e-09
1850,1.0522943671986695e-07,1.3577992064028876e-09
1851,5.997978069771648e-08,1.2898877521649865e-09
1852,6.705861865796692e-08,2.6042181744401205e-09
1853,7.882950114890264e-08,1.2541057081705276e-08
1854,6.234797211845944e-08,5.195664454227256e-10
1855,1.3214273053563375e-07,2.1227748447927297e-09
1856,5.7984518520015627e-08,5.694908100650764e-09
1857,9.030791758846135e-08,6.8341128311999455e-09
1858,8.270312434888183e-08,8.31924928945682e-09
1859,6.772590666059841e-08,2.64793023063703e-08
1860,7.323494441435763e-08,1.8308735638683515e-09
1861,6.838147470489275e-08,3.772770984511453e-09
1862,6.957699127951855e-08,5.421583626485926e-09
1863,6.942522734476597e-08,1.4983863039219614e-09
1864,7.767459209162553e-08,4.794727948009836e-10
1865,1.2755548756127055e-07,8.001635798393636e-09
1866,4.962925004292629e-08,4.865612912574591e-10
1867,1.2471726051899168e-07,9.7056229719783e-10
1868,1.6202786312646822e-07,4.93987406535723e-10
1869,1.0304225384061283e-07,9.767038289254515e-10
1870,9.690542412954528e-08,2.8670243956696595e-09
1871,1.1577082958957874e-07,0.0
1872,6.228759541482276e-08,1.8142017887967654e-09
1873,1.3229070550124788e-07,3.591602570907071e-09
1874,7.826737868921185e-08,1.6131444624534197e-08
1875,8.124568529055409e-08,3.432916173551348e-09
1876,6.166934962692494e-08,1.813804439976252e-09
1877,1.199854282596391e-07,3.0924081073635534e-09
1878,8.394333572692148e-08,9.662541877730746e-09
1879,1.1424438006724102e-07,3.0546627449723474e-09
1880,6.99545257276668e-08,4.492492600149944e-09
1881,7.669758161910067e-08,2.091752326904839e-09
1882,8.652000360598322e-08,0.0
1883,7.64639978001469e-08,1.0742875922176154e-08
1884,6.205595148855991e-08,4.621187876807653e-09
1885,1.005519196795035e-07,2.5782542767416317e-09
1886,7.550552844071134e-08,5.162771099520569e-09
1887,8.618180658004349e-08,5.876032105334161e-09
1888,7.735550155985038e-08,3.1703073499755874e-09
1889,5.701274446989757e-08,6.265136742733546e-10
1890,7.537544632896243e-08,3.9326319978272295e-09
1891,5.609313546983685e-08,6.374220040683554e-10
1892,8.274436424926535e-08,6.268512375839919e-10
1893,7.020594949835868e-08,0.0
1894,7.624862519151065e-08,0.0
1895,9.569597381187123e-08,1.3240951446391591e-08
1896,6.191880430606034e-08,7.076434549446731e-09
1897,4.4865694825979574e-08,1.1070755867592652e-08
1898,6.5636914792222e-08,2.26334195829736e-09
1899,4.311511325738593e-08,8.844125432005967e-09
1900,4.983411017178696e-08,7.786579381274805e-09
1901,3.353243371861936e-08,3.353243460679778e-09
1902,7.021706238674597e-08,3.928227076954727e-09
1903,5.994244389739833e-08,7.020286574288548e-09
1904,4.192207825326477e-08,1.6123875568041512e-09
1905,9.753834717685095e-08,1.0837593933388234e-08
1906,4.423998589686562e-08,2.572092316910357e-09
1907,5.914269962659091e-08,3.0857059130084963e-09
