year,un_DET an_NOUN,un_DET banc_NOUN
1800,2.065401696427216e-05,3.6283657962599136e-06
1801,1.8870872679599415e-05,3.1455422657700183e-06
1802,2.064631223674951e-05,3.390327918850744e-06
1803,1.965746980658878e-05,3.305824890276199e-06
1804,2.160644874038553e-05,3.2999210333173323e-06
1805,1.9544784152003558e-05,3.3773388103952584e-06
1806,2.088921922904774e-05,2.5185788388171204e-06
1807,2.2809804022472235e-05,3.103180990393639e-06
1808,2.2792173126617854e-05,3.7095631313377453e-06
1809,2.104286875237449e-05,3.1807150264739903e-06
1810,2.2191421578554582e-05,2.861975083590096e-06
1811,2.3202996260351938e-05,3.895997281233576e-06
1812,1.9139885921504174e-05,3.6167344603654783e-06
1813,2.1648583356181916e-05,3.482523140974081e-06
1814,1.9182143887519487e-05,2.3663011425867353e-06
1815,1.9614209008977923e-05,2.8671487513065586e-06
1816,1.8413362852243154e-05,2.790395058127615e-06
1817,1.8037934694348223e-05,3.1542256095917764e-06
1818,2.2023183362307464e-05,2.741870876121766e-06
1819,2.257356914014963e-05,2.5504986354007997e-06
1820,2.1815338527630956e-05,2.6652117597336655e-06
1821,2.1181491547395126e-05,2.558070114844213e-06
1822,1.979156860443254e-05,2.985628327678569e-06
1823,2.0159692155630182e-05,2.5862991321901063e-06
1824,1.9963090494456992e-05,2.625703018566128e-06
1825,2.186831864037231e-05,3.3346212404694597e-06
1826,2.178390661811136e-05,3.3479148058290775e-06
1827,2.2704908076320862e-05,2.8269375320633117e-06
1828,2.097338466455767e-05,2.4269907967777726e-06
1829,2.0859394453509594e-05,3.549294916638246e-06
1830,2.163869237392646e-05,3.5266067470729467e-06
1831,2.1741936109265225e-05,3.380173481559723e-06
1832,2.361114900395478e-05,3.0821271224112934e-06
1833,2.2751404912924045e-05,5.006444411037592e-06
1834,2.3242048655447434e-05,3.59286092077582e-06
1835,2.2531194360908557e-05,3.8965027897575055e-06
1836,2.33613275213429e-05,3.0404672202166694e-06
1837,2.430878402037706e-05,3.4170202951600004e-06
1838,2.4272787300105847e-05,3.0531927421861838e-06
1839,2.1895203417443554e-05,3.0566728597136716e-06
1840,2.3132797764446877e-05,2.748520618212069e-06
1841,2.3125531356527063e-05,2.895667492452958e-06
1842,2.389282769854617e-05,3.099889251956256e-06
1843,2.350182637655962e-05,2.9410509512217686e-06
1844,2.482750744547957e-05,2.8019105826615487e-06
1845,2.3381713617709465e-05,2.745472173160124e-06
1846,2.4084248366307293e-05,3.0882495352102524e-06
1847,2.4692335387044295e-05,2.6200280274224497e-06
1848,2.4372999632760184e-05,3.2559013050104113e-06
1849,2.701523294490471e-05,3.5034333762951064e-06
1850,2.3052035430737305e-05,2.4806992513504156e-06
1851,2.4945139216470125e-05,3.0441350347132357e-06
1852,2.4500484073541884e-05,2.6543494655584254e-06
1853,2.3782621269674564e-05,2.9119139455247023e-06
1854,2.3131617240323976e-05,2.7744847308497356e-06
1855,2.4107293256747653e-05,3.066878846880172e-06
1856,2.357847222356213e-05,3.173099301534421e-06
1857,2.367824788507278e-05,3.4014354923783685e-06
1858,2.352292119667254e-05,3.168655304364165e-06
1859,2.2499768192574265e-05,3.077709564536235e-06
1860,2.318297811143566e-05,3.2461387817761533e-06
1861,2.3103035232452385e-05,2.757423906984968e-06
1862,2.4454505023641104e-05,2.9502451397434015e-06
1863,2.4611993467260618e-05,2.927347274805925e-06
1864,2.474175516908872e-05,2.8221768886282916e-06
1865,2.437862940496416e-05,3.005790716770207e-06
1866,2.334715657070774e-05,2.987972912649184e-06
1867,2.4310645130753983e-05,3.17665035254322e-06
1868,2.4710238449188182e-05,2.688773562908864e-06
1869,2.4774581220299297e-05,3.227517737514063e-06
1870,2.4546889108023606e-05,3.144552408684831e-06
