year,bien_ADV eu_VERB,bien_ADV bu_VERB
1800,2.5153315164061496e-07,5.65949598296811e-08
1801,4.0956339830700017e-07,8.334139067756041e-08
1802,4.856112809648039e-07,3.8043282302169246e-08
1803,2.5354410126965377e-07,6.631153581793114e-08
1804,3.831368928786105e-07,1.2359254242255702e-07
1805,3.752598445316835e-07,2.842877755426798e-08
1806,3.602086451337527e-07,8.06867319624871e-08
1807,2.932363827312656e-07,3.131650672116848e-08
1808,2.5380029455845943e-07,9.970725756147658e-08
1809,4.3373387370593264e-07,1.4457795316502597e-07
1810,2.69114565298878e-07,7.020380365929668e-08
1811,4.78851688967552e-07,1.6045291317823285e-07
1812,3.494042744023318e-07,3.7340914360584065e-08
1813,4.3423699480626965e-07,4.888760685162197e-08
1814,3.4613449884091096e-07,1.8880061958270744e-08
1815,3.263640451223182e-07,1.0788894222457657e-08
1816,2.9201808615653135e-07,3.476405652236281e-08
1817,3.829908621355571e-07,3.89218364205135e-08
1818,3.552510747795168e-07,5.126106117359086e-08
1819,3.7263779972818156e-07,5.2790355198339967e-08
1820,5.078853746454115e-07,1.2341141086835705e-07
1821,3.816396088041074e-07,6.903042049088981e-08
1822,5.383755592447415e-07,5.81485721795616e-08
1823,5.277354944155377e-07,1.5515819029587874e-07
1824,5.776883540420386e-07,6.736890156844311e-08
1825,4.261834476437798e-07,7.396572243578703e-08
1826,4.289488515496487e-07,1.241925815520517e-07
1827,3.548650227003236e-07,4.2399456390285195e-08
1828,4.06332958391431e-07,5.595103758082587e-08
1829,4.192283142856468e-07,7.458663020543099e-08
1830,4.1538606865287875e-07,7.618890407457002e-08
1831,4.7241354650395806e-07,1.153749238369528e-07
1832,3.8154513504196075e-07,3.92369123858316e-08
1833,3.9616008962184424e-07,3.359252431778259e-08
1834,4.01384824044726e-07,3.733812548034621e-08
1835,5.00676435422065e-07,8.31939672707449e-08
1836,5.087607632958679e-07,7.930485423912614e-08
1837,5.29495480350306e-07,8.279890550966229e-08
1838,5.352713401407527e-07,7.006499913586595e-08
1839,3.355908120283857e-07,4.754203075663099e-08
1840,3.363195730798907e-07,3.567025785855549e-08
1841,4.1091510638580075e-07,7.255219713897532e-08
1842,4.004834295301407e-07,4.9641162291891305e-08
1843,3.904468144355633e-07,4.430183153658618e-08
1844,4.2097263985851896e-07,5.3787900355928286e-08
1845,3.336976419632265e-07,6.41726245476093e-08
1846,4.437711993432458e-07,7.259581735752363e-08
1847,3.5487411764734134e-07,2.8044762956369595e-08
1848,4.111108182769385e-07,4.907585093860689e-08
1849,3.728839601535583e-07,4.4410899846525353e-08
1850,4.82018720049382e-07,4.277067588986938e-08
1851,3.5471913406581734e-07,5.804495017969202e-08
1852,3.684968703510094e-07,5.7943854159248076e-08
1853,5.303075454321515e-07,5.971931926751495e-08
1854,4.977446792508999e-07,5.6113176327698966e-08
1855,4.6701046585440054e-07,5.73149208094037e-08
1856,4.3125984916514426e-07,4.141751475117417e-08
1857,4.2713205061772896e-07,6.199516633387248e-08
1858,5.304744945533457e-07,5.627727261980908e-08
1859,4.6898915684323583e-07,5.8050776630125256e-08
1860,3.9592640632690745e-07,3.9363783344015246e-08
1861,4.357550551503664e-07,3.5369726703038395e-08
1862,4.635454047274834e-07,5.1505043785482485e-08
1863,4.400260991133109e-07,5.893652499366908e-08
1864,3.8405769942073675e-07,7.623617648278014e-08
1865,4.344417448010063e-07,3.812543880599151e-08
1866,4.6709882894901966e-07,4.476363812955242e-08
1867,5.342945428310486e-07,3.930777126015528e-08
1868,4.801557338396378e-07,5.4832600682175325e-08
1869,4.653993812553381e-07,3.5161338729494673e-08
1870,4.5413665361593303e-07,3.4977698959437475e-08
1871,5.26810367773578e-07,6.054071377548098e-08
1872,4.408510392295284e-07,4.2936108002322726e-08
1873,5.141977794664854e-07,5.447263973223926e-08
1874,5.263630669105623e-07,5.257655999457711e-08
1875,4.771753765453468e-07,4.920513418937844e-08
1876,4.6796154151707015e-07,7.738898943898675e-08
1877,3.8655099388051894e-07,3.7727378554563984e-08
1878,4.1911275161510275e-07,3.623453181944569e-08
1879,5.070739916845923e-07,7.881029517875504e-08
1880,4.999502039026993e-07,5.134277003548959e-08
1881,4.364789845112682e-07,4.462404845639867e-08
1882,5.58386830107338e-07,6.122954232523625e-08
1883,4.948042260366492e-07,4.9922778799782463e-08
1884,4.832442073166021e-07,4.357119820497246e-08
1885,4.5054994757265376e-07,4.1252068427866107e-08
1886,4.581959274219116e-07,3.613939725255477e-08
1887,4.5049580421618884e-07,4.113222473733913e-08
1888,5.376841158977186e-07,7.481925479169149e-08
1889,5.450668822959415e-07,4.1976417008982025e-08
