year,rien_PRON eu_VERB,rien_PRON bu_VERB
1800,5.282196298139752e-07,9.432493897065797e-09
1801,6.667311254204833e-07,0.0
1802,4.050490645113314e-07,1.1189200677108602e-08
1803,5.012371957491268e-07,0.0
1804,7.118930511751387e-07,3.460591457837836e-08
1805,5.970043162051297e-07,8.528632911009026e-09
1806,6.166771981952479e-07,5.76333825108577e-09
1807,4.185023954050848e-07,1.4234775136401367e-08
1808,4.826737836083339e-07,1.3596443970698147e-08
1809,5.218360570324876e-07,9.036122072814123e-09
1810,8.471258752251742e-07,1.6380887757350138e-08
1811,4.83865790101845e-07,1.7549536934780008e-08
1812,6.507988246085006e-07,1.3336041604361526e-08
1813,5.5501811857539e-07,1.4378708002027452e-08
1814,5.726952281293052e-07,3.1466771410748606e-09
1815,6.9048923023729e-07,1.8880564667256294e-08
1816,8.111613851724542e-07,4.6352077731626196e-09
1817,9.450221796214464e-07,1.0898113522728181e-08
1818,7.808371265127789e-07,0.0
1819,6.158874725770147e-07,8.280840013696888e-09
1820,6.823226499363955e-07,7.119888678630559e-09
1821,7.060825737426057e-07,2.2681422962023134e-08
1822,8.140800105138624e-07,1.1028177482330648e-08
1823,7.827088097656087e-07,4.941343334508019e-09
1824,7.663212500119698e-07,6.736890156844311e-09
1825,6.61288765968493e-07,2.6416328680056722e-08
1826,7.019963277343777e-07,6.1655889282974385e-09
1827,5.7607957160144e-07,2.7651818612639545e-09
1828,7.741422223261907e-07,8.255071293206129e-09
1829,7.733004849796998e-07,1.1145129263923081e-08
1830,7.023990633570065e-07,1.461157062010443e-08
1831,6.64185392906802e-07,0.0
1832,6.480855176960176e-07,1.8941957335982806e-08
1833,7.10076449195185e-07,2.20088942626262e-08
1834,6.347481189550308e-07,2.8003592777992026e-09
1835,6.39080951714277e-07,1.1344631900556124e-08
1836,7.661654990442912e-07,1.68018754465038e-08
1837,6.749154408680624e-07,1.3219993100221927e-08
1838,7.145367248995171e-07,1.8936486156917454e-08
1839,7.536810358033108e-07,1.2584655095793096e-08
1840,7.299663025150949e-07,2.93005673057678e-08
1841,6.099521101532446e-07,1.4125206782011901e-08
1842,5.977063892714796e-07,1.1404051036834062e-08
1843,6.137280479379115e-07,1.594865928211675e-08
1844,6.668602168247162e-07,2.140538946093784e-08
1845,6.249855459827813e-07,3.0691253982695343e-08
1846,7.886013122515578e-07,2.517435504501009e-08
1847,5.312325015438546e-07,1.4561703842730367e-08
1848,7.667096042496269e-07,1.206783295515379e-08
1849,7.298470450223249e-07,2.513824526317876e-08
1850,7.508629664698674e-07,1.2220192857625989e-08
1851,6.05602281211759e-07,1.805842941848823e-08
1852,7.044409926493245e-07,1.9531636308300904e-09
1853,6.60495686588547e-07,2.6276499198729653e-08
1854,7.43499583677476e-07,8.313063126763609e-09
1855,7.371335755124164e-07,2.2289135870323662e-08
1856,8.909942721402331e-07,1.5531567143511893e-08
1857,7.722547366029175e-07,2.0990489346672803e-08
1858,6.342203846543271e-07,1.565976326389773e-08
1859,7.847039000807854e-07,1.018434669930457e-08
1860,7.154138188525394e-07,1.4189270203246451e-08
1861,7.21070875897567e-07,1.650587222457034e-08
1862,9.04049045402644e-07,1.671654992208005e-08
1863,8.385968612856232e-07,1.5982786649715308e-08
1864,7.930480023787823e-07,1.342523781033833e-08
1865,8.477026653963549e-07,1.8827376990770972e-08
1866,7.648743576282868e-07,1.702964524952222e-08
1867,7.706264568696497e-07,1.5043715606566366e-08
1868,7.558007268926303e-07,2.1735445443482604e-08
1869,7.916184472378518e-07,1.904572499711321e-08
1870,6.617092367378063e-07,1.3188312664169644e-08
1871,8.018988637559232e-07,1.4869648623516696e-08
1872,8.061103358159016e-07,1.8746751706544273e-08
1873,8.027232070162427e-07,3.1725821969530443e-08
1874,7.468261173926294e-07,2.2703515512034755e-08
1875,7.066086027407437e-07,9.154443425529735e-09
1876,6.584110110452457e-07,1.934724735974669e-08
1877,6.704340762553329e-07,2.5976227391311113e-08
1878,5.712977895200311e-07,6.039088784604019e-09
1879,7.490032771784172e-07,1.1607718342077078e-08
1880,7.040377454359259e-07,7.701415505323439e-09
1881,7.404802886412654e-07,1.1156012114099667e-08
1882,6.86170210428827e-07,1.1979693681496428e-08
1883,6.527877189910214e-07,1.0110942305630033e-08
1884,6.925180286998511e-07,1.5844072720483382e-08
1885,6.239375238692446e-07,1.4180398189012067e-08
1886,6.55026610729692e-07,1.2261581083805595e-08
1887,6.365701779031951e-07,1.2404957061562527e-08
1888,6.911270133969083e-07,1.4583413587843097e-08
1889,6.559598091371299e-07,3.00726554769426e-08
1890,5.997263770041172e-07,1.8352281472289178e-08
1891,6.272232440096559e-07,1.9760081571007504e-08
1892,6.11806797223835e-07,2.0686091062316336e-08
1893,6.127624487817229e-07,1.4780200174868696e-08
1894,7.001009976193018e-07,1.5753848003896564e-08
1895,6.289452016972064e-07,1.1435367319734269e-08
1896,6.292129910434596e-07,1.0024948871034667e-08
1897,6.042301947672968e-07,2.155884004650943e-08
1898,6.603299880225677e-07,2.093591255913907e-08
1899,6.378825219144346e-07,2.1004797901014172e-08
1900,5.788024282082915e-07,1.5054054003371675e-08
1901,6.717664291500114e-07,2.8502569193733507e-08
1902,6.152585569907387e-07,1.7677022512430085e-08
1903,6.507265197797096e-07,1.3500550899436803e-08
1904,5.869090955457068e-07,1.5048950530172078e-08
1905,5.774889473286748e-07,2.5287718585786934e-08
1906,6.332491011562524e-07,2.0576738535282857e-08
1907,6.413125674953335e-07,2.674278576364486e-08
1908,6.812096557951008e-07,3.192402786567072e-08
1909,6.430649932553933e-07,1.5402754627302784e-08
1910,6.509175705105008e-07,2.2979847358328698e-08
1911,5.841770871484187e-07,2.0217422402879492e-08
1912,6.121069873188389e-07,2.0837685354990754e-08
