year,son_DET aveu_NOUN
1800,1.5940914139811468e-06
1801,1.7120702295869705e-06
1802,1.3337526922896359e-06
1803,1.2131110294077985e-06
1804,1.4509764993952956e-06
1805,1.7426839842293873e-06
1806,1.4581246112754798e-06
1807,1.3779262708624174e-06
1808,1.5182695722870676e-06
1809,1.5587310064901772e-06
1810,1.3759945147739927e-06
1811,1.3337648177014216e-06
1812,1.6269970100069031e-06
1813,1.7225692605649101e-06
1814,1.1579772336567373e-06
1815,1.480775732254358e-06
1816,1.4067855520494277e-06
1817,1.658070175380999e-06
1818,1.6558514932540902e-06
1819,1.8393815430783889e-06
1820,1.7230130513468112e-06
1821,1.7425249900782092e-06
1822,1.5379295348338928e-06
1823,1.498215375761447e-06
1824,1.410536343726676e-06
1825,1.3983043913867732e-06
1826,1.5281853240622922e-06
1827,1.5153197399087048e-06
1828,1.3639212426141967e-06
1829,1.5954680954166633e-06
1830,1.2879055155678998e-06
1831,8.434842602156323e-07
1832,8.740360026848748e-07
1833,7.830533115260607e-07
1834,1.2704296388221792e-06
1835,1.175303836475905e-06
1836,1.1552969469974528e-06
1837,8.620827007810306e-07
1838,1.009314711808429e-06
1839,1.0165604749090562e-06
1840,1.1153325347734722e-06
1841,1.1004820184012942e-06
1842,9.022616316300969e-07
1843,9.758217291988558e-07
1844,1.0378869381710842e-06
1845,9.419424831236256e-07
1846,9.220839327639396e-07
1847,8.93657153611116e-07
1848,7.95672440712103e-07
1849,9.502256581583879e-07
1850,1.0373586221135156e-06
1851,8.410068410569238e-07
1852,8.613451747407908e-07
1853,8.796655457388169e-07
1854,9.133978036146573e-07
1855,9.26060529593542e-07
1856,8.614842625931374e-07
1857,1.0168183717240709e-06
1858,8.69606228803832e-07
1859,9.608931126336984e-07
1860,8.934662982795771e-07
1861,7.045649574877189e-07
1862,8.538993947482254e-07
1863,9.699553835673669e-07
1864,9.028472822691924e-07
1865,9.230121920111856e-07
1866,7.439522402563625e-07
1867,7.589796968687779e-07
1868,8.536102340528373e-07
1869,8.717081945164296e-07
1870,8.841903120782035e-07
1871,7.402960497948641e-07
1872,7.57731598355349e-07
1873,8.182868294071e-07
1874,7.892458802061242e-07
1875,7.340719370141358e-07
1876,7.406368309759159e-07
1877,7.780498592069307e-07
1878,7.772307224485075e-07
1879,8.485852713846498e-07
1880,7.951711578080278e-07
1881,6.338009166384495e-07
1882,7.387477296560974e-07
1883,7.488416873258075e-07
1884,6.786544384240756e-07
1885,7.483383202000482e-07
1886,6.582532887655645e-07
1887,6.639916421136149e-07
1888,8.230118027086064e-07
1889,6.334053299639208e-07
1890,6.370863498972312e-07
1891,6.622814785472997e-07
1892,6.030308643545368e-07
1893,6.700357193523132e-07
1894,6.856075009942231e-07
1895,6.680662267832815e-07
1896,6.404173742424746e-07
1897,5.576164712195464e-07
1898,6.671200472041505e-07
1899,5.759736954047412e-07
1900,5.538853637965246e-07
1901,5.63903771899632e-07
1902,5.052682343631432e-07
1903,6.620670096602055e-07
1904,5.998081720193227e-07
1905,5.8471401764848e-07
1906,6.106146881457164e-07
1907,5.646842069495506e-07
1908,5.181515430052741e-07
1909,6.469156730304348e-07
1910,5.076943008219814e-07
1911,6.278041464469197e-07
1912,5.594918466300669e-07
1913,5.536321445731573e-07
1914,5.564993852402722e-07
1915,3.993678294733627e-07
1916,4.625721565787444e-07
1917,4.430435494029439e-07
1918,4.2729318749934464e-07
1919,4.051453408315808e-07
1920,4.929522616770043e-07
1921,5.861306551224743e-07
1922,4.7292567817436293e-07
1923,5.169966978968432e-07
1924,4.885925708464356e-07
1925,4.5862401520935236e-07
1926,5.327854299963519e-07
1927,6.087476513982892e-07
1928,4.204783046191096e-07
1929,4.901778680732605e-07
1930,5.020722682047563e-07
1931,4.174360457298576e-07
1932,3.244022837023408e-07
1933,4.324439615288611e-07
1934,3.834105708477864e-07
1935,3.758041193790973e-07
1936,4.3163982965666037e-07
1937,3.903246490466472e-07
1938,3.526538367992771e-07
1939,3.5635136974576653e-07
1940,4.437620155783861e-07
1941,3.925498539558703e-07
1942,4.4602911941638013e-07
1943,4.935499910985186e-07
1944,3.5023730582395274e-07
1945,3.7034568123317513e-07
1946,4.023199187130899e-07
1947,4.398801396465757e-07
1948,4.370499038230946e-07
1949,3.6519272095247857e-07
1950,4.339227501759524e-07
1951,4.2432379698809086e-07
1952,3.3954268197078363e-07
1953,3.2321482557051695e-07
1954,3.3715249792010127e-07
1955,3.1347931184200206e-07
1956,3.261706948975984e-07
1957,3.1982836645738644e-07
1958,3.656331650780942e-07
1959,3.6273500114702983e-07
1960,3.6057540597767e-07
1961,3.6686280102671276e-07
1962,3.221713877898935e-07
1963,3.181298273702282e-07
1964,3.1758315710561646e-07
1965,4.3010259531683914e-07
1966,3.4009917904143094e-07
1967,4.4668840981643143e-07
1968,4.392604697756042e-07
1969,3.63340626030606e-07
1970,4.35499262430028e-07
1971,3.72019984595795e-07
1972,2.8318410727479204e-07
1973,2.828273677479842e-07
1974,2.6721465840040537e-07
1975,2.8043368871522034e-07
1976,3.548100240280405e-07
1977,2.873746307585634e-07
1978,3.1128698108062736e-07
1979,3.224437366000643e-07
1980,2.6549654741359063e-07
1981,2.555522069513927e-07
1982,2.3836808749067018e-07
1983,2.437711912328666e-07
1984,2.18622627556897e-07
1985,2.532549823186514e-07
1986,2.9972426496271964e-07
1987,2.6704270350563775e-07
1988,2.83037336679115e-07
1989,2.689179954273868e-07
1990,2.4954822119838127e-07
1991,2.889702432895547e-07
1992,1.9725599642583802e-07
1993,3.1795050414729076e-07
1994,2.426466205740496e-07
1995,2.6949581055646377e-07
1996,2.2847034308881575e-07
1997,2.1768820612777517e-07
1998,2.4269778009511356e-07
1999,2.426776752884052e-07
2000,2.7170894778549837e-07
2001,2.3789979319843724e-07
2002,2.571777075743853e-07
2003,2.575158308815162e-07
2004,2.145133368713914e-07
2005,2.3824835526653487e-07
2006,2.8042830102492644e-07
2007,2.9519204147732125e-07
2008,2.77159328376797e-07
2009,2.970584063177739e-07
2010,3.2924837256587125e-07
2011,3.0974173625963886e-07
2012,3.203401810480955e-07
2013,3.815523186290193e-07
2014,4.484637088353338e-07
2015,4.945179767901209e-07
2016,5.265346416649663e-07
2017,4.1910085002427877e-07
2018,4.891879399337995e-07
2019,5.880026634486057e-07
