year,en_ADP os_NOUN,en_ADP bosse_NOUN
1894,1.7833356196206296e-06,1.789637167348701e-07
1895,1.5913216202534386e-06,1.9620682678578305e-07
1896,1.3616239584735013e-06,1.993195724026009e-07
1897,1.5236855688272044e-06,1.6139996716901805e-07
1898,1.4841864413028816e-06,1.7767234794519027e-07
1899,1.4493310800389736e-06,1.7743526825597655e-07
1900,1.8064864661937463e-06,1.3237185214620695e-07
1901,1.459778559365077e-06,1.7604527613457321e-07
1902,1.4377311572388862e-06,1.8659078193650203e-07
1903,1.72645036400354e-06,1.4202579734501342e-07
1904,1.5914265532046556e-06,1.6715084427687543e-07
1905,1.4604947864427231e-06,1.0889201718100594e-07
1906,1.8668246184461168e-06,1.044269453132074e-07
1907,1.940394895427744e-06,1.1314255488059644e-07
1908,2.131051815013052e-06,1.2278472638627136e-07
1909,1.4412577229450108e-06,1.5732813096747122e-07
1910,1.7742580666890717e-06,1.7742580382673623e-07
1911,1.6152655462065013e-06,1.3566953782628843e-07
1912,1.5742871255497448e-06,1.3752871552696888e-07
1913,1.6083968148450367e-06,1.3098384954446374e-07
1914,1.6286480786220636e-06,9.040603998755614e-08
1915,2.628288029882242e-06,9.424609714869803e-08
1916,9.11959375571314e-07,7.801097723358907e-08
1917,1.1854705235236906e-06,1.6230308119702386e-07
1918,1.0027606549556367e-06,1.297960494639483e-07
1919,1.5091663954081014e-06,1.6574126959767455e-07
1920,1.2925800092489226e-06,1.2191293308205786e-07
1921,1.58724787979736e-06,7.875657104250422e-08
1922,1.3804117315885378e-06,1.1804696953277016e-07
1923,1.8471749854143127e-06,1.2845296737395984e-07
1924,1.562464831295074e-06,1.0442215625516837e-07
1925,1.5947357496770564e-06,2.0126665845054958e-07
1926,2.298333811268094e-06,1.5827517074740172e-07
1927,2.244338929813239e-06,1.304459260609292e-07
1928,1.814455345083843e-06,8.569531217972326e-08
1929,1.4972706594562624e-06,1.0026365515614089e-07
1930,1.6627204786345828e-06,1.0923747595370514e-07
1931,1.6400903177782311e-06,9.694553426697894e-08
1932,1.604476210559369e-06,1.0301964437076094e-07
1933,1.584098413331958e-06,7.455930273181366e-08
1934,1.6510617797393934e-06,9.944711365506009e-08
1935,1.3943050589659833e-06,1.543908609846767e-07
1936,1.487702434133098e-06,6.789839801513153e-08
1937,1.6204769508476602e-06,5.288269733227935e-08
1938,1.5869422895775642e-06,6.741911562357927e-08
1939,1.838344815041637e-06,7.799965828780842e-08
1940,1.6482589444422047e-06,1.5975432177128823e-07
1941,1.3931091871199897e-06,1.741386483899987e-07
1942,1.2743689694616478e-06,1.3350532412914617e-07
1943,1.669360244704876e-06,1.1322617154974068e-07
1944,1.7319073322141776e-06,8.675602458652065e-08
1945,1.6099145341286203e-06,1.1763921747842687e-07
1946,1.3489550383383175e-06,1.1972149138728128e-07
1947,1.1050647117372137e-06,1.001353169272079e-07
1948,1.6818810308905086e-06,9.893417995954223e-08
1949,1.218290776705544e-06,1.148589987565174e-07
1950,1.3102765024086693e-06,7.232046073113452e-08
1951,1.4904640011081938e-06,1.0234946046239202e-07
1952,1.6270632841042243e-06,6.010538555756284e-08
1953,1.6160740869963774e-06,5.2791754967529414e-08
1954,1.3603370234704926e-06,5.668070812703263e-08
1955,1.6969179341685958e-06,7.039206195713632e-08
1956,1.3953826965007465e-06,7.936238688444064e-08
1957,1.729900418467878e-06,1.0778745718198479e-07
1958,1.5030666418169858e-06,7.114129374485856e-08
1959,1.4470646192421555e-06,7.440718263751478e-08
1960,1.4928237987987814e-06,7.266874746392205e-08
1961,1.2847146990679903e-06,8.129346440455265e-08
1962,1.4466002085100627e-06,9.766613118245004e-08
1963,1.5596120874761255e-06,9.763740393964326e-08
1964,1.1669051218632376e-06,9.612669771286164e-08
1965,1.4916789723429247e-06,7.277817815065646e-08
1966,1.5581417756038718e-06,6.868452828712179e-08
1967,1.3967641052659019e-06,8.480176916236815e-08
1968,1.371678422401601e-06,7.096436860365429e-08
1969,1.8117071931555984e-06,7.312230110301243e-08
