year,en_ADP arts_NOUN,en_ADP barre_NOUN
1800,5.345079756580162e-08,3.3328143445032765e-07
1801,6.42919282256571e-08,4.548058711861813e-07
1802,9.398928568771225e-08,4.788977889802482e-07
1803,7.80135707145746e-08,2.4184205926758295e-07
1804,6.921182560404304e-08,4.3998946352985513e-07
1805,2.558589917711629e-08,1.9615856672317022e-07
1806,4.8988375134229045e-08,1.7290014397985942e-07
1807,4.27043254092041e-08,1.8505208743135881e-07
1808,4.5321479902327155e-09,4.0109509313879244e-07
1809,1.581321384946932e-08,4.3373387370593264e-07
1810,5.616304221689461e-08,1.825298880930859e-07
1811,3.7606150637969904e-08,4.78851688967552e-07
1812,5.06769564090348e-08,5.787841814708372e-07
1813,4.3136123117903935e-08,2.3581081620704936e-07
1814,9.440030979135372e-09,2.2026739543434815e-07
1815,2.6972236000233352e-08,2.022917726662854e-07
1816,8.57513455798653e-08,2.688420579488593e-07
1817,2.1796228488746294e-08,2.4131537657012814e-07
1818,4.4108355412575406e-08,2.324629519989685e-07
1819,9.212434237682032e-08,2.7016241688215814e-07
1820,3.44127952800477e-08,2.2190319270976033e-07
1821,7.001656854299654e-08,1.0453177878844144e-07
1822,3.308453244699194e-08,1.7043547018147365e-07
1823,6.32491954366543e-08,1.680056840314137e-07
1824,3.1158117863583357e-08,2.3663326942369167e-07
1825,4.3146671568905504e-08,2.3246369096341368e-07
1826,8.807984186454121e-08,2.9330587381082296e-07
1827,3.686909327837995e-08,2.7190955620426394e-07
1828,3.3937512911030865e-08,2.045423173058225e-07
1829,3.686465693819585e-08,3.2578068953625916e-07
1830,3.131050774207722e-08,1.847319879288989e-07
1831,3.741889442743229e-08,2.759643393801525e-07
1832,5.276688019861808e-08,1.9212556878756004e-07
1833,4.51761508202253e-08,4.0542698798162746e-07
1834,2.4269779741459274e-08,2.42697808516823e-07
1835,3.932805725526123e-08,2.4201881387853064e-07
1836,6.922372786100084e-08,1.7339534963412007e-07
1837,3.89641890974346e-08,1.6977253380900947e-07
1838,4.102905393210676e-08,2.5501134359728894e-07
1839,2.8665047335785232e-08,2.3001953763923666e-07
1840,5.8601136720959346e-08,2.9109477850397525e-07
1841,3.2102741354123054e-08,2.632424980220094e-07
1842,4.9641161403712886e-08,2.891262340654066e-07
1843,4.075768533784441e-08,2.0496980823736521e-07
1844,5.1592476069117765e-08,1.9978362786332582e-07
1845,1.3392547348889394e-08,1.953079760141918e-07
1846,3.981060747726417e-08,2.4705994405849196e-07
1847,1.5101026207275936e-08,3.0363850100911804e-07
1848,2.735375304041554e-08,2.2928881548978097e-07
1849,3.26797175986826e-08,1.340706319297169e-07
1850,3.6660578572877967e-08,1.3849552260580822e-07
1851,2.3217978650791338e-08,2.6120227403225726e-07
1852,4.9480144648228475e-08,2.682344586446561e-07
1853,2.926246556178569e-08,3.039713192265481e-07
1854,4.0006617019194834e-08,2.047091811618884e-07
1855,1.0083180512765466e-08,2.3244385261023126e-07
1856,2.0708756043319454e-08,2.464342117036722e-07
1857,1.3668224996266076e-08,2.62625178493181e-07
1858,4.8447393652395476e-08,2.5691798555271816e-07
1859,3.5645212559387573e-08,2.597008403881773e-07
1860,3.249800525906288e-08,2.7142701242155454e-07
1861,3.301174633651982e-08,4.2113555309697404e-07
