year,ton_DET ail_NOUN,ton_DET bail_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,1.6045291317823285e-07
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,4.941343334508019e-09
1824,0.0,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,7.0463874735082754e-09
1827,9.217273055917019e-10,0.0
1828,0.0,9.172301251858528e-10
1829,0.0,0.0
1830,1.0436835840010872e-09,0.0
1831,1.5591206103948707e-09,3.1182413096075834e-08
1832,0.0,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,0.0,3.733812370398937e-09
1835,0.0,9.832014313815307e-09
1836,6.720750067579218e-10,0.0
1837,6.957890930081589e-10,2.7831563720326358e-09
1838,0.0,4.418513555037862e-09
1839,6.9914751765765e-10,6.9914749545318955e-09
1840,0.0,3.1848443882154243e-09
1841,6.420548537278137e-10,1.2841097074556274e-09
1842,6.708265054555795e-10,1.341653010911159e-09
1843,5.906911071384968e-10,1.7720733214154905e-09
1844,0.0,2.195424508855126e-09
1845,5.580227946389016e-10,1.674068439427856e-09
1846,0.0,2.3418005312692003e-09
1847,5.393223645455691e-10,2.6966118227278457e-09
1848,0.0,6.43617736884039e-09
1849,8.379414939696517e-10,1.6758829879393033e-09
1850,0.0,4.073397619208663e-09
1851,6.449438760824933e-10,1.9348316282474798e-09
1852,0.0,1.9531636308300904e-09
1853,1.1943863675867306e-09,5.971931837933653e-10
1854,1.0391328908454511e-09,1.558699391779328e-09
1855,0.0,6.368324534378189e-09
1856,1.0354378465748937e-09,4.659470143053568e-09
1857,9.763018171682347e-10,8.298565445929995e-09
1858,4.893676019968041e-10,3.9149408159744326e-09
1859,5.092173349652285e-10,1.018434669930457e-09
1860,9.154367819341758e-10,1.8308735638683515e-09
1861,4.715963730639317e-10,9.431927461278633e-10
1862,4.517986262886353e-10,2.2589931591987522e-09
1863,0.0,3.496234635136375e-09
