year,on_PRON allait_VERB,on_PRON balaie_VERB
1800,1.191638347108892e-06,3.144164484325529e-09
1801,1.0572450719337212e-06,2.3811825844433088e-09
1802,8.660441324082058e-07,1.7902721083373763e-08
1803,1.0161267596231482e-06,1.1702034896643454e-08
1804,1.2903062440727808e-06,9.887403784603066e-09
1805,1.0035358002369321e-06,5.401467717547348e-08
1806,6.887189414328532e-07,0.0
1807,1.187180259876186e-06,3.9857372513552036e-08
1808,1.01973330401961e-06,0.0
1809,1.2447257802250533e-06,5.647576473144511e-08
1810,1.1302812481517321e-06,3.042164919975221e-08
1811,8.849981014691366e-07,7.521229861140455e-09
1812,1.1922420526389033e-06,2.6672082320544632e-09
1813,1.236568920148784e-06,1.7254450312975678e-08
1814,1.5481651871596114e-06,0.0
1815,1.8395064103060577e-06,0.0
1816,1.3581158668785065e-06,2.7811246638975717e-08
1817,1.7078901350942033e-06,7.784366928831332e-09
1818,1.7655264059612819e-06,2.026600132154499e-08
1819,1.8745751049209503e-06,1.449147024601416e-08
1820,2.1146069855149108e-06,8.306536791735653e-09
1821,2.3411173515341943e-06,7.88919063410276e-09
1822,2.3650428033761273e-06,1.604098542884458e-08
1823,2.3580091124131286e-06,3.063632902922109e-08
1824,2.351174657633237e-06,4.0421341829244284e-08
1825,2.3219952822728374e-06,8.805443041381977e-10
1826,2.0337635362466244e-06,2.025836387531399e-08
1827,1.969731272311037e-06,5.2538457140371975e-08
1828,2.3985568020634673e-06,7.062671958379951e-08
1829,2.7914261124806217e-06,2.4004893406370797e-08
1830,2.4307389594468987e-06,4.0703660886265425e-08
1831,2.335562669486535e-06,5.6128340197858506e-08
1832,3.111892908691516e-06,4.735489433915774e-08
1833,2.725627837207867e-06,2.0850531079474877e-08
1834,3.171873515839252e-06,3.173740470430175e-08
1835,2.7053166036239418e-06,8.31939672707449e-09
1836,2.387882375387562e-06,6.451919887240365e-08
1837,2.760195286555245e-06,2.2961040180291548e-08
1838,2.9439923423524306e-06,3.219202593385262e-08
1839,2.470787279662545e-06,2.9364195519576697e-08
1840,3.074011829085066e-06,1.0828470731194528e-08
1841,2.4019272757414e-06,2.632424855875115e-08
1842,2.9898737068378978e-06,1.542901006956754e-08
1843,2.5381996238138527e-06,6.497602123012314e-09
1844,2.9457107757480117e-06,7.135129875823765e-09
1845,3.6014790794069995e-06,1.562463758375543e-08
1846,3.0472678531623387e-06,1.1709002434301397e-08
1847,3.1485640192840947e-06,2.2112216946368335e-08
1848,2.6605547986946476e-06,1.448139874682397e-08
1849,3.0542966555913154e-06,1.3407064347603637e-08
1850,2.9613599963340675e-06,1.425689166723032e-08
1851,2.8764497415068035e-06,1.4188765495859457e-08
1852,2.4837731302795873e-06,9.765817932105847e-09
1853,2.6515377271607576e-06,2.4484921423706396e-08
1854,2.494438547273603e-06,3.6369652289813814e-09
1855,2.8296589675846917e-06,2.175844215912548e-08
1856,2.9437497914841515e-06,5.694908100650764e-09
1857,2.969422041587677e-06,1.0739319655783675e-08
1858,2.7071814656665083e-06,1.1744822836501356e-08
1859,2.7635224455480056e-06,2.0877911621752787e-08
1860,3.1500180170951353e-06,3.204028820036342e-09
1861,2.8776810268027475e-06,1.3204698223745481e-08
1862,2.899191827054892e-06,3.1625904395315985e-09
1863,2.89638069261855e-06,9.989241989138975e-09
1864,2.8533426643662096e-06,3.835782358407869e-09
1865,2.928127855739149e-06,2.3534221793575227e-09
1866,2.9441823699016823e-06,4.865612801552288e-09
1867,3.0509625048580347e-06,6.308654931785895e-09
1868,2.6512303747949773e-06,1.975949626142892e-09
1869,2.8969035952286504e-06,1.0255390314739543e-08
1870,3.0843448257655837e-06,8.027667863785837e-09
1871,3.3658511142675707e-06,7.434824089713743e-09
1872,3.2625396215735236e-06,3.6284036886158333e-09
1873,3.0067699299252126e-06,1.855661313499013e-08
1874,3.0058258744247723e-06,1.6728905372076497e-08
1875,2.9637510579050286e-06,8.58229043387837e-09
1876,2.563510321351714e-06,1.209202959984168e-08
1877,2.720700592817593e-06,1.9791411509650914e-08
1878,2.8347482157187187e-06,1.0266450578555464e-08
1879,3.0345019013111596e-06,1.0385852955430153e-08
1880,2.8854636298092373e-06,2.3746031363458542e-08
1881,2.724855903579737e-06,9.761510488814906e-09
1882,2.84384606175081e-06,7.320923645082189e-09
1883,2.8771950724149065e-06,1.2638677659992936e-08
1884,2.799119613428047e-06,1.7164412113856997e-08
1885,2.8895784680571523e-06,2.1270597949651915e-08
1886,2.603972575343505e-06,1.6779005962419546e-08
1887,2.7114623435409158e-06,2.219834338568205e-08
1888,2.6180398435826646e-06,5.706553007911452e-09
1889,2.771070001017506e-06,1.5036328349093964e-08
1890,2.594881607365096e-06,1.2453334030659846e-08
1891,2.640839284140384e-06,2.0397503686098162e-08
1892,2.5531651886012696e-06,2.068609084027173e-08
1893,2.730641824655322e-06,1.6011882930655474e-08
1894,2.706510997541045e-06,3.0247388593807045e-08
1895,2.607865610571025e-06,1.2037228991346183e-08
1896,2.5941031367437972e-06,1.8870492723976895e-08
1897,2.4938334490798297e-06,2.2141512179274514e-08
1898,2.5338112550343794e-06,1.6975064909274806e-08
1899,2.6134390509469085e-06,2.3215829259015663e-08
1900,2.4382376295761787e-06,2.6474371583873335e-08
1901,2.359006657570717e-06,1.397184723472833e-08
1902,1.978353310505554e-06,2.455141867585553e-08
1903,2.3582762196383555e-06,2.3220946943069976e-08
1904,2.308939031081536e-06,2.0961038238453966e-08
1905,2.3440167069566087e-06,2.167518753370956e-08
1906,2.338031833915011e-06,1.8004645552238685e-08
1907,2.2978223910286033e-06,2.108565766434367e-08
1908,2.35206420029499e-06,1.4734166775554058e-08
1909,2.3346174771177175e-06,2.0903737851796222e-08
1910,2.4000581220207096e-06,2.5117507407301787e-08
1911,2.2686074885314156e-06,2.8730020584788463e-08
1912,2.3911243829388695e-06,2.917275843117295e-08
1913,2.4155118012458843e-06,2.2802856491921375e-08
1914,2.252784554457321e-06,1.87508826243743e-08
1915,2.475138046520442e-06,1.1780762032564951e-08
1916,2.220566102550947e-06,1.9777432136436346e-08
1917,2.5113111519203812e-06,3.5092559080851515e-08
1918,2.448895486395486e-06,1.8378202071289707e-08
1919,2.593850922494312e-06,2.3940405213807026e-08
1920,2.4314435904670972e-06,2.0445026116533427e-08
1921,2.319532484307274e-06,2.72618907448674e-08
1922,2.526942921576847e-06,2.7298360905092522e-08
1923,2.1592838379547175e-06,3.29094387296891e-08
