year,son_DET oeuf_NOUN,son_DET boeuf_NOUN
1800,4.4018303668735825e-08,1.2576657937302116e-08
1801,3.809892135109294e-08,2.3811825844433088e-09
1802,2.2378401354217203e-08,1.1189200677108602e-08
1803,2.1648764914061758e-07,5.851017448321727e-09
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,2.2743021688143017e-08,1.1371510844071508e-08
1806,2.0171682990621775e-08,1.152667650217154e-08
1807,0.0,5.693910232196231e-09
1808,1.1330369531492579e-08,0.0
1809,2.25903047379461e-08,4.518061036407062e-09
1810,1.4040760554223652e-08,0.0
1811,0.0,1.504245972228091e-08
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,2.5881675469463516e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,0.0
1815,0.0,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,2.80237220096069e-08,7.784366928831332e-09
1818,2.6226590676969863e-08,2.384235475716423e-09
1819,1.6561680027393777e-08,1.035105001712111e-09
1820,5.933240565525466e-09,5.933240565525466e-09
1821,1.97229765852569e-09,7.88919063410276e-09
1822,5.012807946513931e-09,7.017931125119503e-09
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,5.052667617633233e-09,3.3684450784221553e-09
1825,7.044354433105582e-09,1.7610886082763955e-09
1826,2.642395191543301e-09,1.7615968683770689e-09
1827,1.013900075008678e-08,1.8434546111834038e-09
1828,8.255071293206129e-09,6.420610709767516e-09
1829,3.429270423183084e-09,2.571952872898464e-09
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,1.2472964883158966e-08
1832,1.3529969367098715e-09,1.2176972319366541e-08
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,1.0267983796552471e-08,9.334530925997342e-10
1835,6.806779140333674e-09,1.5126175867408165e-09
1836,2.688300027031687e-09,8.736974699274924e-09
1837,2.7831563720326358e-09,2.0873671680021744e-09
1838,7.574594285131298e-09,6.943378316748294e-09
1839,4.894032734625853e-09,4.894032734625853e-09
1840,2.5478754661634184e-09,5.095750932326837e-09
1841,7.704658244733764e-09,5.1364388298225094e-09
1842,2.683306021822318e-09,6.708265054555795e-09
1843,2.953455480181333e-09,1.1813822142769936e-09
1844,2.7442805805577564e-09,1.6465684371524958e-09
1845,1.674068350610014e-08,0.0
1846,5.854501328173001e-09,1.1709002656346001e-09
1847,5.9325460100012606e-09,5.393223645455691e-10
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,1.005529792763582e-08,1.6758829879393033e-09
1850,1.3577992064028876e-09,2.0366988096043315e-09
1851,1.0319102017319892e-08,1.2898877521649865e-09
1852,1.9531636308300904e-09,2.6042181744401205e-09
1853,4.180352064508952e-09,5.971931837933653e-10
1854,2.5978321716024766e-09,1.558699391779328e-09
1855,6.8990182455763716e-09,1.0613874223963649e-09
1856,1.5531567143511893e-09,1.5531567143511893e-09
1857,6.345961978126979e-09,4.881509085841174e-10
1858,1.9574704079872163e-09,4.404308473482388e-09
1859,3.055304009791371e-09,1.018434669930457e-09
1860,3.661747127736703e-09,0.0
1861,4.2443675241088386e-09,2.357981809808507e-09
1862,1.8071945051545413e-09,0.0
