year,en_ADP arrières_NOUN,en_ADP barrières_NOUN
1800,3.144164484325529e-09,1.5720821977538435e-08
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,4.943701892301533e-09,4.943701892301533e-09
1805,8.528632911009026e-09,2.842877755426798e-08
1806,2.881669125542885e-09,0.0
1807,0.0,5.693910232196231e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,1.3554183553310395e-08,0.0
1810,0.0,1.8721014072298203e-08
1811,0.0,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.035105001712111e-09,0.0
1820,1.1866481131050932e-09,7.119888678630559e-09
1821,1.1833785507064931e-08,9.86148829262845e-10
1822,4.010246357211145e-09,0.0
1823,4.941343334508019e-09,0.0
1824,9.263223965660927e-09,2.5263338088166165e-09
1825,2.641632912414593e-09,0.0
1826,7.0463874735082754e-09,2.642395191543301e-09
1827,9.217273166939322e-09,9.217273055917019e-10
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,8.57317605795771e-10,0.0
1830,5.218417697960831e-09,0.0
1831,6.236482441579483e-09,4.677361609140007e-09
1832,5.411987746839486e-09,5.411987746839486e-09
1833,5.791814139399776e-09,6.950177322551099e-09
1834,1.120143711119681e-08,9.334530925997342e-10
1835,6.050470346963266e-09,0.0
1836,1.008112526790228e-08,2.016224964762614e-09
1837,1.6003149028165353e-08,6.957890930081589e-10
1838,1.4517972601879592e-08,6.312161904276081e-10
1839,4.194885327990505e-09,6.9914751765765e-10
1840,5.095750932326837e-09,1.2739377330817092e-09
1841,1.8619591202195807e-08,2.5682194149112547e-09
1842,0.0,0.0
1843,2.3627644285539873e-09,2.3627644285539873e-09
1844,1.097712254427563e-09,1.6465684371524958e-09
1845,1.674068439427856e-09,0.0
1846,9.367202125076801e-09,0.0
1847,9.168480197274675e-09,4.853901280910122e-09
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,4.1897072478036534e-09,8.379414495607307e-09
1850,1.425689166723032e-08,4.073397619208663e-09
1851,6.449438760824933e-10,0.0
1852,1.9531636308300904e-09,2.6042181744401205e-09
1853,1.7915795513800958e-09,1.1943863675867306e-09
1854,1.558699391779328e-09,1.0391328908454511e-09
1855,6.368324534378189e-09,1.0613874223963649e-09
1856,0.0,3.1063134287023786e-09
1857,1.9526036343364694e-09,1.4644527812635033e-09
1858,0.0,0.0
1859,0.0,5.092173349652285e-09
1860,4.577183909670879e-10,1.8308735638683515e-09
1861,8.488735048217677e-09,1.8863854922557266e-09
1862,1.3553959066214816e-09,4.517986262886353e-10
1863,1.9978483312144135e-09,9.989241434027463e-09
