year,un_DET honneur_NOUN,un_DET bonheur_NOUN
1800,2.0342745088441916e-06,4.851445943643284e-06
1801,1.9978121414965244e-06,5.619590993433121e-06
1802,2.170704817672231e-06,5.249973042964484e-06
1803,1.9854453938705774e-06,4.791983364782482e-06
1804,2.704204976389235e-06,6.142549565879563e-06
1805,2.456246291693276e-06,5.043265076665193e-06
1806,2.028695170075423e-06,5.143779489458211e-06
1807,2.0355728338472545e-06,4.79427262689569e-06
1808,1.919364642333221e-06,5.09186814667828e-06
1809,1.8117424280816863e-06,4.554205602858019e-06
1810,3.2902182169891603e-06,5.918180434605347e-06
1811,2.5045697675807332e-06,4.104084460720969e-06
1812,2.008407708586901e-06,4.496912922036245e-06
1813,1.932498424395135e-06,4.83412171092823e-06
1814,1.4160047072664383e-06,4.660228654529419e-06
1815,1.9689732719818664e-06,3.4389601282214244e-06
1816,2.190135781177105e-06,4.533233216363897e-06
1817,2.7790189598420056e-06,5.540912525248132e-06
1818,2.269792249265379e-06,5.215515059830977e-06
1819,2.4904626574340227e-06,5.008873095846411e-06
1820,2.1929257414399217e-06,6.49808526986817e-06
1821,3.0797428145490358e-06,5.881391686557436e-06
1822,2.4612886875274853e-06,5.5060683052943205e-06
1823,2.3085955760393517e-06,4.675499354789281e-06
1824,2.342753496975547e-06,4.704033671032448e-06
1825,2.3211146888968415e-06,4.748775552343432e-06
1826,1.92190229419964e-06,4.289488501285632e-06
1827,1.9531400985428604e-06,4.101686400304061e-06
1828,1.8124467637825603e-06,4.1321217949530364e-06
1829,2.1141452386519433e-06,4.022534191960858e-06
1830,2.13955127348342e-06,4.692401383010747e-06
1831,1.7976660391383348e-06,4.098928151563541e-06
1832,1.8035448685616018e-06,4.650250446047721e-06
1833,2.168455180751039e-06,5.276342790239141e-06
1834,1.659679561782923e-06,4.537515302160955e-06
1835,1.8816962565892936e-06,4.4289441518685635e-06
1836,2.133166096207617e-06,4.254234738709783e-06
1837,1.8466243041359576e-06,4.1942166788544455e-06
1838,1.7049149168002486e-06,4.077656676315655e-06
1839,1.7471696995841057e-06,3.854400247860212e-06
1840,1.9191873033008733e-06,4.254314944773796e-06
1841,1.6860359970394256e-06,4.3075458009411705e-06
1842,1.730732353877329e-06,4.770247187479981e-06
1843,1.8518166351455534e-06,5.120110664336153e-06
1844,2.0587593008158933e-06,4.819505818431935e-06
1845,1.7728383983062201e-06,4.371550730297713e-06
1846,1.7879646510010616e-06,3.9845737376253965e-06
1847,1.6206636761495474e-06,3.5147638044463747e-06
1848,1.6734060714895804e-06,3.924459374360367e-06
1849,1.4655596558554862e-06,3.547844251272636e-06
1850,1.6918178227243175e-06,3.820167989943002e-06
1851,1.887750686435652e-06,3.3208160523656716e-06
1852,1.738966715514323e-06,4.091877684686551e-06
1853,1.948044102917379e-06,4.028067955630377e-06
1854,2.0803440090588765e-06,4.599201986366097e-06
1855,2.090933140408424e-06,4.959863332487657e-06
1856,2.199787685341903e-06,4.593202362457305e-06
1857,2.0775701976560867e-06,4.364557426583815e-06
1858,2.0455565348243e-06,4.362222618681244e-06
