year,mon_DET honneur_NOUN,mon_DET bonheur_NOUN
1800,1.7387229931387083e-06,4.609345225503603e-06
1801,2.8788497843379446e-06,6.376807036190257e-06
1802,1.9245425164626795e-06,5.679638462652292e-06
1803,1.948388920425259e-06,5.310773644850997e-06
1804,2.859931484522349e-06,7.492180031931639e-06
1805,1.3475239875049283e-06,5.233737795151683e-06
1806,1.9422450208139708e-06,4.70000233576684e-06
1807,1.5800600543514065e-06,3.5159896043523986e-06
1808,1.2757996934453786e-06,3.720893531067304e-06
1809,2.2341811884984963e-06,4.375741951889722e-06
1810,3.2410755892442467e-06,6.753605646281358e-06
1811,1.6095432897600404e-06,4.487667396801953e-06
1812,1.2349173843517747e-06,4.198185848736102e-06
1813,1.8836108139907992e-06,4.9836604887332214e-06
1814,1.9603799081835405e-06,2.816275952000069e-06
1815,2.0660732271693405e-06,3.4362627943096413e-06
1816,2.0974315901867158e-06,3.226104624332038e-06
1817,2.8070428612636533e-06,5.575163868343225e-06
1818,1.9789155132343694e-06,5.105840301666831e-06
1819,1.9190846600736222e-06,4.574128837475655e-06
1820,3.949164863570331e-06,5.8430554474853125e-06
1821,3.7670885575380453e-06,5.7453032411558524e-06
1822,4.298984180195475e-06,5.2544252753250476e-06
1823,3.624969636462083e-06,4.911695342002531e-06
1824,2.9608632274857882e-06,4.3520312544842454e-06
1825,2.3642615261110222e-06,4.244223404725744e-06
1826,2.9903107119366723e-06,3.7522013656143827e-06
1827,2.3098486892081382e-06,2.7495126460053143e-06
1828,2.2343726158169375e-06,3.1433476408437855e-06
1829,2.1938758436590433e-06,2.837721282844541e-06
1830,2.498578396625817e-06,3.985827589758628e-06
1831,2.0611575024531703e-06,3.54699940885439e-06
1832,2.3176836734251083e-06,4.306589232783153e-06
1833,1.9669000757005506e-06,3.08703701534796e-06
1834,2.3280319929597226e-06,3.3389617755119616e-06
1835,3.4676758104978944e-06,3.415490539282473e-06
1836,2.8932828932681787e-06,3.1251488792349846e-06
1837,2.9153563332329213e-06,2.687137438783793e-06
1838,2.571574775345198e-06,2.533701902507346e-06
1839,2.388987063284276e-06,2.346339087466731e-06
1840,1.9344743904525785e-06,2.5395947886863723e-06
1841,2.012199864509512e-06,2.6311408305446093e-06
1842,2.0855995899182744e-06,2.5638988816467645e-06
1843,1.949871375472867e-06,2.468498124130747e-06
1844,1.995640850793734e-06,2.2031084867535355e-06
1845,1.741031102397983e-06,2.58141344033902e-06
1846,1.78855012578083e-06,2.292037336815156e-06
1847,1.5532484098912391e-06,1.5926189078641073e-06
1848,1.7458131402747767e-06,1.7973025094875084e-06
1849,1.4177969909212607e-06,1.6708552905697616e-06
