year,aucun_DET os_NOUN
1800,2.2009151834367913e-08
1801,7.143547975374531e-09
1802,4.475680270843441e-09
1803,6.826187615160961e-08
1804,3.9549615138412264e-08
1805,1.2224374756897305e-07
1806,2.305335211616466e-08
1807,3.4163463169534225e-08
1808,2.7192888385485503e-08
1809,6.7770917766551975e-09
1810,0.0
1811,1.504245972228091e-08
1812,9.068508077803017e-08
1813,2.8757416004054903e-08
1814,0.0
1815,5.394447111228828e-09
1816,1.1588019432906549e-08
1817,2.3353100786493997e-08
1818,6.079800662917023e-08
1819,5.693077653745604e-08
1820,3.0852850940732424e-08
1821,2.859831482737718e-08
1822,4.411270992932259e-08
1823,1.4824030891702478e-08
1824,1.9368560089105813e-08
1825,6.339919167430708e-08
1826,3.6112735912752214e-08
1827,9.217273055917019e-09
1828,2.93513644500365e-08
1829,2.1432940755516938e-08
1830,3.6528925662082656e-08
1831,1.7150327158432788e-08
1832,2.570694235259907e-08
1833,4.633451422542123e-08
1834,4.0138482759743965e-08
1835,1.1420262779893164e-07
1836,4.838940020901461e-08
1837,6.818732911639813e-08
1838,3.5348108440302894e-08
1839,4.614373638744951e-08
1840,4.522479013502334e-08
1841,2.0545755763379248e-08
1842,1.677066263638949e-08
1843,3.2488011392217686e-08
1844,1.1525978393933656e-08
1845,3.850357155332773e-08
1846,3.7468808944396415e-08
1847,2.480882788091776e-08
1848,6.436177313329239e-09
1849,3.1841777214935973e-08
1850,2.647708363667789e-08
1851,2.7732586449502605e-08
1852,2.148479971708639e-08
1853,4.837264810930719e-08
1854,3.896748457243859e-08
1855,1.8574279891936385e-08
1856,3.313401153448581e-08
1857,2.2454941961402852e-08
1858,2.1532174709903984e-08
1859,2.291477918525686e-08
1860,2.3801356219266268e-08
1861,3.065376352751059e-08
1862,4.156547372957675e-08
1863,3.0467187439597865e-08
1864,7.527722645228607e-08
1865,3.3889278161503e-08
1866,2.5301186923343266e-08
1867,3.833721073931429e-08
1868,3.1121207277884366e-08
1869,4.346332183047252e-08
1870,4.472557879608985e-08
1871,5.629223842618103e-08
1872,4.2936109778679565e-08
1873,4.3697832907696466e-08
1874,5.377148237784013e-08
