year,aucun_DET or_NOUN,aucun_DET bord_NOUN
1800,0.0,1.8864987794131594e-08
1801,4.7623651688866175e-09,0.0
1802,1.3427040812530322e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,1.7057265822018053e-08,4.8328921309348516e-08
1806,2.881669125542885e-09,5.76333825108577e-09
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,4.518061036407062e-09,0.0
1810,7.020380277111826e-09,0.0
1811,1.7549536490690798e-08,0.0
1812,2.1337665856435706e-08,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,4.6352077731626196e-09,1.622322720606917e-08
1817,1.5568734412774177e-08,2.1796227045456362e-08
1818,4.768470951432846e-09,1.0729059418679299e-08
1819,1.035105001712111e-09,0.0
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,9.861488403650753e-09,0.0
1822,7.017931125119503e-09,1.303330066093622e-08
1823,9.882686891060644e-10,0.0
1824,1.51580028528997e-08,4.884245186076441e-08
1825,9.68598712347557e-09,7.924898959288385e-09
1826,3.5231937367541377e-09,4.403992281964975e-09
1827,3.6869092223668076e-09,9.217273166939322e-09
1828,5.5033806956039655e-09,9.172301140836225e-09
1829,2.571952817387313e-09,3.429270423183084e-09
1830,2.922314124020886e-08,1.3567886369969528e-08
1831,1.5591206103948707e-09,1.2472964883158966e-08
1832,2.8412935226818092e-08,4.058990921151917e-09
1833,5.791814250422078e-09,2.3167257001688313e-09
1834,1.1201437333241415e-08,3.733812370398937e-09
1835,6.050470346963266e-09,4.0840674842002045e-08
1836,1.2097350121642592e-08,2.1506400216253496e-08
1837,4.174734336004349e-09,7.653680356156656e-09
1838,1.8936486156917454e-08,5.049729523420865e-09
1839,5.5931801412612e-09,7.690622361167243e-09
1840,7.64362617644565e-09,3.1848443882154243e-09
1841,4.494383976094696e-09,7.0626033910059505e-09
1842,6.708265054555795e-09,4.024959032733477e-09
1843,2.953455480181333e-09,1.7720733769266417e-09
1844,3.293136707771538e-09,1.3721402902788782e-08
1845,5.580227946389016e-10,1.674068350610014e-08
1846,7.610851504580296e-09,1.1709002656346001e-09
1847,2.7505439703645607e-08,2.6966118227278457e-09
1848,4.34441957963827e-08,0.0
1849,6.703531951757213e-09,1.9272654583346593e-08
1850,1.0183494048021657e-08,1.2899092460827433e-08
1851,1.0319102239364497e-08,3.2247193804124663e-09
1852,2.018269107395554e-08,1.1718981340891332e-08
1853,1.4929829816878737e-08,7.763511611358354e-09
1854,6.754363734984281e-09,3.117398783558656e-09
1855,1.0613874223963649e-09,7.429711956774554e-09
1856,1.1907535180100126e-08,2.5885946719483854e-09
1857,1.2691923956253959e-08,1.9526036343364694e-09
1858,9.787352261980686e-09,9.787352039936081e-10
1859,4.073738679721828e-09,4.582956236731661e-09
1860,1.0985241161165504e-08,5.950338888283113e-09
1861,4.7159637306393165e-09,3.772770984511453e-09
1862,7.228778020618165e-09,9.035972525772706e-10
1863,1.1987090431375691e-08,2.4973103585068657e-09
1864,5.274200631788517e-09,9.109982990196386e-09
1865,1.4120533631256649e-09,4.706844358715045e-10
1866,4.379051787850585e-09,3.4059290943133647e-09
1867,9.7056229719783e-10,4.367530337390235e-09
1868,9.87974813071446e-10,4.93987406535723e-10
1869,1.953407657850903e-09,6.348574999037737e-09
1870,1.3188312664169644e-08,4.013834153937523e-09
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,5.442605366390296e-09,3.0236697590169115e-09
1873,1.1972008939764578e-09,1.1972008939764578e-09
1874,5.377148393215236e-09,2.9873046258899194e-09
1875,3.4329162845736505e-09,5.721527140956084e-10
1876,6.650616279912924e-09,3.627608879952504e-09
1877,7.421779302241305e-09,1.2369631985365004e-09
1878,7.2469061862534545e-09,4.831270938865373e-09
1879,3.6655952717623563e-09,1.0996785704264767e-08
1880,3.8507077526617195e-09,8.343199908722454e-09
1881,2.7890030285249168e-09,5.5780060570498335e-09
1882,5.989846618703609e-09,7.320923423037584e-09
1883,2.5277355764075082e-09,0.0
1884,6.601696966868076e-09,1.9805090900604227e-09
1885,3.2228177904158883e-09,5.80107206715752e-09
1886,3.872078324640427e-09,3.872078213618124e-09
1887,6.528924512139156e-09,7.1818169189441505e-09
1888,8.87686035788704e-09,6.340614699951175e-10
1889,4.385595775424633e-09,5.012109394186837e-09
1890,3.277193239004106e-09,2.6217545912032847e-09
1891,5.736798147637501e-09,5.736798147637501e-09
1892,6.2685125978845235e-09,6.268512375839919e-10
1893,8.005941742883493e-09,1.2316833108982905e-09
1894,3.150769645188234e-09,0.0
1895,1.1435367985868083e-08,3.611168697403855e-09
1896,1.7691086373616827e-09,4.1279202278587945e-09
1897,5.826713556089658e-09,4.661370844871726e-09
1898,4.52668391659472e-09,1.6975064687230201e-09
1899,4.9748205555033564e-09,5.527578395003729e-10
1900,3.6337372000261325e-09,2.07642125715779e-09
1901,2.794369458047896e-09,3.912117296778206e-09
1902,8.838511256215043e-09,1.4239823542538943e-08
1903,3.2401321625741275e-09,6.480264325148255e-09
1904,8.599400302955473e-09,4.837162670412454e-09
1905,5.676835002077496e-09,1.0321518084666081e-09
1906,5.144184633820714e-09,7.201858220895474e-09
1907,1.028568674676933e-09,5.1428433733846646e-09
1908,1.964555629285769e-09,3.437972351250096e-09
1909,2.2003934230241384e-09,5.5009836685826485e-09
1910,2.67207544979442e-09,5.878565634276356e-09
1911,4.788336838146279e-09,8.51259862599818e-09
1912,9.376958209905695e-09,1.5628263128064646e-09
1913,7.424185766158331e-09,6.893886794756554e-09
1914,1.3393487430235496e-09,6.696743715117748e-10
1915,1.5314990164938536e-08,0.0
1916,1.2086208478478966e-08,3.2962386153911893e-09
1917,7.676497326691845e-09,0.0
1918,1.4932289182922887e-08,0.0
1919,6.445494027396137e-09,6.445493971884986e-09
1920,6.057785384427916e-09,0.0
1921,4.543648624011354e-09,4.543648568500203e-09
1922,8.853522359686394e-09,5.902348387820666e-09
1923,7.431163684401554e-09,0.0
1924,6.4458122173149945e-09,7.734974438733389e-09
1925,2.1996355847875293e-09,2.1996355847875293e-09
1926,1.1146138456652466e-09,2.229227691330493e-09
1927,1.1149224876660924e-09,2.2298449753321847e-09
1928,7.998228634953364e-09,7.998228745975666e-09
1929,3.342121912552898e-09,2.2280812750352652e-09
1930,3.1510810627466412e-09,3.1510811737689437e-09
1931,1.1405356659111021e-09,1.1405356659111021e-09
1932,2.1919073223131136e-09,4.383814644626227e-09
1933,1.1470662197865522e-09,4.588264879146209e-09
1934,2.3963160344919743e-09,0.0
1935,2.393656828303392e-09,4.787313656606784e-09
1936,1.2124714565686645e-09,3.6374143697059935e-09
1937,5.0364472592434595e-09,0.0
1938,1.2965214679638848e-08,3.8895642262559704e-09
1939,1.5294050470515685e-09,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
