year,bien_ADV aux_ADP,bien_ADV beaux_ADJ
1800,1.4431715271712164e-06,3.772997558826319e-08
1801,1.4715708402945893e-06,4.524246932646747e-08
1802,1.4657853171229362e-06,3.1329761895904085e-08
1803,1.4783571486987057e-06,7.801356893821776e-09
1804,1.5127727692743065e-06,2.4718509905596875e-08
1805,1.438496155969915e-06,1.421438877713399e-08
1806,1.115205918722495e-06,0.0
1807,1.3380689551922842e-06,5.693910232196231e-09
1808,1.4412230484595057e-06,2.039466551195801e-08
1809,1.1792138820965192e-06,6.777091687837355e-08
1810,1.3549333743867464e-06,3.7442028144596406e-08
1811,1.060493445947941e-06,2.5070768572277302e-08
1812,1.490969452788704e-06,2.1337665856435706e-08
1813,1.5845336065467563e-06,4.3136125782439194e-08
1814,1.2177640655863797e-06,4.090680150170556e-08
1815,1.2461173355404753e-06,5.1247248222807684e-08
1816,1.2306476264711819e-06,5.3304887615013286e-08
1817,1.3498092812369578e-06,1.401186100480345e-08
1818,1.4722653531862306e-06,3.9339884239097955e-08
1819,1.4170587974149385e-06,2.79478351572493e-08
1820,1.5521356999670388e-06,5.933240565525466e-09
1821,1.6656053958286066e-06,3.944595405869222e-08
1822,1.7584929992153775e-06,1.604098542884458e-08
1823,1.6454673641419504e-06,4.5460360809101985e-08
1824,1.3650624168803915e-06,1.431589158329416e-08
1825,1.734672309794405e-06,1.7610886082763955e-09
1826,1.609218770681764e-06,1.9377566218281572e-08
1827,1.5577192016280605e-06,1.8434546333878643e-08
1828,1.7500750573162804e-06,2.7516904310687096e-08
1829,1.568033894727705e-06,4.115124596637543e-08
1830,1.799310552996758e-06,5.114049628218709e-08
1831,1.6666999727021903e-06,4.053713453799901e-08
1832,1.5735354281787295e-06,3.111892965534935e-08
1833,1.6298165519401664e-06,3.4750886612755494e-08
1834,1.7007515680234064e-06,2.6136685704614138e-08
1835,1.663123043726955e-06,2.0420337421001022e-08
1836,1.951705826286343e-06,1.8146025126952736e-08
1837,1.9502967916196212e-06,2.0873672568200163e-08
1838,1.8172713680542074e-06,1.8936486156917454e-08
1839,1.8031014406005852e-06,3.4957377437194737e-08
1840,1.7389249933330575e-06,1.7835128929277744e-08
1841,1.8600329667606275e-06,1.733548060656176e-08
1842,1.791777549442486e-06,2.817471411731276e-08
1843,1.9823594357148977e-06,3.4850775820771673e-08
1844,1.8287886405232712e-06,2.4149668931272572e-08
1845,1.7884630096887122e-06,2.622707206967334e-08
1846,1.8160662875743583e-06,2.5759806732139623e-08
1847,1.9437177343206713e-06,1.294373674909366e-08
1848,2.0346365090517793e-06,1.689496542667257e-08
1849,2.0621739622583846e-06,1.9272654583346593e-08
1850,1.9253593563917093e-06,2.7155983239879333e-08
1851,1.8922653453046223e-06,1.1608989325395669e-08
1852,1.9056366227232502e-06,3.190167419120371e-08
1853,1.985667267945246e-06,2.6873692604567623e-08
1854,1.912524112412939e-06,2.182179059673217e-08
1855,2.0771351501025492e-06,2.653468555990912e-08
1856,2.051720002782531e-06,2.329735160344626e-08
1857,1.926731556523009e-06,3.7099468386259105e-08
1858,2.0631737243093085e-06,3.0830157982109085e-08
1859,2.1453327008202905e-06,5.550468884507609e-08
1860,1.9512535800458863e-06,4.8060432078500526e-08
1861,2.083041181322187e-06,2.87673795895671e-08
1862,2.090472207783023e-06,2.5752521892741242e-08
1863,2.093245484502404e-06,1.3485475847119233e-08
1864,2.2683857423544396e-06,3.452204211384924e-08
