year,mon_DET or_NOUN,mon_DET bord_NOUN
1800,1.1633408414368773e-07,3.678672442219977e-07
1801,1.0715321963061797e-07,2.3573707608193217e-07
1802,1.0070280609397742e-07,7.608656460433849e-08
1803,9.361628405812894e-08,1.1702034896643454e-08
1804,1.3842365897964726e-07,8.651478111687538e-08
1805,1.0518647619583987e-07,1.1655798459742073e-07
1806,1.210301006082659e-07,4.8988376022407465e-08
1807,1.1387820464392462e-07,7.686778502602465e-08
1808,4.305540501903238e-08,9.290903335568146e-08
1809,1.0165637687187257e-07,2.213849938925705e-07
1810,6.318342293809565e-08,6.31834211617388e-08
1811,9.777599174753959e-08,3.5099073869560016e-08
1812,8.001624962616916e-08,7.468182872116813e-08
1813,3.7384642270765767e-08,2.5881675469463516e-08
1814,7.866693074731756e-08,6.608021863030444e-08
1815,1.4295284955778698e-07,8.361393355471591e-08
1816,5.0987283728431976e-08,1.5991466284503986e-07
1817,7.161617898709949e-08,3.113746771532533e-08
1818,8.225612324608278e-08,1.2040389663070528e-07
1819,9.212434293193184e-08,1.0247539705687814e-07
1820,2.088500679064964e-07,1.7206397728841694e-07
1821,1.8145138369618508e-07,7.59334568556369e-08
1822,8.120748873352568e-08,1.1830226753772877e-07
1823,1.413224272051039e-07,2.5200850473083847e-07
1824,1.381062544325573e-07,1.0947446327236321e-07
1825,6.427973353595462e-08,1.5057307223287353e-07
1826,7.134467594482885e-08,6.165588928297439e-08
1827,5.806882030778837e-08,9.8624823863247e-08
1828,1.1190207510614059e-07,9.722639049414283e-08
1829,9.77342076158294e-08,6.712796789543063e-07
1830,1.0436835840010872e-07,1.2628571255390852e-07
1831,8.263339257297275e-08,1.7306238930814288e-07
1832,1.637126312292736e-07,1.2312271735481772e-07
1833,2.2356402618051163e-07,5.293718459142838e-07
1834,1.3255034403414356e-07,2.548326847318094e-07
1835,1.0890846624533879e-07,2.3823727701710595e-07
1836,1.2298972573709932e-07,1.5928178243029834e-07
1837,1.6072728514782142e-07,1.822967448106283e-07
1838,9.278878199125984e-08,7.006499913586595e-08
1839,1.0836786323853431e-07,3.551669465196028e-07
1840,1.0127805277759805e-07,1.0127804728199408e-07
1841,1.1107548747446572e-07,2.979134592351329e-07
1842,1.422152213770289e-07,1.4758182942387066e-07
1843,8.919435912080331e-08,1.0278025541765601e-07
1844,7.46444339672081e-08,2.294218575116247e-07
1845,1.2778722091599803e-07,2.081425094502265e-07
1846,8.606117085641074e-08,1.1065007754496037e-07
1847,1.2512278502185836e-07,7.766242049456196e-08
1848,9.010648333029891e-08,5.792559676365272e-08
1849,5.530413860199701e-08,9.049767868418712e-08
1850,1.1405512978512888e-07,1.5207351111712342e-07
1851,6.578427780290497e-08,6.771910676661719e-08
1852,9.375185161530908e-08,6.250123618656289e-08
1853,7.70379240400132e-08,1.1406390143520184e-07
1854,8.313062949127925e-08,1.1586331538637751e-07
1855,1.475328552658084e-07,7.005156987816008e-08
1856,1.0250834381331231e-07,9.215396801209863e-08
1857,9.323682181872073e-08,6.150701636897793e-08
1858,7.634134790990288e-08,8.466059853162733e-08
1859,1.5989423940432346e-07,1.1508311814623085e-07
1860,9.200139317044886e-08,1.0985241516436872e-07
1861,9.007490908707894e-08,1.1129674248877564e-07
1862,1.084316711974509e-07,1.0075109457829967e-07
1863,1.2536498195103718e-07,5.793760138317339e-08
1864,1.1027873991764636e-07,1.0020981733305234e-07
1865,7.53095128480652e-08,6.542513375507042e-08
1866,1.196940804248925e-07,8.514822269489741e-08
1867,1.0142376005717324e-07,8.346835755901338e-08
1868,5.829051508143834e-08,9.188165961404593e-08
1869,1.4455216934550208e-07,6.739256264154392e-08
1870,8.429052034131246e-08,6.651496420317926e-08
1871,8.072094637157079e-08,6.585129597169725e-08
1872,6.10781268894911e-08,1.1006157762949442e-07
1873,7.183205408267668e-08,9.278306833948591e-08
1874,8.42419886071255e-08,8.543690910300938e-08
1875,1.1900776364370813e-07,7.437985516389745e-08
1876,9.61316373171428e-08,8.101660142756373e-08
1877,6.617753400828263e-08,7.731019735501832e-08
1878,4.5897075418022126e-08,4.5293166550663955e-08
1879,9.713827386903517e-08,1.0508039594014917e-07
1880,6.417846365458502e-08,8.343199908722454e-08
1881,8.227558789819511e-08,7.321133210780317e-08
1882,8.119569905318258e-08,6.05640053663592e-08
1883,7.835980098125361e-08,1.377615888031869e-07
1884,7.790002776175697e-08,1.0826782670392276e-07
1885,5.47879024370701e-08,6.123353557541122e-08
1886,7.227879655902214e-08,7.7441569601433e-08
1887,7.051238926081282e-08,1.8803302737069316e-07
1888,4.818867194167353e-08,7.862362139121615e-08
1889,7.392861539612383e-08,9.272402223814424e-08
1890,6.554386544621593e-08,6.816561892719619e-08
1891,4.84440720871504e-08,8.413970675746896e-08
1892,6.080456849133498e-08,6.39388275658348e-08
1893,5.419406545748018e-08,6.466337509891673e-08
1894,5.6713854723611234e-08,4.915200690902566e-08
1895,6.680662156810513e-08,7.463081885816791e-08
1896,5.66114787270422e-08,5.6611476395573845e-08
1897,6.059781965106481e-08,6.23458333848248e-08
1898,4.470100434250668e-08,7.355861697533328e-08
1899,6.356714976618605e-08,7.95971288880537e-08
1900,6.281174180777782e-08,5.191053276121238e-08
1901,3.409130805431815e-08,5.532851687917173e-08
1902,2.700656170917526e-08,5.5977235291493344e-08
1903,3.6181477369723325e-08,9.126372191303744e-08
1904,2.6335664315979557e-08,5.374625189347171e-08
1905,3.6641388589941926e-08,7.895961573467503e-08
1906,3.755254707193956e-08,5.24706820215215e-08
1907,3.291419647943883e-08,6.37712602724605e-08
1908,4.7149335324903063e-08,1.2622270162410132e-07
1909,5.500983568662576e-08,4.0707277548790444e-08
1910,7.214603336969105e-08,5.611358133705835e-08
1911,2.7133907565257687e-08,5.2671705219609066e-08
1912,5.730363239475622e-08,5.3136098188133474e-08
1913,3.234823792164221e-08,7.636305099367746e-08
1914,3.482306887292452e-08,5.2904276515164383e-08
1915,3.416420912838447e-08,4.005459075528961e-08
1916,3.955486338469427e-08,4.394984642885902e-08
1917,3.289927352767563e-08,2.0836205649743533e-08
1918,3.44591288836682e-08,4.135095466040184e-08
1919,3.775217927159957e-08,4.9722380879302364e-08
1920,4.24044972469062e-08,8.026565723184831e-08
1921,6.891199966219119e-08,6.058198209757393e-08
1922,4.5743199228454046e-08,6.49258353746518e-08
1923,4.0340602414090654e-08,1.6667038948980917e-07
1924,4.125319807979366e-08,1.0828964747133796e-07
1925,6.1589795707917e-08,7.038833871320094e-08
1926,4.792839447542718e-08,5.795991953050361e-08
1927,3.4562597228671166e-08,4.7941668412931904e-08
1928,6.17006229441941e-08,6.855624690160766e-08
1929,6.68424400274148e-08,9.023729319324048e-08
1930,5.7769819150621515e-08,7.877702756786675e-08
1931,3.421607086551148e-08,8.439963750106472e-08
1932,6.794912910113027e-08,6.904507898752854e-08
1933,2.867665616079762e-08,9.405943046658649e-08
1934,3.5944742293736454e-08,8.387105765450542e-08
1935,6.462873614054843e-08,5.505410882733486e-08
1936,5.577368789033699e-08,1.3458432590596203e-07
1937,3.7773354000236736e-08,1.5487074733755435e-07
1938,4.019216381934143e-08,4.148868626430158e-08
1939,2.5999885799876665e-08,5.964679417047591e-08
1940,2.02862628917444e-08,7.60734906180005e-08
1941,3.246652724442356e-08,7.969057236323351e-08
1942,4.551317678291866e-08,9.406056733496371e-08
1943,2.9032351855917682e-08,7.83873517207212e-08
1944,8.996921074810871e-08,1.0282195717081777e-07
1945,6.099811189486104e-08,5.8819608739213436e-08
1946,7.378185351569755e-08,6.40370814153357e-08
1947,5.602809283189458e-08,7.629357412497484e-08
1948,6.196976110039998e-08,4.892349636520521e-08
1949,4.810333908977782e-08,1.0700539121444308e-07
1950,8.61464248824717e-08,6.38121662177582e-08
1951,5.970385164033587e-08,9.488647378930182e-08
1952,8.857635369619032e-08,5.694194271654851e-08
1953,3.87857791439572e-08,9.265491485166422e-08
1954,5.179444317882087e-08,7.329401796596358e-08
1955,3.848099261460902e-08,9.385608024103931e-08
1956,1.0552581453104892e-07,8.721141853129666e-08
1957,4.329168429295649e-08,7.863183526524153e-08
1958,6.617794856556003e-08,5.4596807075313336e-08
1959,4.417926346977907e-08,8.525822892124779e-08
1960,5.6750832033714005e-08,7.197666462843699e-08
1961,5.141637993144599e-08,6.739714564218957e-08
1962,5.327243290942363e-08,1.3571786894317484e-07
1963,5.1728425987107585e-08,6.336732383260824e-08
1964,5.962289084671113e-08,8.395875994438029e-08
1965,4.4870755666615025e-08,6.785333539482963e-08
1966,9.693380720321443e-08,1.2352136025128857e-07
1967,7.395503398566206e-08,9.367637687773822e-08
1968,8.758261038632753e-08,1.0509913295209117e-07
1969,7.130559692702931e-08,8.538504658872625e-08
1970,4.4607632171400624e-08,9.105475839987776e-08
1971,6.011925224314041e-08,5.343933295876013e-08
1972,3.950213234293898e-08,6.156176368676824e-08
1973,4.5759593003680266e-08,5.458071683506205e-08
1974,3.431598788461443e-08,7.256987544224103e-08
1975,4.283610000044291e-08,5.6543655091445544e-08
1976,3.942333526296693e-08,4.685092136469393e-08
1977,3.819908062085986e-08,5.406639402849578e-08
1978,5.7029677313913396e-08,5.643561706847322e-08
1979,3.9793420336664553e-08,5.26677617074256e-08
1980,3.8090508192034633e-08,8.527725725571145e-08
1981,3.479052185229037e-08,8.476236246224289e-08
1982,5.46260205958049e-08,6.76617730732687e-08
1983,4.8627932125455686e-08,5.810090897284681e-08
1984,4.2912663311689414e-08,8.060622036509812e-08
1985,3.2484012701949894e-08,9.805359724168738e-08
1986,5.155257531974655e-08,4.1961399688261736e-08
1987,5.133086067310444e-08,4.3386798154188e-08
1988,2.9383114108494368e-08,9.894313990344017e-08
1989,3.4026357731420376e-08,1.1250650544525342e-07
1990,4.19546128949122e-08,1.0570382613650509e-07
1991,3.868566977871524e-08,6.799299967497063e-08
1992,4.0222590869110064e-08,6.77723122066709e-08
1993,4.6529340824719156e-08,5.483815357365529e-08
1994,5.116678947203468e-08,6.066165525453471e-08
1995,3.958388994362849e-08,4.9344301089604414e-08
1996,3.8968072990641645e-08,1.0516041726305048e-07
1997,4.3154051110327885e-08,6.952596720566362e-08
1998,4.29131632451174e-08,7.199874829666442e-08
1999,3.976074980371891e-08,5.072923414672914e-08
