year,aucun_DET office_NOUN
1800,7.86041156608519e-08
1801,1.1667794774794515e-07
1802,8.503792514602537e-08
1803,4.4857802805609026e-08
1804,4.449331636457998e-08
1805,8.244345606200909e-08
1806,1.0374009207225754e-07
1807,9.394951661079176e-08
1808,1.7222162762564608e-07
1809,1.4231892286886705e-07
1810,8.190443878675069e-08
1811,5.766276478524901e-08
1812,1.20024368666094e-07
1813,1.1790540810352468e-07
1814,8.181360300341112e-08
1815,1.618334157793555e-07
1816,1.1819780176836048e-07
1817,1.0431052155368548e-07
1818,1.8597037354517454e-07
1819,2.1633694569089812e-07
1820,1.3646453567162098e-07
1821,2.0709125170270681e-07
1822,1.1529458276982041e-07
1823,2.9153926561775734e-07
1824,9.347434826167955e-08
1825,1.8667539336547634e-07
1826,1.523781310019956e-07
1827,2.6453572488094323e-07
1828,1.4400513254075875e-07
1829,2.2204526378688527e-07
1830,1.5133411612744396e-07
1831,5.3010101197514814e-08
1832,7.847382044179341e-08
1833,7.18184978154568e-08
1834,1.3721761149554368e-07
1835,7.563087933704082e-08
1836,1.0148332413306704e-07
1837,1.3915782526296994e-07
1838,1.388675581193155e-07
1839,1.6569796201792997e-07
1840,1.7644037625386133e-07
1841,1.0208672307499e-07
1842,1.1739463712245879e-07
1843,6.733878438192065e-08
1844,1.158086447849982e-07
1845,9.542189660649569e-08
1846,1.4167893502836648e-07
1847,2.1680759676456773e-07
1848,5.7925595764452e-08
1849,1.9859212985195995e-07
1850,8.9614748510769e-08
1851,1.251191119600037e-07
1852,1.0351767421035163e-07
1853,1.4093759737043854e-07
1854,9.611979462365028e-08
1855,8.17268315245201e-08
1856,9.422484081866855e-08
1857,9.567758008088845e-08
1858,1.448528105241209e-07
1859,1.7364311233336593e-07
1860,1.1351415940552556e-07
1861,6.413710967878572e-08
1862,1.0843167075336169e-07
1863,1.0039187925414694e-07
1864,1.0548401396803797e-07
1865,9.884373419755121e-08
1866,6.665889640267153e-08
1867,9.12328594893097e-08
1868,1.1707501490487715e-07
1869,1.0304225650514809e-07
1870,6.364794247204486e-08
1871,7.647247302067228e-08
1872,1.227609904841387e-07
1873,5.1479638496498836e-08
1874,7.468261342680194e-08
1875,6.923047857210207e-08
1876,5.8041741191061647e-08
1877,7.050690187249131e-08
1878,8.635896620035055e-08
1879,1.5151127130685893e-07
1880,1.0589445986752821e-07
1881,8.436733822669851e-08
1882,7.786800648723613e-08
1883,9.542201784284998e-08
1884,5.5454252745335e-08
1885,8.057044292852922e-08
1886,7.873226137711242e-08
1887,7.769420151682027e-08
1888,1.1666731136728004e-07
1889,5.951880055476977e-08
1890,5.8989477302873183e-08
1891,6.565446886153126e-08
1892,8.149066133000815e-08
1893,7.759604880863691e-08
1894,7.939939794532336e-08
1895,6.801034202474909e-08
1896,7.725108236433798e-08
1897,6.584186318381313e-08
1898,6.733442303730186e-08
1899,7.904436749583965e-08
1900,7.215563946338932e-08
1901,7.097698451197232e-08
1902,4.95938657363304e-08
1903,5.940242209234725e-08
1904,4.622177574020725e-08
1905,4.8511136441220515e-08
1906,5.2470681466409985e-08
1907,4.7314158591049704e-08
1908,6.581261580151931e-08
1909,5.8310424710938946e-08
1910,5.451033813219652e-08
1911,5.3735778049457394e-08
1912,4.0112545007797706e-08
1913,4.7726907370648775e-08
1914,3.3483717964966075e-08
1915,5.3013429868187245e-08
1916,2.966614687238689e-08
1917,3.399591652630818e-08
1918,4.479686666059024e-08
1919,3.314825353095685e-08
1920,4.240449813508462e-08
1921,6.512563055505183e-08
1922,4.869437519872122e-08
1923,3.715581842200777e-08
1924,6.44581203967931e-08
1925,4.3992712583929006e-08
1926,4.3469941313212246e-08
1927,4.571182166124288e-08
1928,6.398582952371612e-08
1929,4.344758353092004e-08
1930,4.411513454538607e-08
1931,3.307553342324354e-08
1932,3.507051771212133e-08
1933,2.1794258842078307e-08
1934,1.9769607106923104e-07
1935,5.8644594069789946e-08
1936,2.3036958562983045e-08
1937,5.414180725971107e-08
1938,6.093650872784906e-08
1939,3.8235127064467633e-08
1940,3.80367428665096e-08
1941,2.6563522936839945e-08
1942,3.6410540360520827e-08
1943,4.0645293575281016e-08
1944,5.462416652335378e-08
1945,5.446259976338297e-08
1946,4.037120415745221e-08
1947,2.0265480182857232e-08
1948,2.71797189199674e-08
1949,3.5341230386620737e-08
1950,2.552486733087278e-08
1951,2.9851925376078725e-08
1952,1.4762725264461096e-08
1953,2.8011951425099824e-08
1954,2.6385846840781824e-08
1955,2.4402580400817442e-08
1956,1.744228272926307e-08
1957,3.180613461495341e-08
1958,3.970676881737134e-08
1959,2.7902692156800413e-08
1960,2.9067499629498172e-08
1961,2.7097821930777144e-08
