year,son_DET honneur_NOUN,son_DET bonheur_NOUN
1800,4.832580668079345e-06,8.721912138298649e-06
1801,6.4744353167611735e-06,1.0958202437905129e-05
1802,7.082764085453164e-06,1.0074755863342943e-05
1803,4.899252287415834e-06,9.189998223746443e-06
1804,5.860758786724318e-06,1.0621543097499853e-05
1805,5.748298610441793e-06,9.398553586947855e-06
1806,6.057268497450252e-06,8.45193582676984e-06
1807,5.972911807816672e-06,7.031979052385395e-06
1808,6.666789724718569e-06,7.69558751301247e-06
1809,6.9939587064027364e-06,6.9894402372483455e-06
1810,7.170148265345233e-06,9.568778040147663e-06
1811,7.849657417402511e-06,7.964982692953981e-06
1812,6.043894064333699e-06,7.236136120525316e-06
1813,6.660217725995565e-06,7.5028101775842515e-06
1814,6.966743168135281e-06,9.849099654957172e-06
1815,7.293292298538034e-06,8.722821434048456e-06
1816,4.929543496956512e-06,8.431442495293595e-06
1817,6.669645805978952e-06,8.758969556765805e-06
1818,6.574529455294353e-06,9.252025336081715e-06
1819,7.532458930370467e-06,7.822288381476028e-06
1820,8.261444364165982e-06,1.1222131377053302e-05
1821,8.290552777623361e-06,9.285577490913965e-06
1822,9.176446681635753e-06,8.774419200108241e-06
1823,1.1118022339218214e-05,7.877489281327144e-06
1824,8.98532764548321e-06,7.559632962284013e-06
1825,7.995342087063761e-06,7.269773703910687e-06
1826,8.213444949944915e-06,6.953023060418673e-06
1827,8.149912662958059e-06,6.10367840181425e-06
1828,7.0663411015914335e-06,6.439872564101279e-06
1829,6.457316223063003e-06,6.028657381307312e-06
1830,6.843433261849441e-06,7.003116891723948e-06
1831,6.026001104331158e-06,5.517727828419083e-06
1832,6.198079073982399e-06,6.125017023350665e-06
1833,6.408063114804463e-06,6.726612880925131e-06
1834,6.535105166349808e-06,6.993430389456989e-06
1835,8.336035662637187e-06,6.087529499154698e-06
1836,8.394888812546242e-06,6.009694786257569e-06
1837,7.957044257267398e-06,5.48073087713874e-06
1838,9.030178453883764e-06,5.554071350388767e-06
1839,7.453611836183427e-06,4.907316466074008e-06
1840,7.420050451401039e-06,6.116812159007168e-06
1841,6.629858262385824e-06,5.2019282748005935e-06
1842,7.338171149839923e-06,5.976393495643606e-06
1843,6.488741604471215e-06,5.777549716867725e-06
1844,7.812418086672324e-06,5.626323982710346e-06
1845,6.926178846455855e-06,5.370411273020181e-06
1846,6.7584361733707965e-06,4.912512068244723e-06
1847,6.558699048753169e-06,5.236280998133225e-06
1848,7.394363088053524e-06,4.745071862544137e-06
1849,7.172779167063936e-06,4.133565383312998e-06
1850,7.097216474960533e-06,4.2886089559601714e-06
1851,7.03182326589058e-06,4.2218027687113135e-06
1852,6.729950619899228e-06,4.621185269115813e-06
1853,6.697521625298464e-06,4.8945953352586e-06
1854,8.08185630418734e-06,5.8217420075834525e-06
1855,7.558139849095369e-06,5.984102173783867e-06
1856,7.457741045158173e-06,5.545287550035027e-06
1857,8.225343165690902e-06,5.306688379391744e-06
1858,8.08484257497355e-06,5.603748277849263e-06
1859,7.96619558585121e-06,5.792856470065999e-06
1860,7.522601734422096e-06,5.946677248402921e-06
1861,7.437074746263761e-06,5.244623380917801e-06
1862,7.2378138469275655e-06,5.434685519389859e-06
1863,7.263677161972737e-06,5.13097420196118e-06
1864,7.22181916756881e-06,5.1457021470469044e-06
1865,6.975072498249801e-06,4.720494025889366e-06
1866,7.33929034169023e-06,4.883129292920785e-06
1867,6.578956540437275e-06,4.548540289306402e-06
1868,6.528043417830531e-06,4.508129165969876e-06
1869,6.864274574525098e-06,5.253689892015245e-06
1870,6.933038498857513e-06,4.918093750916341e-06
1871,7.465625614599958e-06,3.99674903661662e-06
1872,6.82684110131504e-06,4.217414272034148e-06
1873,6.489427377687207e-06,3.67959688674091e-06
1874,6.663481361357526e-06,3.5907401922941062e-06
1875,6.769138941820074e-06,4.989743729311158e-06
1876,6.2521841037721515e-06,4.11733596195063e-06
1877,6.124823197950491e-06,4.196397426881049e-06
1878,6.5336899943702065e-06,3.4126890540164823e-06
1879,6.929807426558909e-06,4.470804412903817e-06
1880,6.583426561235228e-06,4.0605714559660555e-06
1881,6.2355134993197225e-06,3.7588787336062524e-06
1882,6.379186658023173e-06,4.093727298482008e-06
1883,5.886464357729437e-06,3.636147539509693e-06
1884,6.2465254799803915e-06,3.5457714488984493e-06
1885,6.2638685562887986e-06,3.6147125825891635e-06
1886,6.219848437183373e-06,3.3480569925359305e-06
1887,5.828371079985573e-06,3.1782805152147375e-06
1888,6.289889810773275e-06,3.492410627359277e-06
1889,5.7846007948114675e-06,3.2992210492466256e-06
1890,6.01758236484784e-06,3.2162374594690846e-06
1891,5.049019868863525e-06,3.10233299671836e-06
1892,5.326981991515822e-06,3.4539503133146354e-06
1893,4.911336997537319e-06,3.0558062604768566e-06
1894,5.003422177907169e-06,2.821829255594821e-06
1895,5.45888313041587e-06,3.0676877500468436e-06
1896,5.036652311218859e-06,3.004536168305094e-06
1897,4.7639208773375685e-06,2.753122153364984e-06
1898,5.146839825442839e-06,3.0062839755373716e-06
1899,5.06602565408798e-06,3.1136848122059746e-06
1900,4.724377284048842e-06,3.2890512926542215e-06
1901,4.585560272829525e-06,3.0279787495146593e-06
1902,3.858501084863519e-06,2.632894123166807e-06
1903,4.660390054311847e-06,2.73413154161517e-06
1904,4.42062925642972e-06,2.696449371342169e-06
1905,4.55540209998162e-06,3.080973066005299e-06
1906,4.113289890028682e-06,2.9121228948270073e-06
1907,4.385302403875357e-06,2.993649033555812e-06
1908,4.198746335504211e-06,3.0897549692099346e-06
1909,4.3001187037816635e-06,3.5195292866774253e-06
1910,4.4094586364451516e-06,3.6147836155464574e-06
1911,4.2137363820415885e-06,3.1736032042317674e-06
1912,4.239427195074086e-06,3.249636975510839e-06
1913,4.11299901159623e-06,3.0773249335425135e-06
1914,4.5879389993785935e-06,2.84946444395473e-06
1915,5.191781703217657e-06,2.013332220940356e-06
1916,4.65209147648693e-06,2.491956500705328e-06
1917,4.196850476034797e-06,2.7119968137867545e-06
1918,4.4406332726509845e-06,2.7165280229723976e-06
1919,4.101175782977862e-06,2.903234616269401e-06
1920,3.882283206024795e-06,2.856245913562816e-06
1921,3.6758117119006783e-06,3.0162253992216392e-06
1922,3.7199550639854806e-06,2.92240024180046e-06
1923,3.864205012860111e-06,3.306867910168876e-06
1924,3.889403066281716e-06,3.3389307816378277e-06
1925,3.940647136602138e-06,3.3324478323493167e-06
1926,3.77854091482277e-06,3.109772578113734e-06
1927,4.0371342926448506e-06,3.6569458075064176e-06
1928,3.801443885009803e-06,3.050753022648678e-06
1929,4.042853571917249e-06,3.0903487413525e-06
