year,en_ADP honneur_NOUN,en_ADP bonheur_NOUN
1800,1.8424804011374363e-06,1.8864986373046122e-07
1801,2.295460035384167e-06,1.3572740442668874e-07
1802,2.4414835024799686e-06,2.0364345232337655e-07
1803,2.1434227619465673e-06,8.581492494386112e-08
1804,2.2691592675982974e-06,7.662737999680758e-08
1805,2.436346221657004e-06,7.391481915419718e-08
1806,2.1468435988936108e-06,6.916005901302924e-08
1807,1.6853974784680759e-06,1.4234775846944103e-07
1808,2.3000650344329188e-06,1.2690014727922971e-07
1809,2.396831405349076e-06,7.228897658251299e-08
1810,2.443092398607405e-06,9.828532654410083e-08
1811,1.8627580402608146e-06,1.5293167621166504e-07
1812,2.8832521365984576e-06,1.4936365744233626e-07
1813,2.2143210571812233e-06,1.7254449824477547e-07
1814,2.577128498160164e-06,2.4858749725353846e-07
1815,2.548876182117965e-06,1.1058616422587875e-07
1816,2.7509959181770682e-06,9.733936501277185e-08
1817,2.31818444262899e-06,1.0742426326260102e-07
1818,2.785979177133413e-06,1.5497530014840777e-07
1819,2.8796621336368844e-06,1.1179133885264037e-07
1820,2.7091175525129074e-06,2.041034825595034e-07
1821,3.3578367037989665e-06,1.5088076565916708e-07
1822,3.137015255560982e-06,1.2832788343075663e-07
1823,2.4943901735241525e-06,1.1068609107045546e-07
1824,2.8715994631056674e-06,1.1200079974571509e-07
1825,2.7085543479188345e-06,1.64661777546371e-07
1826,2.2759832063456997e-06,1.3828535561088984e-07
1827,2.7412170311436057e-06,9.585964144687154e-08
1828,2.5416447897441685e-06,1.1281930767381709e-07
1829,2.818860366460285e-06,1.4231472855730232e-07
1830,2.359768586757127e-06,6.575206867864836e-08
1831,2.401045776423416e-06,1.1693404444734767e-07
1832,2.5571641799615463e-06,1.1094574858816486e-07
1833,2.8542060590552865e-06,1.2857827336176797e-07
1834,2.7499527277541347e-06,1.1761508744712046e-07
1835,3.590197820813046e-06,1.7621994174987776e-07
1836,2.8771530651283683e-06,1.3911952123635274e-07
1837,3.207587724318728e-06,1.551609614125482e-07
1838,2.7287476314086234e-06,8.521418237705802e-08
1839,2.735064981607138e-06,9.08891772954945e-08
1840,2.7797320854006102e-06,1.7198159268927427e-07
1841,3.331622565383441e-06,1.9646878968160308e-07
1842,2.881199861803907e-06,9.861149408152414e-08
1843,2.8583542643900728e-06,1.0986854825922876e-07
1844,2.854051899703336e-06,1.1690635659533655e-07
1845,2.8068545816495316e-06,9.653794497133106e-08
1846,2.869876652766834e-06,9.250111965286578e-08
1847,2.6545446871750755e-06,8.521293093366467e-08
1848,2.619524138935958e-06,1.665360857550091e-07
1849,2.9135226213838905e-06,1.131220983552339e-07
1850,3.0788096410105936e-06,8.622024871840495e-08
1851,2.7448811579233734e-06,5.9334836377544775e-08
1852,2.7780497475760058e-06,7.161599713256805e-08
1853,3.342490344948601e-06,8.838458809279359e-08
1854,3.098694378422806e-06,1.1118721809921794e-07
1855,3.201675099262502e-06,1.0666943239812099e-07
1856,3.162227130815154e-06,1.0250834492353533e-07
1857,3.176397967763478e-06,1.0885765533430458e-07
1858,3.2175919386645546e-06,9.88522543821091e-08
1859,3.2584816835878883e-06,1.0031581609837303e-07
1860,3.044284994757618e-06,1.1259872678692773e-07
1861,3.014444018845097e-06,1.3676294435827074e-07
1862,3.038345766981365e-06,1.1701584501366824e-07
1863,3.287459321654751e-06,9.839403275480052e-08
1864,3.297334387752926e-06,1.1747083727975394e-07
1865,3.4402326036797604e-06,9.790236421558518e-08
1866,3.1680006031820085e-06,1.0363755365006e-07
1867,3.085417574766325e-06,9.948263368642074e-08
1868,3.247967242714367e-06,9.089367969394857e-08
1869,3.1923564165481366e-06,7.813630575892461e-08
1870,3.281022827650304e-06,9.289159041969697e-08
1871,2.7636303912004223e-06,8.921789174110017e-08
1872,3.207508825653349e-06,8.829115216713035e-08
1873,3.0708201848028693e-06,5.566984029314881e-08
1874,2.956236585305305e-06,6.870800772773578e-08
1875,3.56679993274156e-06,8.410645102596703e-08
1876,3.2388502404501196e-06,8.706261667157378e-08
1877,3.3682508728816174e-06,6.67960161626624e-08
1878,3.4579820749058854e-06,6.220261350442513e-08
1879,3.4603217500261962e-06,6.781351102880251e-08
1880,3.402100219318527e-06,6.73873861156693e-08
1881,3.482070269456017e-06,6.414706632540401e-08
1882,3.613874014263274e-06,5.457415808152177e-08
1883,3.4876431982411304e-06,6.951272679689424e-08
1884,3.6731842101289658e-06,9.308392989737513e-08
1885,3.6276037462812383e-06,5.027595945117369e-08
1886,3.7604334011120955e-06,6.453464201916503e-08
1887,3.696024123200914e-06,3.917354896021408e-08
1888,3.5139687497576233e-06,5.2627100899371726e-08
1889,4.025350335723488e-06,6.390439410974835e-08
1890,3.6186768284096615e-06,4.915789730830511e-08
1891,3.6836618164670654e-06,6.437961985739094e-08
1892,3.776151743295486e-06,4.137218212463267e-08
1893,3.66425774700474e-06,4.618812360357438e-08
1894,3.6838798678218154e-06,5.1672621736997826e-08
1895,4.093259576620767e-06,5.11582243234443e-08
1896,3.5677026062330697e-06,4.540712339462516e-08
1897,3.7419154068629723e-06,5.4188436848789934e-08
1898,3.890118932758924e-06,5.771521927044887e-08
1899,3.6664428080257494e-06,6.080336234504102e-08
1900,4.05940363634727e-06,8.617148239409289e-08
1901,3.935590029868763e-06,7.2653605798223e-08
1902,3.3723829346854473e-06,5.597723462535953e-08
1903,3.7353322568378644e-06,7.88432146237028e-08
1904,3.905202447640477e-06,6.288311116264822e-08
1905,3.873149580613244e-06,4.0253920918775776e-08
1906,3.925527380488347e-06,5.401393821102829e-08
1907,3.7609613627864746e-06,6.222840198688573e-08
1908,3.6093797461944632e-06,5.8445529305117816e-08
1909,3.91670027966029e-06,7.371318133664317e-08
1910,3.8173266148078255e-06,8.28343381664709e-08
1911,3.791830749833025e-06,1.0800359717677566e-07
1912,3.863306574203307e-06,7.084812914115446e-08
1913,3.8192133615666535e-06,6.575706890110666e-08
1914,3.583427542253048e-06,4.7546880210802556e-08
1915,3.019409177795751e-06,2.9451904026700504e-08
1916,3.330299705339712e-06,4.504859418830165e-08
1917,3.3995916055573616e-06,7.128176093829097e-08
1918,3.0255114324972965e-06,7.351280828515883e-08
1919,3.374676452949643e-06,6.261336615853708e-08
1920,3.68616247214959e-06,5.5277290300637105e-08
1921,3.6258313684811583e-06,5.1494683295238985e-08
1922,3.5023060718231136e-06,7.820611358511087e-08
1923,3.6306541915109847e-06,6.263409391138453e-08
1924,3.6019198432768462e-06,6.961477083677892e-08
1925,3.495220880722627e-06,7.14881565055947e-08
