year,son_DET aisé_ADJ,son_DET baiser_NOUN
1800,0.0,6.288328657788611e-08
1801,0.0,6.429193177837078e-08
1802,2.2378401354217203e-09,2.4616241489638924e-08
1803,1.950339223455444e-09,4.095712213825209e-08
1804,2.4718509461507665e-09,2.4718509905596875e-08
1805,1.1371510844071508e-08,1.7057265822018053e-08
1806,2.881669125542885e-09,2.881669125542885e-08
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,2.4926814390369145e-08
1809,0.0,2.0331274441787173e-08
1810,4.680253518074551e-09,2.3401266702194334e-08
1811,2.5070767684098882e-09,4.011322829455821e-08
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,5.751483289628823e-09,3.163315653864629e-08
1814,6.293354282149721e-09,9.440030979135372e-09
1815,5.394447111228828e-09,8.091670444798638e-09
1816,2.3176038865813098e-09,2.3176038865813098e-08
1817,3.113746815941454e-09,1.71256075987003e-08
1818,1.1921177378582115e-09,1.4305412632253933e-08
1819,2.070210003424222e-09,4.968504052627054e-08
1820,1.1866481131050932e-09,1.5426425470366212e-08
1821,0.0,5.621048160264763e-08
1822,1.0025615893027862e-09,1.303330066093622e-08
1823,2.9648061783404955e-09,1.8777104759948315e-08
1824,8.421112696055388e-10,2.863178316658832e-08
1825,1.7610886082763955e-09,2.993850500843109e-08
1826,3.5231937367541377e-09,2.8185549894033102e-08
1827,0.0,1.8434546944501307e-08
1828,9.172301251858528e-10,4.1275356466030644e-08
1829,0.0,3.3435386459501615e-08
1830,0.0,6.157732990175191e-08
1831,1.5591206103948707e-09,5.1450980143030733e-08
1832,0.0,6.900284255095812e-08
1833,1.1583628500844156e-09,7.876867336165105e-08
1834,9.334530925997342e-10,9.614566809368341e-08
1835,3.025235173481633e-09,5.067268915581735e-08
1836,0.0,6.720749823330152e-08
1837,0.0,7.792837530828933e-08
1838,6.312161904276081e-10,3.282324190223562e-08
1839,6.9914751765765e-10,5.2436063047167636e-08
1840,6.369688665408546e-10,4.9683572811431986e-08
1841,1.2841097074556274e-09,8.154096509116471e-08
1842,6.708265054555795e-10,5.299529526325841e-08
1843,5.906911071384968e-10,5.1390124600203535e-08
1844,1.6465684371524958e-09,5.708103878454551e-08
1845,5.580227946389016e-10,7.58910996268014e-08
1846,1.1709002656346001e-09,5.678866177305508e-08
1847,0.0,4.422443389273667e-08
1848,8.045221711050488e-10,3.942158549596897e-08
1849,1.6758829879393033e-09,1.927265347312357e-08
1850,6.788996032014438e-10,4.820187182730251e-08
1851,6.449438760824933e-10,4.9660679568575006e-08
1852,6.510545436100301e-10,3.32037801697993e-08
1853,1.7915795513800958e-09,6.509405592325379e-08
1854,0.0,5.6113175883609756e-08
1855,2.1227748447927297e-09,7.588920425405377e-08
1856,1.5531567143511893e-09,5.850223905312646e-08
1857,1.4644527812635033e-09,6.98055828696198e-08
1858,4.893676019968041e-10,8.270312212843578e-08
1859,6.619825576592575e-09,1.0235268188552027e-07
1860,9.154367819341758e-10,1.0527522853465143e-07
1861,9.431927461278633e-10,7.6398610993067e-08
1862,0.0,7.81611655398251e-08
1863,2.4973103585068657e-09,6.143383785017775e-08
1864,4.794727948009836e-10,8.007196017345564e-08
1865,2.3534221238463715e-09,6.165966148774515e-08
1866,1.4596839292835284e-09,1.0704348163415034e-07
1867,9.7056229719783e-10,7.279216873712357e-08
1868,4.93987406535723e-10,7.656804712485865e-08
1869,9.767038289254515e-10,7.667125379029471e-08
1870,2.2936195165357276e-09,6.250113138150937e-08
1871,0.0,7.43482395648698e-08
