year,divin_ADJ office_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,2.2743021688143017e-08
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,3.008491944456182e-08
1812,2.1337665856435706e-08
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,5.1247248222807684e-08
1816,1.8540831092650478e-08
1817,7.784366928831332e-09
1818,7.152706427149269e-09
1819,4.140420006848444e-09
1820,3.9159387732468076e-08
1821,1.676452932031225e-08
1822,1.1028177482330648e-08
1823,3.360113609574e-08
1824,2.3579115548955087e-08
1825,3.610231757988913e-08
1826,4.4039921931471326e-08
1827,4.424290978022327e-08
1828,1.0089530988466322e-08
1829,1.2002446148073886e-08
1830,3.1310507520032616e-09
1831,1.091384405071949e-08
1832,4.058990921151917e-09
1833,1.3900354645102198e-08
1834,1.5868701908061666e-08
1835,3.025235173481633e-08
1836,3.427582484505365e-08
1837,2.435261770017405e-08
1838,3.029837714052519e-08
1839,1.4682098203877558e-08
1840,2.8663599493938818e-08
1841,1.733548060656176e-08
1842,1.6770663080478698e-08
1843,2.4218335781256428e-08
1844,2.6345094161772664e-08
1845,1.0044410636567136e-08
1846,3.102885770545072e-08
1847,3.182001862001016e-08
1848,1.850401026848303e-08
1849,2.1786478399121734e-08
1850,1.3577992064028876e-08
1851,1.870337307252612e-08
1852,1.4323200403509873e-08
1853,1.4929829816878737e-08
1854,3.844791862661623e-08
1855,3.02495415382964e-08
1856,4.4523826403519706e-08
1857,5.174399575480493e-08
1858,1.4681027726837215e-08
1859,1.2730433596175317e-08
1860,2.70053845952134e-08
1861,1.6505873334793364e-08
1862,1.716834857612426e-08
1863,2.2975255475898848e-08
1864,2.7329949858767577e-08
1865,1.9298061815220535e-08
1866,3.065336073859726e-08
1867,2.7661025470138156e-08
1868,4.24829177392283e-08
1869,4.590507829416168e-08
1870,3.383088653663435e-08
1871,2.1242354097950056e-08
1872,1.5723081503438152e-08
1873,8.979006871356887e-09
1874,2.6885741966076182e-08
1875,1.6592428320194585e-08
1876,1.6324239737741664e-08
1877,2.288381928394756e-08
1878,4.468925496325937e-08
1879,1.7717043832021773e-08
1880,2.0537108014195837e-08
1881,8.157833519817359e-08
1882,2.6621540527571597e-08
1883,1.2006744043446815e-08
1884,1.650424330534861e-08
1885,2.1915161296792718e-08
1886,1.4197620856748472e-08
1887,2.8727267675776602e-08
1888,1.9655905347804037e-08
1889,1.3783300722991498e-08
1890,2.6872983838188702e-08
1891,1.0198752065093686e-08
1892,5.0148098784674744e-08
1893,3.325545006038766e-08
1894,3.3398158905129094e-08
1895,2.347259631108045e-08
1896,1.1794058174530164e-08
1897,2.3306854779470143e-08
1898,2.2633418916839787e-08
1899,3.040167939616367e-08
1900,2.491705508589348e-08
1901,2.179608138419553e-08
1902,8.838511256215043e-09
1903,3.7801539676252105e-09
