year,en_ADP haleine_NOUN,en_ADP baleine_NOUN
1915,8.140506224663113e-07,2.1205371680821372e-08
1916,7.95492269389797e-07,3.076489463182952e-08
1917,7.391370218101656e-07,1.2063066989753679e-08
1918,6.202643021424592e-07,1.4932290071101306e-08
1919,6.178466378514713e-07,1.1970202606903513e-08
1920,5.936629463576537e-07,2.1959472462640406e-08
1921,6.860909138595161e-07,2.120369302360814e-08
1922,5.710522259505524e-07,2.6560567079059183e-08
1923,6.23156154233584e-07,2.5478275489376756e-08
1924,6.110630010880413e-07,1.5469948877466777e-08
1925,6.686892106699815e-07,2.0896537833436923e-08
1926,6.899459776832373e-07,2.3406890647947876e-08
1927,6.488849066954572e-07,1.1149224654616319e-08
1928,6.924180979694938e-07,1.7139061725401916e-08
1929,6.66196285692422e-07,1.893869061575515e-08
1930,6.575255611096509e-07,8.402882833991043e-09
1931,6.64932315430633e-07,7.983749661377715e-09
1932,7.551120688731316e-07,1.2055489939655217e-08
1933,6.423570653169008e-07,1.1470662641954732e-08
1934,7.153003593884932e-07,9.585264137967897e-09
1935,6.199571203069354e-07,1.555876849579363e-08
1936,6.838338890702289e-07,1.6974599503782883e-08
1937,5.829687665936945e-07,0.0
1938,6.456676828747732e-07,1.5558256905023882e-08
1939,6.025856009728159e-07,1.070583532936098e-08
1940,4.513693454555323e-07,2.028626333583361e-08
1941,5.725914888898842e-07,5.9030051957620344e-09
1942,5.613291591544112e-07,6.068423541449874e-09
1943,7.170991125349246e-07,1.1612940831184915e-08
1944,4.7233837108251464e-07,9.639558484764166e-09
1945,7.254418505908689e-07,6.535512131478072e-09
1946,7.08584195763251e-07,8.352662561605939e-09
1947,8.356530543096596e-07,4.7683483828109274e-09
1948,6.64272363337659e-07,3.2615663503321457e-09
1949,5.693864864042553e-07,7.853606653895895e-09
1950,6.785360824324016e-07,9.571825110299415e-09
1951,6.386179620676558e-07,1.4925962688039363e-08
1952,5.272402177070035e-07,9.490323193972472e-09
1953,5.871735879736661e-07,1.508335856215126e-08
1954,6.058972417122277e-07,6.840775057526116e-09
1955,5.84723352403671e-07,3.754243138587299e-09
1956,5.668741778208641e-07,2.616342476002842e-09
1957,5.097816710986081e-07,4.417518795207798e-09
1958,5.501041755451297e-07,4.1361216673863055e-09
1959,5.696799689758336e-07,1.1626121398933265e-08
1960,5.80657911086746e-07,4.844583401109048e-09
1961,5.607164439425105e-07,7.64297514166401e-09
1962,6.785893447158742e-07,4.43936931660005e-09
1963,5.903506803406344e-07,5.819448034571906e-09
1964,5.925784876126272e-07,7.300761772910391e-09
1965,6.500787321783719e-07,2.73602163147757e-09
1966,5.472605835166178e-07,6.092982118843793e-09
1967,5.660025408360525e-07,3.944268467392931e-09
1968,5.978074568702141e-07,9.431973424511852e-09
1969,5.309314587975678e-07,5.450109252791435e-09
1970,5.288533770908543e-07,1.0117195081704722e-08
1971,5.492946684171329e-07,7.193756701440179e-09
1972,5.361003445614188e-07,6.669190977248718e-09
1973,4.956370389663789e-07,4.9618833486420044e-09
1974,4.7086035692700534e-07,4.500457340128605e-09
1975,4.5863185960115516e-07,4.569184142155791e-09
1976,4.3422804196779907e-07,2.285410749536254e-09
1977,4.7249326939891034e-07,5.876781727920388e-09
1978,5.495047048498236e-07,5.346532105932056e-09
1979,4.985881218999566e-07,7.022368020415115e-09
1980,4.957451551490522e-07,3.97960553399912e-09
1981,5.319787419466593e-07,5.060439622894819e-09
1982,4.810814289157861e-07,3.1037510339615437e-09
1983,5.66483834063547e-07,7.57837881337764e-09
1984,5.149519779479306e-07,7.538710988796993e-09
1985,4.830492912333284e-07,6.015557829641693e-09
1986,4.849538868256786e-07,7.1933827783254856e-09
1987,5.530289399757748e-07,4.888653482026939e-09
1988,5.139046379554202e-07,4.197587610832443e-09
1989,5.652765935337811e-07,7.683371272548811e-09
1990,5.170769554752042e-07,8.172976073694826e-09
1991,5.527361963686417e-07,8.20605094986604e-09
1992,5.201387125453039e-07,4.958949695321735e-09
1993,5.522589958673052e-07,7.200969598386564e-09
1994,5.116679062666663e-07,4.747434001473039e-09
1995,5.303156740410486e-07,4.337960657352369e-09
1996,5.129906526235573e-07,3.736664311304594e-09
1997,5.240819405116781e-07,1.8700088588730068e-08
1998,5.554870767809916e-07,1.382757464085671e-08
1999,5.424828941613669e-07,1.553868322901053e-08
2000,5.36790821570321e-07,9.277866475088103e-09
2001,5.025249834034184e-07,6.571817756650944e-09
2002,5.362614956538891e-07,2.6287327870022636e-09
2003,5.842026098434872e-07,7.91715315529018e-09
2004,5.752657443736098e-07,8.369103632333008e-09
2005,5.422514277597656e-07,6.7556245042510454e-09
2006,5.933879378972051e-07,4.529678854225949e-09
2007,6.363205784509773e-07,7.190063211481856e-09
2008,5.274967520563223e-07,5.108927503272298e-09
2009,5.473884812090546e-07,5.721831008997924e-09
2010,5.626037591355271e-07,6.140930874920514e-09
2011,5.663302431457851e-07,6.500752380844688e-09
2012,6.066378546165652e-07,1.191488419038933e-08
2013,5.837638923367194e-07,9.483025031897796e-09
2014,6.550471880473197e-07,9.744502982300673e-09
2015,6.691840894745837e-07,1.3521109565317602e-08
2016,6.392155569301394e-07,2.2163337831671015e-08
2017,5.831187195326493e-07,1.0314006537726073e-08
2018,6.027725021340302e-07,1.1100306451794495e-08
2019,6.655527045040799e-07,1.224474122096808e-08
