year,son_DET an_NOUN,son_DET banc_NOUN
1800,1.1947824818392405e-07,1.3519907327008696e-07
1801,1.5715804924099075e-07,1.1905913055443307e-07
1802,1.1860552717735118e-07,6.937304419807333e-08
1803,1.4042442475492578e-07,1.1507001573818343e-07
1804,9.887403673580764e-08,1.3100809326260787e-07
1805,1.7910129024301114e-07,8.52863308864471e-08
1806,1.0950343032334331e-07,1.181484350354367e-07
1807,2.021338083579849e-07,5.4092147649953404e-08
1808,1.4049658636494655e-07,5.4385775882792586e-08
1809,9.713831272684104e-08,1.3780086760561971e-07
1810,9.828532210320873e-08,6.552355102940055e-08
1811,1.3036799018095735e-07,1.5293167621166504e-07
1812,1.0668832839400011e-07,6.401299401659344e-08
1813,8.914798788062228e-08,1.322841143291953e-07
1814,1.2272040805783035e-07,1.8565394555025705e-07
1815,1.7262230644909948e-07,2.1577788800186681e-07
1816,1.3442102897442965e-07,1.5296186006708012e-07
1817,1.1053801518556838e-07,2.0395042099607963e-07
1818,1.7762553694566918e-07,1.4424624339426373e-07
1819,1.7079232339511918e-07,1.749327509514842e-07
1820,1.0798497562802822e-07,1.874904000942479e-07
1821,1.400331290923873e-07,2.1498044588952325e-07
1822,1.1128433641260926e-07,1.4035862250239006e-07
1823,1.462637607696493e-07,2.213721899124721e-07
1824,1.3221146666353434e-07,1.7347491620967048e-07
1825,1.5673689013340208e-07,2.1397227101260796e-07
1826,1.1538459276927426e-07,1.523781349987985e-07
1827,1.4747636600809244e-07,2.424142735435453e-07
1828,1.2199160820403065e-07,2.008734014680158e-07
1829,8.74463982336593e-08,2.6834041477741266e-07
1830,6.053364831615227e-08,2.7970719429504243e-07
1831,7.639690879912564e-08,3.3053356673917733e-07
1832,7.71208219507713e-08,4.464889968858188e-07
1833,1.1583628245492861e-07,5.36321977051557e-07
1834,1.0641365477681575e-07,4.965970674675191e-07
1835,1.550433026409337e-07,4.076504467320774e-07
1836,8.468145001883087e-08,4.496181702506874e-07
1837,9.393152344827627e-08,3.889460913342191e-07
1838,1.1677499323070606e-07,3.8441066863015294e-07
1839,1.1326189996996305e-07,4.131961759412661e-07
1840,9.427138925044432e-08,4.579806045512669e-07
1841,6.741575964142044e-08,3.7110771700099576e-07
1842,7.714504635103481e-08,5.896565085095062e-07
