year,son_DET ail_NOUN,son_DET bail_NOUN
1800,6.288328968651058e-09,4.6848050416770093e-07
1801,4.7623651688866175e-09,6.072015708014078e-07
1802,1.1189200677108602e-08,6.467357991368772e-07
1803,9.751696339321825e-09,5.812011067973799e-07
1804,2.4718509461507665e-09,1.3545743513532216e-06
1805,0.0,8.898207397578517e-07
1806,5.76333825108577e-09,1.0460459440864156e-06
1807,8.540865348294346e-09,2.0412668089164754e-06
1808,2.2660739951163578e-09,1.3959015987552448e-06
1809,1.1295152591017654e-08,1.0052685459616129e-06
1810,1.4040760554223652e-08,1.31515127721471e-06
1811,5.0141535368197765e-09,1.3989488625298918e-06
1812,0.0,1.0428784675831082e-06
1813,2.8757416448144113e-09,4.975033078835622e-07
1814,6.293354282149721e-09,5.947219881008436e-07
1815,5.394447111228828e-09,5.286557893668942e-07
1816,2.3176038865813098e-09,2.3176039576355834e-07
1817,2.490997452753163e-08,2.9736281703662826e-07
1818,3.5763532135746345e-09,5.424135451903567e-07
1819,6.210629899250364e-09,5.765534615287393e-07
1820,4.746592452420373e-09,5.055120899655208e-07
1821,5.9168927535324656e-09,5.374510916311692e-07
1822,2.0051231786055723e-09,5.303550523194644e-07
1823,2.9648061783404955e-09,5.979025798907855e-07
1824,2.5263338088166165e-09,5.945305803223278e-07
1825,3.522177216552791e-09,6.938689347535387e-07
1826,5.284790383086602e-09,7.803874311207437e-07
1827,7.373818444733615e-09,9.392401238983439e-07
1828,3.668920500743411e-09,9.401608971337794e-07
1829,4.286587973467704e-09,1.004776255086881e-06
1830,5.218417697960831e-09,6.470838045391503e-07
1831,9.354723218280014e-09,6.906904568282357e-07
1832,2.705993873419743e-09,6.007306616595542e-07
1833,4.6334514003376626e-09,1.0599020097146195e-06
1834,4.667265685043276e-09,9.586563511909674e-07
1835,1.5126175867408165e-09,7.593340356493172e-07
1836,9.409050427677812e-09,7.863277765585153e-07
1837,8.349468672008697e-09,5.809839098702696e-07
1838,6.312161682231476e-09,7.770271475138202e-07
1839,9.788065025162496e-09,6.481097294397387e-07
1840,1.4013315119409953e-08,7.267814821076968e-07
1841,3.852329122366882e-09,1.0529699965289296e-06
1842,3.3541325272778977e-09,8.338373693739243e-07
1843,8.860366662588604e-09,6.521229787281868e-07
1844,6.037417288329294e-09,8.847560899472029e-07
1845,2.7901139176833567e-09,7.181753496343646e-07
1846,5.269051195355701e-09,5.749120148834663e-07
1847,6.47186837454683e-09,1.0317237251200595e-06
1848,3.218088684420195e-09,6.009780863514003e-07
1849,5.02764896381791e-09,9.904468170063296e-07
1850,6.1100964288129944e-09,6.048995446761296e-07
1851,3.2247193804124663e-09,6.133416095011057e-07
1852,6.510545214055696e-09,9.570501571243284e-07
1853,8.360704129017904e-09,1.5616601292123278e-06
1854,7.793496792363186e-09,6.032166549596596e-07
1855,1.0083180512765466e-08,5.880086320075861e-07
