year,ton_DET office_NOUN,ton beau - fils
1800,9.432493897065797e-09,3.4447684704730364e-09
1801,6.667310969987739e-08,0.0
1802,4.923248297927785e-08,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,2.305335300434308e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,2.039466551195801e-08,0.0
1809,5.421673421324158e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,1.7549536934780008e-08,0.0
1812,1.8670458068470452e-08,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466772298927026e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,0.0,2.5331408082251983e-09
1817,2.3353100786493997e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,2.070209959015301e-08,0.0
1820,2.8479554714522237e-08,0.0
1821,2.9584464433796143e-08,0.0
1822,1.7043547018147365e-08,1.0964762431342479e-09
1823,3.4589405117912975e-08,0.0
1824,2.863178316658832e-08,0.0
1825,2.3774695989686734e-08,0.0
1826,2.3781558056157337e-08,1.922118242347892e-09
1827,1.2904182611350734e-08,0.0
1828,7.337841001486822e-09,0.0
1829,6.858540846366168e-09,9.365493935931113e-10
1830,1.6698937344017395e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,1.7375443306377747e-08,2.534755960681423e-09
1834,1.3068342852307069e-08,0.0
1835,2.2689263801112247e-08,0.0
1836,5.107770206791429e-08,0.0
1837,6.679574937606958e-08,0.0
1838,7.195864526465812e-08,0.0
1839,2.516931019158619e-08,0.0
1840,3.694419348221345e-08,0.0
1841,1.926164472365599e-08,0.0
1842,1.2745703159566801e-08,0.0
1843,2.3036953678001737e-08,0.0
1844,2.7442807137845193e-08,0.0
1845,2.9017184932644824e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,2.1033571329098777e-08,0.0
1848,1.287235473768078e-08,0.0
1849,7.54147322368226e-09,0.0
1850,5.0917471128286707e-08,0.0
1851,8.384270167027807e-09,7.05856872951216e-10
1852,2.799534470909748e-08,0.0
1853,2.329053483407506e-08,0.0
1854,3.585008556683533e-08,0.0
1855,2.0166361025530932e-08,0.0
1856,1.501384794266869e-08,0.0
1857,4.1004677098221975e-08,0.0
1858,2.936205589776364e-08,0.0
1859,1.1202780925145817e-08,0.0
1860,3.661747172145624e-08,0.0
1861,1.9335450573976232e-08,0.0
1862,3.298130124562704e-08,0.0
1863,2.6970951694238465e-08,0.0
1864,1.7261021389991527e-08,6.299447630198074e-09
1865,2.4475590221229027e-08,0.0
1866,1.216403244796993e-08,0.0
1867,2.523461972714358e-08,3.1939990652318784e-09
1868,1.5807597009143137e-08,1.0819822815477664e-09
1869,2.8324411260882698e-08,0.0
1870,4.9886225816919705e-08,1.884986389200094e-09
1871,7.434824311758348e-09,0.0
1872,3.3260366905096816e-08,0.0
1873,2.0951015811121465e-08,1.3120848851855271e-09
1874,2.0911132381229436e-08,0.0
1875,1.7736734747586524e-08,2.5147881554943297e-09
1876,1.5115036333668286e-08,0.0
1877,1.6699003069220453e-08,0.0
1878,8.4547240319921e-09,0.0
1879,2.993569381271044e-08,0.0
1880,1.6044616302224313e-08,0.0
1881,6.9725074602899895e-09,0.0
1882,1.1314154724217929e-08,0.0
1883,1.5798347796636136e-08,6.966609511493971e-10
1884,9.242375753615306e-09,0.0
1885,1.6114089618213256e-08,7.102083920962343e-10
1886,5.808117542471791e-09,7.111462529962864e-10
1887,2.6115697659978565e-08,0.0
1888,1.1413106904001324e-08,0.0
1889,2.318100555953606e-08,0.0
1890,1.3108772733971819e-08,0.0
1891,2.4859458491732767e-08,1.4054414299025098e-09
1892,1.3790727226847821e-08,0.0
1893,1.601188270861087e-08,0.0
