year,en_ADP are_NOUN,en_ADP bar_NOUN
1800,5.65949598296811e-08,1.8864986905953174e-08
1801,5.9529563944948904e-08,1.6668278313147766e-08
1802,6.713520406265161e-09,8.951360541686881e-09
1803,4.4857801695386e-08,1.950339179046523e-08
1804,2.719036085174764e-08,4.943701892301533e-09
1805,8.528633133053631e-09,1.1371510844071508e-08
1806,2.881669125542885e-08,1.729001475325731e-08
1807,1.1387820464392462e-08,3.701041606518629e-08
1808,5.211970233176544e-08,2.039466551195801e-08
1809,1.355418288717658e-08,1.1295152813062259e-08
1810,5.8503168531842675e-08,4.446240886579744e-08
1811,1.7549536934780008e-08,2.5070766795920463e-08
1812,3.467370746079723e-08,1.3336041604361526e-08
1813,1.150296680130225e-08,5.751483289628823e-09
1814,1.2586708564299443e-08,1.8880062846449164e-08
1815,2.9669458667669346e-08,2.1577788444915313e-08
1816,1.1819780176836048e-07,1.3905623319487859e-08
1817,2.8023721343473085e-08,2.0239354192597148e-08
1818,1.9073883805731384e-08,9.536941902865692e-09
1819,5.175525008560555e-08,4.864993563558073e-08
1820,1.542642635854463e-08,1.7799721696576398e-08
1821,3.94459531705138e-09,7.88919063410276e-09
1822,1.303330066093622e-08,9.023054303725075e-09
1823,3.162459771832715e-08,2.3718448982634754e-08
1824,1.0105335235266466e-08,2.6105449357771704e-08
1825,1.0566531427613768e-08,7.484626962650509e-08
1826,1.0569580766173203e-08,2.6423951915433008e-08
1827,3.2260455640198415e-08,1.3825909750408982e-08
1828,1.1923991571904935e-08,1.1006761280185628e-08
1829,1.0287811491593857e-08,1.2002446703185399e-08
1830,1.2524202563923836e-08,1.461157017601522e-08
1831,1.4032085715598441e-08,1.2472964439069756e-08
1832,1.3529969256076413e-08,8.11798162025923e-09
1833,9.266902800675325e-09,8.108540172635514e-09
1834,1.773560875939495e-08,1.4935249481595747e-08
1835,1.5882484660778573e-08,3.403389570166837e-08
1836,7.392825018825988e-09,1.0753200108126748e-08
1837,1.3219993100221927e-08,2.0177884252348122e-08
1838,8.2058102535143e-09,3.7241755457273484e-08
1839,1.3982950020086093e-08,2.0974424863595686e-08
1840,2.611572358368619e-08,1.528725279698051e-08
1841,2.3756030032018316e-08,8.346713098461578e-09
1842,1.341653010911159e-08,7.379091560011375e-09
1843,1.1223130869097986e-08,5.906910960362666e-09
1844,1.152597856046711e-08,1.3721403568922597e-08
1845,1.1718478631905782e-08,3.9061596734946136e-09
1846,7.025401593807601e-09,1.1123552967617911e-08
1847,9.707802561820245e-09,7.011190739092399e-09
1848,2.735375304041554e-08,5.63165514222419e-09
1849,1.3407064125559032e-08,1.4245005841573288e-08
1850,3.4623880651452055e-08,8.82569484161877e-09
1851,1.3543821175687754e-08,1.7413484876271923e-08
1852,2.7344290387532055e-08,1.2370036106545967e-08
1853,4.478948767427937e-08,1.7318602552052198e-08
1854,1.2989161413123895e-08,1.1950028078189234e-08
1855,2.4942604426314574e-08,7.960405667972736e-09
1856,1.6049286344355096e-08,1.9673318418789165e-08
1857,2.0990488902583593e-08,1.4644526924456613e-08
1858,2.6425850618849722e-08,1.4191660291373864e-08
1859,1.680417205385254e-08,6.110608241627347e-09
1860,1.5562426014525954e-08,1.2816114725033856e-08
1861,2.075024119196911e-08,1.7449065525809715e-08
1862,2.25899317307654e-08,8.132375661773494e-09
1863,1.498386242859695e-08,1.0988165932701577e-08
1864,2.1096803859421698e-08,9.109982990196386e-09
1865,1.1767110841276462e-08,1.1296426682960714e-08
1866,2.578774882522339e-08,1.3623716599298064e-08
1867,2.6690463172940326e-08,2.1837651686951176e-08
1868,4.2482916740027576e-08,1.7289559117728004e-08
1869,2.0510780074367574e-08,1.5627261706896434e-08
1870,3.2110673231500186e-08,9.17447851023212e-09
1871,3.611200227737754e-08,5.310588635509816e-09
1872,3.9912439575573444e-08,7.861541306830588e-09
1873,3.890902905423488e-08,1.735941301816979e-08
1874,6.870800672853505e-08,8.364452908082853e-09
1875,2.0025345548457807e-08,1.1443054503956773e-08
1876,4.897271921322499e-08,1.0882826639857512e-08
1877,2.535774612510977e-08,3.0924081073635534e-09
1878,4.5293163830617544e-08,4.831270883354222e-09
1879,3.42122213892182e-08,1.7717043832021773e-08
1880,3.850707597230496e-08,5.776061406947974e-09
1881,1.4642266066289267e-08,1.3247764774071413e-08
1882,3.0614771162618126e-08,1.1314154280128719e-08
1883,3.5388296737437486e-08,1.4534479619854324e-08
