year,prochain_ADJ bonheur_NOUN
1800,2.2009151834367913e-08
1801,6.191074675143682e-08
1802,4.475680270843441e-09
1803,2.145373123596528e-08
1804,2.2246657849223084e-08
1805,1.9900143755080535e-08
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,0.0
1811,1.0028307073639553e-08
1812,1.0668832928217853e-08
1813,0.0
1814,6.293354282149721e-09
1815,1.3486118000116676e-08
1816,6.952811659743929e-09
1817,1.401186100480345e-08
1818,2.741870730460505e-08
1819,4.140420006848444e-09
1820,0.0
1821,9.86148829262845e-10
1822,1.1028177482330648e-08
1823,3.9530747564242574e-09
1824,3.3684450784221553e-09
1825,1.2327619813845558e-08
1826,2.642395191543301e-09
1827,9.217273166939322e-09
1828,2.7516904310687096e-09
1829,8.57317605795771e-10
1830,1.1480519646056564e-08
1831,9.354723218280014e-09
1832,1.2176972319366541e-08
1833,8.108539617524002e-09
1834,1.7735608537350345e-08
1835,6.806779140333674e-09
1836,1.3441500135158435e-09
1837,1.3219993100221927e-08
1838,9.468243078458727e-09
1839,1.11863602825224e-08
1840,5.095750932326837e-09
1841,2.1829865914924085e-08
1842,1.1404051036834062e-08
1843,2.953455480181333e-09
1844,1.0977122322231025e-08
1845,1.6182660544927785e-08
1846,1.3465353276842507e-08
1847,1.0247124926365814e-08
1848,6.43617736884039e-09
1849,2.513824481908955e-09
1850,2.7155984128057753e-09
1851,7.094382858952031e-09
1852,1.0416872697760482e-08
1853,1.3138249599364826e-08
1854,3.117398783558656e-09
1855,2.5473298137512757e-08
1856,0.0
1857,1.4644527812635033e-09
1858,3.4255731584664773e-09
1859,1.7313389832906978e-08
1860,1.5562426014525954e-08
1861,2.8295783494058924e-09
1862,1.8071945051545413e-09
1863,4.495158911765884e-09
1864,8.151037178549814e-09
1865,8.943004559114343e-09
1866,5.352174259343201e-09
1867,9.220341823379385e-09
1868,1.4819622196071691e-09
1869,6.348574999037737e-09
1870,1.0321287824410774e-08
1871,1.0621177271019633e-09
1872,7.861540751719076e-09
1873,1.855661402316855e-08
1874,7.169530746864439e-09
1875,1.1443054503956773e-08
1876,5.441413541973361e-09
1877,6.184816214727107e-09
1878,1.6305540029293297e-08
