year,en_ADP watts_NOUN,en_ADP boîte_NOUN
1800,0.0,1.5720821977538435e-08
1801,0.0,2.8574190125141286e-08
1802,0.0,6.937304419807333e-08
1803,0.0,1.1116933507082649e-07
1804,0.0,2.9662210465630778e-08
1805,0.0,7.675770063997334e-08
1806,0.0,2.881669125542885e-08
1807,0.0,1.9928686700865228e-08
1808,0.0,6.118399697996324e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,4.262030373070047e-08
1812,0.0,2.6672083208723052e-08
1813,0.0,4.3136125782439194e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,4.8550024445148665e-08
1816,0.0,1.3905623319487859e-08
1817,0.0,1.556873407970727e-09
1818,0.0,3.695565098382758e-08
1819,0.0,2.898294049202832e-08
1820,0.0,2.610625848831205e-08
1821,0.0,7.88919063410276e-09
1822,0.0,1.804610860745015e-08
1823,0.0,8.894418535021487e-09
1824,0.0,3.03160057057994e-08
1825,0.0,2.905796137042671e-08
1826,0.0,1.145037931138404e-08
1827,0.0,2.027800150017356e-08
1828,0.0,4.219258542548232e-08
1829,0.0,1.2859763920403111e-08
1830,0.0,1.2524203008013046e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,1.352996914505411e-08
1833,0.0,2.20088942626262e-08
1834,0.0,2.5203233278148218e-08
1835,0.0,9.832014313815307e-09
1836,0.0,6.72075017860152e-09
1837,0.0,1.948209416013924e-08
1838,0.0,1.2624323808552163e-08
1839,0.0,2.027527834513876e-08
1840,0.0,1.7835128929277744e-08
1841,0.0,1.8619591202195807e-08
1842,0.0,2.683306021822318e-09
1843,0.0,2.3036953678001737e-08
1844,0.0,2.9089374464774664e-08
1845,0.0,1.9530798311961917e-08
1846,0.0,2.985795788390533e-08
1847,0.0,1.5640349459999925e-08
1848,0.0,2.011305383353701e-08
1849,0.0,8.379414495607307e-09
1850,0.0,1.765138968323754e-08
1851,0.0,9.674158585326609e-09
1852,0.0,1.8229528109259263e-08
1853,0.0,1.5527023222716707e-08
1854,0.0,1.6626126253527218e-08
1855,0.0,2.175844215912548e-08
1856,0.0,2.847454005916461e-08
