year,en_ADP heure_NOUN,en_ADP beurre_NOUN
1800,7.231578251776227e-07,3.301372828445892e-07
1801,6.714934670526418e-07,2.2621235018505104e-07
1802,6.870169499961776e-07,3.737193026154273e-07
1803,1.2111606793041574e-06,5.773003977083135e-07
1804,5.166168648429448e-07,3.633620906384749e-07
1805,6.623905051128531e-07,1.705726617728942e-07
1806,6.656655955339374e-07,9.509508203109363e-08
1807,5.608501396636711e-07,1.4234775846944103e-07
1808,6.254364279811853e-07,7.931259204951857e-08
1809,8.697267617208126e-07,2.439753075123008e-07
1810,9.734927743920707e-07,2.0359102848033217e-07
1811,7.245452025017585e-07,1.579458341893769e-07
1812,7.814920195414743e-07,5.3344166417446104e-08
1813,7.476928090000001e-07,1.782959770935122e-07
1814,1.7023522786985268e-06,5.97868634599763e-08
1815,1.1058616564696422e-06,1.4834729711310501e-07
1816,7.138219757507613e-07,2.062667476820934e-07
1817,6.881380727463693e-07,1.292204956371279e-07
1818,7.534184192081739e-07,1.263644833215949e-07
1819,7.12152257165144e-07,1.0144029261027754e-07
1820,6.502831411125953e-07,9.611849804969097e-08
1821,7.218609425763134e-07,9.072569184809254e-08
1822,7.408930287056137e-07,1.3434325296657335e-07
1823,1.0969782806569128e-06,1.2155705064742506e-07
1824,1.0231651685899124e-06,5.052667617633233e-08
1825,6.877050964249065e-07,1.012625929774913e-07
1826,9.776862270882702e-07,7.839106075380187e-08
1827,9.254142128156673e-07,9.309445658800541e-08
1828,7.741422223261907e-07,1.0639869429951432e-07
1829,8.616041782261163e-07,1.6374765721138829e-07
1830,1.0593388424240402e-06,9.497520636614354e-08
1831,9.83805080068123e-07,1.7929886553247343e-07
1832,1.2555811963466113e-06,9.8768779821512e-08
1833,1.107394837163156e-06,1.436369956309136e-07
1834,9.92260652310506e-07,1.1761508744712046e-07
1835,1.206312504109519e-06,9.529490796467144e-08
1836,1.0739759090938605e-06,1.6129800428643648e-07
1837,1.2558992921185563e-06,1.509862386228633e-07
1838,1.0036337698693387e-06,8.205810786421353e-08
1839,9.137858114627306e-07,1.573081931383058e-07
1840,1.3166146572984871e-06,1.3248951802324882e-07
1841,9.695028211353929e-07,1.6308193551139993e-07
1842,1.2906701840620372e-06,1.5160678401571204e-07
1843,1.3444129081108258e-06,1.506262350403631e-07
1844,1.0000159136325237e-06,1.4599572750739753e-07
1845,1.124974005506374e-06,1.0881444723054301e-07
1846,1.1041589687010855e-06,1.5924243257359194e-07
1847,1.4863724118185928e-06,1.1541498423639496e-07
1848,1.4827343193246634e-06,8.68883915927654e-08
1849,1.7747601077644504e-06,1.5753299464904558e-07
1850,1.4806799981670338e-06,1.4867900688386726e-07
1851,1.289887791244837e-06,2.0638204034639784e-07
1852,1.1373922461643815e-06,1.3802356590986165e-07
1853,1.371752773593471e-06,1.4153478389289376e-07
1854,1.2729377658615704e-06,1.2209811472985166e-07
1855,1.2678273151323083e-06,1.4063382991480466e-07
1856,1.252362039849686e-06,2.2831405033230112e-07
1857,1.2101261290808907e-06,2.494451223356009e-07
1858,1.2870367527284543e-06,1.3212925864536373e-07
1859,1.3448429854179267e-06,1.980855444116969e-07
1860,1.6262733879557345e-06,2.128390548250536e-07
1861,1.4449713034991873e-06,1.735474626229916e-07
1862,1.2939512998855207e-06,1.0572087916216333e-07
1863,1.196211655951629e-06,1.418472379555169e-07
1864,1.0754574759630486e-06,1.7165126564577804e-07
1865,1.3113268551023793e-06,1.299088978612417e-07
1866,1.2056989362463355e-06,1.60078670319308e-07
