year,en_ADP ours_NOUN,en_ADP bourse_NOUN
1800,2.829747991484055e-08,1.131899196593622e-07
1801,7.619784270218588e-08,3.095537337571841e-08
1802,8.503792514602537e-08,5.370816325012129e-08
1803,2.3404069793286908e-08,1.5602713787643552e-08
1804,8.404293083685843e-08,7.415552971679062e-08
1805,6.538618513296512e-08,5.970043281955384e-08
1806,6.339671898558663e-08,8.645007198992971e-08
1807,5.693910054560547e-08,1.765112145335479e-07
1808,3.852325747288887e-08,1.7675377250725433e-07
1809,5.873479480555943e-08,1.8072244145628247e-08
1810,3.978215445954447e-08,7.488405628919281e-08
1811,5.0141537144554604e-08,8.022645658911642e-08
1812,2.6672083208723052e-08,6.934741492159446e-08
1813,9.777521370324394e-08,9.777521836618064e-08
1814,3.776012391654149e-08,1.6992056828257773e-07
1815,2.1577788444915313e-08,1.0519171933509597e-07
1816,1.1588019432906549e-08,5.3304891167726964e-08
1817,1.8682481339737933e-08,2.490997452753163e-08
1818,2.861082504246326e-08,3.2187177367859476e-08
1819,3.726378139390363e-08,7.038713845108902e-08
1820,4.6279275522920216e-08,4.15326857350351e-08
1821,2.8598315604533298e-08,2.6626018723163725e-08
1822,1.7043547018147365e-08,1.223125138949399e-07
1823,3.063632902922109e-08,2.1840738251288627e-07
1824,4.884245186076441e-08,1.2884302158511218e-07
1825,4.6668848341369085e-08,4.4027215206909887e-08
1826,7.222546827279075e-08,8.279505436803447e-08
1827,3.7790819362726324e-08,6.083400272416384e-08
1828,4.861319524707142e-08,3.302028395157919e-08
1829,3.8579290873030914e-08,1.1745251526917855e-07
1830,3.861629238599562e-08,5.844628114815009e-08
1831,2.8064171431196883e-08,4.36553779792348e-08
1832,6.764984572527055e-09,4.735489433915774e-08
1833,6.834341093053808e-08,1.378451806033354e-07
1834,9.521221500108368e-08,1.0454674992388391e-07
1835,3.6302822081779595e-08,9.756383434478266e-08
1836,4.9061476659062464e-08,7.19120265557649e-08
1837,5.4967337348443834e-08,1.0993467469688767e-07
1838,3.1560809077291196e-08,5.6178240059878704e-08
1839,3.705481976812308e-08,7.13130465790357e-08
1840,3.3759349093998026e-08,4.203994441454029e-08
1841,3.5955071808757566e-08,6.227932125568714e-08
1842,5.0982812638267205e-08,1.0330727917562399e-07
1843,7.206431718032036e-08,4.371114092904804e-08
1844,5.269018737985576e-08,9.275668699793016e-08
1845,5.412821058037309e-08,8.593551203972538e-08
1846,3.33706573485415e-08,6.205771230227697e-08
1847,1.941560512364049e-08,1.0301056985184687e-07
1848,4.183515400768556e-08,1.126331028444838e-07
1849,7.29009101974043e-08,1.3574652157899436e-07
1850,2.647708452485631e-08,1.031927414629763e-07
1851,2.644269869733762e-08,7.739326690625603e-08
1852,4.231854688896419e-08,1.243514198279172e-07
1853,3.105404622338881e-08,8.121827477225452e-08
1854,3.4291385730966795e-08,7.949366676029967e-08
1855,4.6701046585440054e-08,1.2259025083949382e-07
1856,2.692138334481342e-08,8.490590158727329e-08
1857,3.417056260168749e-08,9.274867185382618e-08
1858,2.5447115470367265e-08,5.823474458210853e-08
1859,4.379269125109886e-08,1.4410850113222295e-07
1860,4.943358467013326e-08,8.833965292609491e-08
1861,4.008569121083383e-08,1.457232778889761e-07
1862,1.581295272501393e-08,1.0481728374145405e-07
1863,3.296449690992631e-08,5.5440291135688824e-08
1864,3.7878351788478426e-08,1.0692243179732941e-07
1865,2.0239431075541603e-08,5.507007877492143e-08
1866,2.578774882522339e-08,8.028261255788038e-08
1867,2.426405742994575e-08,1.3442287638554262e-07
1868,3.1615194018286275e-08,1.0373735714885868e-07
1869,3.2231227464762924e-08,1.098791813092248e-07
1870,2.6376625328339287e-08,1.3130971865393803e-07
1871,1.911811864374613e-08,1.5613129988878427e-07
1872,1.8746751706544273e-08,9.373375664534223e-08
1873,3.771182849332533e-08,1.2810049554445868e-07
1874,5.496640298474631e-08,1.5294999045067925e-07
1875,4.2911454556371353e-08,2.4373705542757307e-07
1876,3.567148709748835e-08,2.0375069453848482e-07
1877,3.4016487737709156e-08,1.9915107429824275e-07
1878,5.193616092746822e-08,1.552045761910037e-07
1879,2.1382637882538802e-08,9.347267848625052e-08
1880,4.7492061838738664e-08,1.9831144948412316e-07
1881,4.6018548971460405e-08,2.0987247451031976e-07
1882,3.1945848633085916e-08,2.7886064102311536e-07
1883,1.2006744043446815e-08,3.6904938749415805e-07
1884,2.1125430293977843e-08,4.482552267148776e-07
1885,3.4161868001092444e-08,4.7053140805886073e-07
1886,2.710454793941608e-08,5.00788804647101e-07
1887,2.2198344495905076e-08,4.602891783278551e-07
1888,2.0924028731883482e-08,6.873226441328484e-07
1889,2.5687061366852504e-08,4.3793306581108027e-07
1890,1.5730527991308918e-08,4.863354794437669e-07
1891,1.784781566982474e-08,4.7105486711274125e-07
1892,2.0686091062316336e-08,6.832678405288561e-07
1893,2.4017824173938607e-08,5.554891804315787e-07
1894,2.7096618282484997e-08,6.238523759805048e-07
1895,4.393588426410133e-08,7.192244126930092e-07
1896,4.2458609073037223e-08,9.653436148227001e-07
1897,2.3889524691789177e-08,9.241167520102067e-07
1898,4.7530182456512193e-08,9.353260903566252e-07
1899,3.592926134388108e-08,7.954185168301819e-07
1900,4.6200374193006155e-08,9.686505264561163e-07
1901,2.8502569193733507e-08,9.389081265798183e-07
1902,4.271947062761683e-08,9.962966078802538e-07
1903,3.618147448314346e-08,9.266778233651962e-07
1904,3.708491380649548e-08,1.0674005608279913e-06
1905,2.5287718585786934e-08,1.013573076580343e-06
1906,3.7552548404207187e-08,1.0771922331898054e-06
1907,2.6228500871194882e-08,1.3499963884555655e-06
1908,2.701263923654551e-08,1.200834658376948e-06
1909,2.640472018811124e-08,1.3103342646481053e-06
1910,3.687464011914443e-08,1.4178031717548834e-06
1911,2.3409645777405785e-08,1.1279192912994063e-06
1912,2.9693701719679666e-08,1.4159206833674887e-06
1913,3.553003186107517e-08,1.6391541168836454e-06
1914,3.0135346662518714e-08,1.857676713790113e-06
1915,1.6493066468115103e-08,1.96385301620694e-06
1916,1.2086208478478966e-08,1.6536131051125835e-06
