year,en_ADP watts_NOUN,en_ADP boîtes_NOUN
1800,0.0,1.5720822865716855e-08
1801,0.0,5.000483582762172e-08
1802,0.0,4.475680270843441e-09
1803,0.0,5.851017803593095e-08
1804,0.0,9.887403784603066e-09
1805,0.0,5.401467717547348e-08
1806,0.0,2.881669125542885e-08
1807,0.0,6.547996633798903e-08
1808,0.0,3.852325747288887e-08
1809,0.0,2.9367397402779716e-08
1810,0.0,5.148278958699848e-08
1811,0.0,8.273353557797236e-08
1812,0.0,2.400487453257938e-08
1813,0.0,3.163315653864629e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,3.7081662185300956e-08
1817,0.0,2.80237220096069e-08
1818,0.0,4.172412215730503e-08
1819,0.0,1.2421260464634543e-08
1820,0.0,2.8479554714522237e-08
1821,0.0,2.2681422962023134e-08
1822,0.0,2.105379337535851e-08
1823,0.0,4.941343334508019e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,7.924898959288385e-09
1826,0.0,3.52319382557198e-08
1827,0.0,3.6869092223668076e-09
1828,0.0,8.255071293206129e-09
1829,0.0,2.743416338546467e-08
1830,0.0,1.3567886369969528e-08
1831,0.0,1.4187997976478073e-07
1832,0.0,3.3824925083081325e-08
1833,0.0,4.170106393530659e-08
1834,0.0,1.4001796166951408e-08
1835,0.0,1.1344631900556124e-08
1836,0.0,2.016225053580456e-08
1837,0.0,7.097048637660919e-08
1838,0.0,2.840472923537618e-08
1839,0.0,2.9364196407755117e-08
1840,0.0,3.6307226003451376e-08
1841,0.0,4.6227949468402585e-08
1842,0.0,1.609983613093391e-08
1843,0.0,2.539971832860033e-08
1844,0.0,2.085653250105679e-08
1845,0.0,3.738752596404993e-08
1846,0.0,3.1614305839866574e-08
1847,0.0,2.8044762956369595e-08
1848,0.0,7.160247150750365e-08
1849,0.0,1.5920887719289567e-08
1850,0.0,4.0055077477063605e-08
1851,0.0,3.0957306051959677e-08
1852,0.0,4.166749079104193e-08
1853,0.0,2.5679307569248522e-08
1854,0.0,4.520228102933288e-08
