year,en_ADP eaux_NOUN,en_ADP beau_NOUN
1800,2.358123420975744e-07,7.200136864504714e-07
1801,2.524053570596152e-07,7.524537197767245e-07
1802,2.5735161557349784e-07,5.728870746679604e-07
1803,1.1331471370112922e-06,5.519460006819799e-07
1804,4.696516728852629e-07,6.673997325901126e-07
1805,5.34461003454112e-07,5.458325231799677e-07
1806,2.7087691023552907e-07,6.137954970952819e-07
1807,3.074711401040986e-07,4.270432705233418e-07
1808,2.5153420679657756e-07,5.098666742142655e-07
1809,2.710836657371374e-07,4.405109450544842e-07
1810,3.1825722945910684e-07,5.499297621724963e-07
1811,3.4096243783920954e-07,8.248282483691582e-07
1812,2.667208347517658e-07,5.041023327656546e-07
1813,2.0992914051554123e-07,5.176334856304976e-07
1814,2.580275122454623e-07,3.9648131178182666e-07
1815,2.5623624266835066e-07,3.776113031150885e-07
1816,2.062667476820934e-07,4.6815597443128354e-07
1817,2.2107602470899934e-07,6.429887442482851e-07
1818,1.9908365556098317e-07,3.838619111462549e-07
1819,3.3226870055358404e-07,3.73672905951139e-07
1820,2.1003671690777992e-07,3.2988818610135695e-07
1821,2.031466594942799e-07,3.4712437813055885e-07
1822,1.5439448475262907e-07,4.932603303586802e-07
1823,1.2649839309375466e-07,4.7140416237212435e-07
1824,1.9621192581809055e-07,5.002141216792211e-07
1825,1.787504968486786e-07,4.878215689174681e-07
1826,2.3164999207736514e-07,3.382266076101814e-07
1827,2.0185828181196186e-07,3.6131709091336006e-07
1828,1.751909479708047e-07,3.146099439854666e-07
1829,2.1518671777798204e-07,6.764235691569809e-07
1830,1.8890672803806297e-07,5.072302173836363e-07
1831,2.7908258548592357e-07,4.5994058495146817e-07
1832,3.368962495642336e-07,5.493167434256208e-07
1833,2.536814502906992e-07,3.0233270165158643e-07
1834,1.7455573142477476e-07,3.612463457258741e-07
1835,2.2008586597621616e-07,4.681551430962827e-07
1836,1.854926970912274e-07,3.393978868504455e-07
1837,1.8507989274496595e-07,2.6927038465629494e-07
1838,2.057764847407384e-07,3.799921559632935e-07
1839,2.551888466095775e-07,3.4817546934462484e-07
1840,1.0828470919932442e-07,2.796293316897902e-07
1841,1.8491180320268086e-07,3.15890983149103e-07
1842,1.677066228111812e-07,2.7839301042220654e-07
1843,2.0615119794564762e-07,2.906200236019174e-07
1844,1.9374621373913214e-07,2.760746335983555e-07
1845,1.696389348992966e-07,2.9072986312828064e-07
1846,2.1603110056389596e-07,3.735171771879209e-07
1847,1.526282265018608e-07,3.0903170689100534e-07
1848,3.07327463255902e-07,3.073274683629279e-07
1849,2.1618890544417013e-07,2.8741392399389554e-07
1850,1.5003680609027015e-07,1.9552309016290792e-07
1851,2.347595637886002e-07,3.360157687648524e-07
1852,2.8841716326333255e-07,3.333399263283354e-07
1853,2.3589130093704114e-07,3.613018861869932e-07
1854,2.202961661978975e-07,3.5538345599661625e-07
1855,1.9529528572093113e-07,3.26907318992653e-07
1856,1.7602443536102186e-07,2.8267454099673017e-07
1857,1.7768692828212806e-07,4.1102306008733436e-07
1858,1.1842696068242731e-07,3.7974925770623e-07
1859,2.1896344959415615e-07,4.1195681577121945e-07
1860,2.2657060874675672e-07,3.858566124392837e-07
1861,2.0090005414807877e-07,3.93311379909278e-07
1862,2.177669320979625e-07,3.8899860843599754e-07
1863,2.062778469147375e-07,3.5012290711122773e-07
1864,2.1624223289773425e-07,3.476177852235196e-07
1865,1.8968582082834473e-07,3.6007360293410784e-07
1866,1.965707678852624e-07,3.3767353002644995e-07
1867,2.406994568104892e-07,4.2947380585189876e-07
1868,2.7317504580626206e-07,4.5496240774767216e-07
1869,1.982708842662717e-07,4.082621993806157e-07
1870,2.339491849134845e-07,4.501228234587984e-07
1871,1.561313054398994e-07,3.802381580708669e-07
1872,2.2677521704927983e-07,3.465125337775987e-07
1873,3.63949070603109e-07,3.567658706238319e-07
