year,un_DET aisé_ADJ,un_DET baiser_NOUN
1800,0.0,1.6443980257463409e-06
1801,3.5717739876872656e-08,1.7144514501410413e-06
1802,2.2378401354217203e-09,1.4120770686076867e-06
1803,5.851017448321727e-09,1.7338515547749012e-06
1804,2.4718509461507665e-09,1.6684993795479386e-06
1805,0.0,1.3389953892328776e-06
1806,2.881669125542885e-09,1.4898229210302816e-06
1807,5.693910232196231e-09,1.170098549607701e-06
1808,0.0,1.7040876656437831e-06
1809,0.0,1.1498465184445195e-06
1810,9.360507036149102e-09,1.8089180073843636e-06
1811,0.0,1.8627580402608146e-06
1812,0.0,1.5709857024148732e-06
1813,8.627225156487839e-09,1.601788056859732e-06
1814,3.1466771410748606e-09,1.1107770045981624e-06
1815,0.0,1.4025562933284164e-06
1816,0.0,1.0012048505814164e-06
1817,1.2454987263765815e-08,1.4447785048332662e-06
1818,8.344824387052086e-09,1.0955562146364173e-06
1819,1.035105001712111e-09,1.0806496320014958e-06
1820,8.306536791735653e-09,1.3456589584848189e-06
1821,2.465372084259343e-08,1.8342368441892631e-06
1822,8.02049271442229e-09,1.3614786951166025e-06
1823,7.906149512848515e-09,1.3213152811886175e-06
1824,1.0105335235266466e-08,1.6033799141723648e-06
1825,6.163809906922779e-09,1.4907615124570839e-06
1826,1.76159691278599e-08,1.0754548469549263e-06
1827,3.6869092223668076e-09,8.12963484975171e-07
1828,1.5592912128159497e-08,1.0126220502115757e-06
1829,1.800366966620004e-08,1.3759947421476681e-06
1830,2.0873671680021744e-09,1.4277591446898441e-06
1831,3.1182412207897414e-09,1.4219179576002716e-06
1832,5.411987746839486e-09,1.907725717842368e-06
1833,1.1583628500844156e-09,2.0479855749044873e-06
1834,0.0,1.753024946538062e-06
1835,4.5378527602224494e-09,1.7266529894754967e-06
1836,0.0,1.7063984145693212e-06
1837,6.957891152126194e-09,1.6184054274503978e-06
1838,5.049729523420865e-09,1.4871452904685611e-06
1839,5.593180363305805e-09,1.320689701600486e-06
1840,8.91756390952736e-09,1.4497411449099218e-06
1841,1.926164561183441e-09,1.5338690886324002e-06
1842,2.0124795163667386e-09,1.79848588288678e-06
1843,3.5441467538532834e-09,1.4909043137834033e-06
1844,1.097712254427563e-09,1.2508430664581738e-06
1845,0.0,1.5390269112458554e-06
1846,6.439951460990301e-09,1.4472327336534363e-06
1847,2.1572894581822766e-09,1.0047575429439348e-06
1848,8.045221711050488e-10,1.1303536737727882e-06
1849,0.0,9.820674193861123e-07
1850,6.788996032014438e-10,1.0896339013299894e-06
1851,5.804494884742439e-09,1.1409057236733133e-06
1852,0.0,1.2747648163724534e-06
1853,2.388772735173461e-09,1.318005406147904e-06
1854,7.273930180407007e-09,1.2365680888137831e-06
1855,2.653468555990912e-09,1.7953368285361648e-06
1856,1.0354378465748937e-09,1.3848981694764007e-06
1857,1.464452725752352e-09,1.6636183488571987e-06
1858,4.893676019968041e-10,1.8811290303233363e-06
1859,5.092173349652285e-10,1.8942885020578615e-06
1860,4.577184048448757e-09,2.114658933294322e-06
1861,2.3579818653196583e-09,1.7684864275224754e-06
1862,1.671654992208005e-08,1.7873153836944766e-06
1863,1.4983862484108101e-09,1.7356307893123812e-06
1864,2.397363974004918e-09,1.680072699627999e-06
1865,9.41368871743009e-10,1.7848354261218446e-06
1866,1.4596838737723772e-09,2.0051189935088587e-06
1867,0.0,2.1167962813706254e-06
1868,7.903798504571569e-09,1.511107477369933e-06
1869,1.4650557433881772e-09,1.9621980129613803e-06
1870,1.1468097582678638e-09,1.7936105152216442e-06
1871,1.0621177271019633e-09,1.424299846064514e-06
1872,1.2094678591978436e-09,1.605568538565194e-06
1873,1.7958012854535355e-09,1.3282943953640824e-06
1874,1.1949218281515073e-09,1.4667665269030294e-06
1875,2.2886108008712824e-09,1.7181745732841591e-06
1876,0.0,1.8053399699624606e-06
1877,2.4739263970730008e-09,2.0032619119092487e-06
1878,1.8117266020745149e-09,1.4656868430051873e-06
1879,0.0,2.064340961283051e-06
1880,1.1552122813895949e-08,1.904174965261518e-06
1881,0.0,1.5953097118881487e-06
1882,0.0,1.9500278227724266e-06
1883,5.0554711528150165e-09,1.9924875971355505e-06
1884,9.902545450302114e-09,1.9323167137486053e-06
1885,1.2891271383708158e-09,1.8750354513485945e-06
1886,3.872078380151578e-09,1.7321097089961768e-06
1887,6.528924623161458e-10,1.9390905947602732e-06
1888,0.0,2.193852708387567e-06
1889,2.5060546970934183e-09,1.8594925492720904e-06
1890,0.0,1.8732436402046915e-06
1891,6.3742202627281586e-09,1.8650967632538595e-06
1892,6.268512375839919e-10,1.7539297445523516e-06
1893,0.0,1.765002146214556e-06
1894,6.301539290376468e-10,1.8205147398475674e-06
1895,6.018614495673091e-10,1.948827339504078e-06
1896,2.948514543632541e-09,1.7761851793807182e-06
1897,2.330685422435863e-09,1.6093382981807736e-06
1898,1.6975064687230201e-09,1.6454496005735564e-06
1899,1.6582735185011188e-09,1.8882207371007098e-06
1900,1.038210628578895e-09,1.7384837036615863e-06
1901,1.1177477832191585e-09,1.782807707684242e-06
1902,4.910283846193408e-10,1.6640951585600305e-06
1903,1.6200660812870638e-09,1.7178100506498595e-06
1904,8.599400302955473e-09,1.7526652413835109e-06
1905,5.160759042333041e-10,1.575579695156648e-06
1906,4.115347618238729e-09,1.875055232858358e-06
1907,9.257118072092396e-09,1.744966724004371e-06
1908,3.929111258571538e-09,1.9036544642858644e-06
1909,2.2003934230241384e-09,1.947898233822798e-06
1910,4.809735720812114e-09,2.323636650203298e-06
1911,2.6601871816467337e-09,1.852554277093077e-06
