year,son_DET art_NOUN,son_DET bar_NOUN
1800,9.429349617562366e-06,6.288328968651058e-09
1801,7.50072515387501e-06,4.7623651688866175e-09
1802,7.210320831063655e-06,2.2378401354217203e-09
1803,8.257735927941212e-06,3.900678446910888e-09
1804,1.0690754919551182e-05,9.887403562558461e-09
1805,8.852721435914646e-06,0.0
1806,1.11376510858463e-05,0.0
1807,9.856158271759341e-06,5.693910232196231e-09
1808,1.0473793537357778e-05,1.1330369531492579e-08
1809,6.71383854466967e-06,9.036122072814123e-09
1810,1.107114007936616e-05,2.3401267590372754e-09
1811,1.0111040367632995e-05,0.0
1812,1.167170358939984e-05,0.0
1813,1.2216150807375925e-05,2.5881675469463516e-08
1814,8.367014821430985e-06,0.0
1815,6.446364160694884e-06,2.697223555614414e-09
1816,6.21117844445962e-06,2.3176038865813098e-09
1817,7.809276809211951e-06,1.0898113522728181e-08
1818,6.792686932044489e-06,7.152706427149269e-09
1819,6.90000979375327e-06,3.1053151161586356e-09
1820,7.226686776107272e-06,2.1359666924070098e-08
1821,8.19785518046956e-06,9.86148829262845e-10
1822,9.42808900106229e-06,7.017931125119503e-09
1823,9.079224390973195e-06,9.882686891060644e-10
1824,7.807213421529013e-06,8.421112696055388e-10
1825,8.221642104899729e-06,1.7610886082763955e-09
1826,5.538460349896468e-06,9.688783109140786e-09
1827,6.381118240028627e-06,1.0139000194975267e-08
1828,5.922554905168909e-06,2.7516904310687096e-09
1829,7.336066886409753e-06,1.714635211591542e-09
1830,6.041884375918016e-06,1.0436835840010872e-09
1831,5.023486412625289e-06,1.5591206103948707e-09
1832,6.815045551888943e-06,0.0
1833,5.871741173280043e-06,1.1583628500844156e-09
1834,6.677923273912256e-06,5.600718555598405e-09
1835,5.631475460177171e-06,1.5126175867408165e-09
1836,5.702556514108892e-06,1.3441500135158435e-09
1837,5.507170861562827e-06,6.957890930081589e-10
1838,5.211321052911444e-06,2.5248647617104325e-09
1839,5.649112125638567e-06,1.3982950353153e-09
1840,5.762020578004012e-06,1.9109065441114126e-09
1841,6.236920846447447e-06,7.704658244733764e-09
1842,6.659965528399425e-06,2.683306021822318e-09
1843,6.385370959094416e-06,1.1813822142769936e-09
1844,5.765184795336609e-06,2.7442805805577564e-09
1845,6.1577816836688726e-06,3.9061593959388574e-09
1846,5.876748318200953e-06,1.7563503984519002e-09
1847,6.598069873575696e-06,1.6179670936367074e-09
1848,5.613955785577218e-06,1.6090443422100975e-09
1849,5.803582666885632e-06,8.379414939696517e-10
1850,6.237050776292108e-06,1.3577992064028876e-09
1851,6.2759488415053966e-06,0.0
1852,7.018367981004303e-06,6.510545436100301e-10
1853,6.4514780149238504e-06,5.971931837933653e-09
1854,7.134686221377251e-06,1.0391328908454511e-09
1855,7.226456276043791e-06,7.960405667972736e-09
1856,6.2949444412652156e-06,3.1063135952358323e-09
1857,5.937867442185052e-06,2.928905451504704e-09
1858,5.853325752980254e-06,2.446837954472869e-09
1859,6.4568756812377615e-06,1.018434669930457e-09
1860,5.873442340487145e-06,4.119465518703791e-09
1861,6.493881883784525e-06,2.8295783494058924e-09
1862,6.149883049033633e-06,1.8071945051545413e-09
1863,5.916128564820156e-06,2.9967726078439227e-09
1864,5.62517487878722e-06,3.3563096746291876e-09
1865,5.3799230030904255e-06,9.41368871743009e-10
1866,5.481112914651476e-06,4.865612801552288e-09
1867,5.431266757227604e-06,1.455843445796745e-09
1868,5.46893436847995e-06,4.44588676984381e-09
1869,5.303990327831798e-06,1.953407657850903e-09
1870,6.145180030614483e-06,1.1468097582678638e-09
1871,3.7970707928991487e-06,4.248470908407853e-09
1872,4.80158755777893e-06,6.652073114565837e-09
1873,4.779824685385847e-06,5.986004469882289e-10
1874,4.348320700842123e-06,1.1949218281515073e-09
1875,4.67391539871187e-06,1.716458086775674e-09
1876,5.509128506275829e-06,1.813804439976252e-09
1877,4.843329499237825e-06,5.566334393414252e-09
1878,5.6568143733670695e-06,2.4156354694326865e-09
1879,4.589325207859929e-06,3.665595160740054e-09
1880,6.126475867063164e-06,1.2835692508872398e-09
1881,4.803360489802344e-06,6.2752569807145164e-09
1882,5.152599115376688e-06,1.0648616433073244e-08
1883,5.379021359885883e-06,4.423537203201988e-09
1884,4.862809916517108e-06,3.300848483434038e-09
1885,5.103654487470521e-06,7.734762663691441e-09
1886,5.762943146692123e-06,2.5813855497602844e-09
1887,5.4046438009436315e-06,9.79338704576449e-09
1888,5.2012063491702065e-06,6.974675947901687e-09
1889,5.148689368184023e-06,6.265136853755848e-09
1890,4.943973564763837e-06,1.9663159989136147e-09
1891,5.016511224198439e-06,1.2748440081367107e-09
1892,4.984093976645454e-06,1.8805537127519756e-09
1893,5.550580709723363e-06,5.542574843531156e-09
1894,5.77536093260278e-06,6.9316932194141145e-09
1895,5.7200912664256975e-06,1.023164442059965e-08
1896,5.602177495234173e-06,8.255840677762194e-09
1897,5.206168452787097e-06,1.1653427112179315e-09
1898,5.8677140941654216e-06,8.487532454637403e-09
1899,5.90621749552156e-06,4.9748205555033564e-09
1900,6.22199631550302e-06,1.038210628578895e-08
1901,5.706661198701113e-06,6.147612696683069e-09
1902,5.162672437108995e-06,3.928227076954727e-09
1903,5.648090365184544e-06,7.020286574288548e-09
1904,6.030867027106979e-06,5.912087708281888e-09
1905,6.53403679962139e-06,2.5803795211665204e-09
1906,6.418399237873018e-06,8.230695236477459e-09
1907,6.826096026202322e-06,1.1828539925318182e-08
1908,6.951089034146207e-06,5.40252820258047e-09
1909,7.355915329299023e-06,4.9508852018043115e-09
1910,6.9794606361028855e-06,1.389479176161501e-08
1911,7.4325628531823895e-06,1.0108710646328234e-08
1912,7.536990807466282e-06,5.209421061191932e-09
1913,7.332974163887229e-06,6.893886850267705e-09
1914,6.850768940580565e-06,5.357394972094198e-09
1915,4.376552823259772e-06,1.7671142660269368e-08
1916,5.303648109133974e-06,2.307366964160451e-08
1917,5.495275189559834e-06,0.0
1918,5.79257947208589e-06,4.594550517822427e-09
1919,7.130557889922784e-06,2.025726608678724e-08
1920,8.392304465587586e-06,6.057785384427916e-09
1921,9.091083214229911e-06,1.287367079605417e-08
1922,9.215779229521104e-06,8.853522359686394e-09
1923,8.709323395805768e-06,1.2739138188777588e-08
1924,8.616761817847873e-06,1.9337436318878076e-08
1925,8.266230466347224e-06,1.8696902248649394e-08
1926,7.890351270134488e-06,1.114613823460786e-08
1927,7.76320550244236e-06,1.7838760246746688e-08
1928,7.903392628350048e-06,2.8565103837863148e-08
1929,8.18597044371927e-06,2.7851015049762395e-08
1930,7.902911249857425e-06,1.6805765667982087e-08
1931,6.902521903384695e-06,2.167017765231094e-08
1932,6.696276670936641e-06,2.520693354046699e-08
1933,6.726396321710126e-06,2.294132506186486e-08
1934,5.969223280999358e-06,3.2350264689284813e-08
1935,7.822470308838092e-06,3.710167995052416e-08
1936,6.902599906766227e-06,2.667437204451062e-08
1937,6.242676235501676e-06,1.6368453703563546e-08
1938,6.9623200715795974e-06,1.8151300906765755e-08
1939,6.720205846022509e-06,3.058810094103137e-08
1940,6.169559952695636e-06,2.5357829391836617e-08
1941,7.198714939704587e-06,1.7709015143196893e-08
1942,8.46545077592964e-06,1.8205270180260413e-08
1943,8.192929840333818e-06,2.6129116648121453e-08
1944,8.26752776106332e-06,2.2492303131116387e-08
1945,7.20649140362184e-06,3.921307367704685e-08
1946,8.198138345960615e-06,5.150808579656996e-08
1947,8.008440943285677e-06,3.218635202806297e-08
1948,7.779923038242487e-06,3.044128593643336e-08
1949,6.813003778916027e-06,5.301184591299801e-08
1950,6.765153372612076e-06,5.636741584602589e-08
1951,7.186850893958763e-06,1.0554788065775256e-07
1952,6.238306070827093e-06,6.537778207693634e-08
1953,7.064398744205391e-06,7.110725974701637e-08
1954,7.362628934970417e-06,9.186183591580743e-08
1955,7.370517749905048e-06,6.194501178669043e-08
1956,6.643765573244309e-06,6.802490259971705e-08
1957,7.0865835368749686e-06,5.831124916255703e-08
1958,6.428360336485639e-06,9.59580262471782e-08
1959,6.0510089667786815e-06,6.278105857404626e-08
1960,6.669607017784074e-06,6.644000172251197e-08
1961,6.408287276826741e-06,8.337790813328638e-08
1962,5.8789936900893736e-06,5.454082618872036e-08
1963,6.4770455026064155e-06,5.560805904636368e-08
1964,6.02860433218666e-06,5.110533207730583e-08
1965,6.175201150426801e-06,4.3776345937107664e-08
1966,5.8874826436294825e-06,4.8743859282218693e-08
1967,5.969650260340131e-06,5.5712793434192776e-08
1968,7.761166784803208e-06,5.3447847758736344e-08
1969,5.260718040744905e-06,1.0400625380380113e-07
1970,6.050082475894669e-06,5.242546657902025e-08
