year,en_ADP urne_NOUN
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,2.2378401354217203e-08
1803,2.925508790774245e-08
1804,1.4831105232815389e-08
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,2.3401267590372754e-09
1811,5.0141535368197765e-09
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,4.670620334934483e-09
1818,1.7881765401739358e-08
1819,0.0
1820,9.493184904840746e-09
1821,8.875339574387908e-09
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,7.924898959288385e-09
1826,0.0
1827,8.295545916858771e-09
1828,0.0
1829,1.628903412154159e-08
1830,0.0
1831,0.0
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,3.733812370398937e-09
1835,6.806779140333674e-09
1836,0.0
1837,7.653680356156656e-09
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,0.0
1841,0.0
1842,0.0
1843,5.31621990873532e-09
1844,3.2931368743049916e-09
1845,0.0
1846,0.0
1847,1.0786447290911383e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,2.7155984128057753e-09
1851,6.449438760824933e-09
1852,1.1067927019325907e-08
1853,7.763511611358354e-09
1854,6.234797567117312e-09
1855,6.368324534378189e-09
1856,0.0
1857,0.0
1858,1.2234189661342043e-08
1859,5.092173349652285e-10
1860,4.577183909670879e-10
1861,4.715963730639317e-10
1862,9.035972525772706e-10
1863,4.994620828036034e-10
1864,0.0
1865,1.8827377989971694e-09
1866,0.0
1867,4.85281148598915e-10
1868,1.4819622196071691e-09
1869,1.4650557433881772e-09
1870,3.4404292748035914e-09
1871,0.0
1872,0.0
1873,1.0774807712721213e-08
1874,1.1949218281515073e-09
1875,2.8607636259891933e-09
1876,1.3905833595728723e-08
1877,2.4739263970730008e-09
1878,6.039088673581716e-10
1879,3.0546627449723474e-09
1880,2.5671385017744797e-09
1881,2.0917522713936876e-09
1882,3.3276925659464496e-09
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,1.9336907075562237e-09
1886,0.0
