year,certain_ADJ honneur_NOUN,certain_ADJ bonheur_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,4.7623651688866175e-09,9.524730337773235e-09
1802,2.2378401354217203e-09,0.0
1803,4.290746247193056e-08,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,2.259030518203531e-09
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,0.0,2.5881675469463516e-08
1814,3.1466771410748606e-09,2.8320094713762956e-08
1815,5.394447111228828e-09,8.091670444798638e-09
1816,1.3905623319487859e-08,1.1588019432906549e-08
1817,1.2454987263765815e-08,1.2454987263765815e-08
1818,3.5763532135746345e-09,9.536941902865692e-09
1819,3.1053151161586356e-09,3.1053151161586356e-09
1820,1.3053129244156025e-08,1.542642635854463e-08
1821,2.859831660373402e-08,4.930744257336528e-09
1822,1.804610860745015e-08,0.0
1823,8.894418535021487e-09,5.929612356680991e-09
1824,5.052667617633233e-09,1.6842225392110777e-09
1825,1.4969252504215547e-08,1.1447076175841175e-08
1826,1.0569580766173203e-08,4.403992281964975e-09
1827,1.8434546333878643e-08,1.8434546111834038e-09
1828,1.1923991571904935e-08,2.7516904310687096e-09
1829,1.1145129263923081e-08,1.2002446148073886e-08
1830,6.262101504006523e-09,1.3567886369969528e-08
1831,1.5591206103948707e-09,0.0
1832,6.764984572527055e-09,1.7588959622116818e-08
1833,1.2741991461950875e-08,2.3167256557599103e-08
1834,3.827157613045529e-08,1.6802156110884425e-08
1835,2.4958190181223472e-08,1.2100940693926532e-08
1836,2.688300027031687e-09,2.2850549896702432e-08
1837,6.957891152126194e-09,1.461157062010443e-08
1838,2.2723781967215473e-08,2.651107955387033e-08
1839,6.292327547896548e-09,2.027527834513876e-08
1840,2.1019973317493168e-08,1.7835128929277744e-08
1841,1.0272877659645019e-08,1.3483152372373297e-08
1842,6.708265054555795e-10,1.408735705865638e-08
1843,3.0125246297529884e-08,2.0674189471492355e-08
1844,1.5916826967554698e-08,3.841993034825464e-08
1845,1.785672942844485e-08,3.236532108985557e-08
1846,9.952652035849496e-09,3.8639708321852595e-08
1847,5.3932236454556914e-09,2.2651539310913904e-08
1848,1.287235473768078e-08,2.494018680465615e-08
1849,1.9272654583346593e-08,1.75967720394965e-08
1850,6.1100964288129944e-09,3.190828223864628e-08
1851,3.224719336003545e-08,2.257303499675345e-08
1852,7.161600201754936e-09,4.036538214791108e-08
1853,8.360704129017904e-09,4.060913738612726e-08
1854,1.6626126253527218e-08,2.6497888327980945e-08
1855,2.0166361025530932e-08,2.9188154115900034e-08
1856,1.9155599773057475e-08,4.711242240773572e-08
1857,1.4156376515472857e-08,2.636014961865385e-08
1858,1.761723389392955e-08,4.208561321661364e-08
1859,1.2730433596175317e-08,4.226503946824778e-08
1860,2.654766717569146e-08,1.6935580049448618e-08
1861,7.545541969022906e-09,3.7256114637784776e-08
1862,1.1294965851504912e-08,2.981871105589562e-08
1863,2.097740825490746e-08,2.597202808374277e-08
1864,1.1986819536957682e-08,3.2604148714199255e-08
1865,2.6358328852893465e-08,4.1890913848874334e-08
1866,1.0217787504984699e-08,1.6056523222118813e-08
1867,1.2132028714972876e-08,4.270474107670452e-08
1868,1.8277534152844055e-08,3.112120694481746e-08
1869,1.5138908793232986e-08,2.0999133099053324e-08
1870,1.204150201772336e-08,4.587239033071455e-08
1871,2.442870794538976e-08,3.823623728749226e-08
1872,9.675742873582749e-09,2.0560953828407946e-08
1873,5.9860045809045914e-09,3.4718826924518e-08
1874,2.0313670745508716e-08,2.6885741633009275e-08
1875,1.3159512590732447e-08,5.378235456987568e-08
1876,1.6928840551599933e-08,1.6928840551599933e-08
1877,1.608052180301911e-08,1.793596560162314e-08
1878,1.268208649207736e-08,2.536417298415472e-08
1879,2.443730107160036e-09,2.6270098985037293e-08
1880,5.776061406947974e-09,2.1178893305773272e-08
1881,1.2550513517339823e-08,2.7890029841159958e-08
1882,5.324308105514319e-09,2.3959387362992857e-08
1883,0.0,1.8958017378167824e-08
1884,8.582206056928499e-09,2.3105940272216685e-08
1885,6.445635691854079e-10,9.023890079618013e-09
1886,7.098810428374236e-09,1.2906927970846027e-08
1887,1.9586774424595887e-09,1.0446279397058333e-08
1888,5.07249175996094e-09,1.2047167707862627e-08
1889,4.385595886446936e-09,1.8795409673089125e-08
1890,6.554386366985909e-09,5.898947996740844e-09
1891,3.1871101313640793e-09,2.039750413018737e-08
1892,2.5074049503359674e-09,2.0686091062316336e-08
1893,2.463366621796581e-09,1.6011883374744684e-08
1894,7.561847148451761e-09,5.041231432301174e-09
1895,4.814891596538473e-09,7.22233739480771e-09
1896,2.948514543632541e-09,2.299841384001411e-08
1897,9.322741689743452e-09,1.6897470089816125e-08
1898,2.8291773368493978e-09,2.772593887812036e-08
1899,4.9748205555033564e-09,1.4371703827009696e-08
1900,7.26747462209687e-09,2.1283318218934255e-08
1901,1.1177477832191585e-09,1.8442838367604963e-08
1902,2.9461704187383475e-09,1.178468167495339e-08
1903,2.7001101354784396e-09,3.7801539676252105e-09
1904,5.374625189347171e-09,1.4511488011237361e-08
1905,7.2250627702885595e-09,1.7546581076999246e-08
1906,2.572092316910357e-09,1.6975809202790515e-08
1907,1.5428529565042481e-09,1.0285686968813934e-08
1908,4.911389073214423e-09,2.0136695866312948e-08
1909,6.60118004702781e-09,1.5952851484257735e-08
1910,3.206490406526541e-09,2.51175080734356e-08
1911,4.25629931299909e-09,1.1704822888702893e-08
1912,1.5628263128064646e-08,3.2819354345292595e-08
1913,7.954484182448596e-09,2.0151361468379037e-08
1914,1.2054139020278853e-08,1.7411533548283842e-08
1915,1.5314990164938536e-08,1.5314990164938536e-08
1916,2.7468654906215306e-08,7.69122365795738e-09
1917,0.0,4.0575770299255964e-08
1918,9.189101035644853e-09,1.9526840588923733e-08
1919,1.3811772170413406e-08,2.762354434082681e-08
1920,4.543339038320937e-09,2.0445025228355007e-08
1921,8.330022005509363e-09,3.0290991048786964e-08
1922,8.115729421831475e-09,1.8444838545406128e-08
1923,3.1847844361720945e-09,1.9108707505210987e-08
1924,2.578324886925998e-09,5.801231139912488e-08
1925,8.798542339150117e-09,2.859526304632709e-08
1926,8.916910765321973e-09,3.566764306128789e-08
1927,7.804457524684949e-09,6.020581366783517e-08
1928,5.713020723163709e-09,2.170947865920425e-08
1929,2.2280812750352652e-09,3.119313873867213e-08
1930,7.352522590764465e-09,2.7309368988426286e-08
1931,0.0,2.3951248095954725e-08
1932,1.6439305028370654e-08,3.3974561830518724e-08
1933,3.4411986593596566e-09,1.4911860191091364e-08
1934,7.188948103475923e-09,3.9539216345474415e-08
1935,3.590485242455088e-09,2.752705441366743e-08
1936,3.6374143697059935e-09,3.031178508194898e-08
1937,0.0,3.903246792447135e-08
1938,3.8895642262559704e-09,3.630260181353151e-08
