year,en_ADP heures_NOUN,en_ADP beurre_NOUN
1800,1.9808235851570544e-07,3.301372828445892e-07
1801,1.476333271188679e-07,2.2621235018505104e-07
1802,2.103569727296417e-07,3.737193026154273e-07
1803,2.0868629979631237e-07,5.773003977083135e-07
1804,2.175228814849106e-07,3.633620906384749e-07
1805,1.9331568523739406e-07,1.705726617728942e-07
1806,1.8442682403474464e-07,9.509508203109363e-08
1807,1.1387820553210304e-07,1.4234775846944103e-07
1808,1.155697759713803e-07,7.931259204951857e-08
1809,5.873479480555943e-08,2.439753075123008e-07
1810,2.0827128199840672e-07,2.0359102848033217e-07
1811,2.2312983105621242e-07,1.579458341893769e-07
1812,1.5469807124190993e-07,5.3344166417446104e-08
1813,1.4378707646756084e-07,1.782959770935122e-07
1814,4.1536137018738373e-07,5.97868634599763e-08
1815,8.361393355471591e-08,1.4834729711310501e-07
1816,1.9236112791531923e-07,2.062667476820934e-07
1817,5.231094523105995e-07,1.292204956371279e-07
1818,1.0371424252753059e-07,1.263644833215949e-07
1819,4.326738860527257e-07,1.0144029261027754e-07
1820,7.238553223487543e-08,9.611849804969097e-08
1821,1.3214393845828454e-07,9.072569184809254e-08
1822,1.0927921323400369e-07,1.3434325296657335e-07
1823,7.3131884548161e-08,1.2155705064742506e-07
1824,8.168479315173727e-08,5.052667617633233e-08
1825,9.68598712347557e-08,1.012625929774913e-07
1826,1.5502052974625258e-07,7.839106075380187e-08
1827,1.7051955286673248e-07,9.309445658800541e-08
1828,1.1832268853595451e-07,1.0639869429951432e-07
1829,8.315980437600956e-08,1.6374765721138829e-07
1830,7.305784777145163e-08,9.497520636614354e-08
1831,1.3096612860863388e-07,1.7929886553247343e-07
1832,1.2582871633526338e-07,9.8768779821512e-08
1833,5.79181431703546e-08,1.436369956309136e-07
1834,2.202949307417157e-07,1.1761508744712046e-07
1835,1.0815215745196838e-07,9.529490796467144e-08
1836,1.1492482449027008e-07,1.6129800428643648e-07
1837,9.253994626146067e-08,1.509862386228633e-07
1838,8.710783561127755e-08,8.205810786421353e-08
1839,9.997809213846409e-08,1.573081931383058e-07
1840,9.363442643461894e-08,1.3248951802324882e-07
1841,7.126809142832258e-08,1.6308193551139993e-07
1842,1.0934472127743788e-07,1.5160678401571204e-07
1843,1.1991029680302745e-07,1.506262350403631e-07
1844,1.1745520822614708e-07,1.4599572750739753e-07
1845,9.542189938205325e-08,1.0881444723054301e-07
1846,8.898842196458645e-08,1.5924243257359194e-07
1847,8.521293093366467e-08,1.1541498423639496e-07
1848,9.654265958891628e-08,8.68883915927654e-08
1849,8.044238342108656e-08,1.5753299464904558e-07
1850,1.289909228319175e-07,1.4867900688386726e-07
1851,1.096404611544699e-07,2.0638204034639784e-07
1852,1.2239824798143673e-07,1.3802356590986165e-07
1853,1.1824425172335395e-07,1.4153478389289376e-07
1854,1.4703729789289355e-07,1.2209811472985166e-07
1855,1.1038429192922194e-07,1.4063382991480466e-07
1856,8.542362195385067e-08,2.2831405033230112e-07
1857,1.0983395526409367e-07,2.494451223356009e-07
1858,9.787351729073634e-08,1.3212925864536373e-07
1859,4.4811123700583266e-08,1.980855444116969e-07
1860,7.506581312100025e-08,2.128390548250536e-07
1861,8.913171711810719e-08,1.735474626229916e-07
1862,6.912519268098549e-08,1.0572087916216333e-07
1863,1.1887197359783386e-07,1.418472379555169e-07
1864,9.685350477184329e-08,1.7165126564577804e-07
1865,8.236977322439998e-08,1.299088978612417e-07
1866,5.7900795269461014e-08,1.60078670319308e-07
1867,1.1112937947643786e-07,1.567458127738064e-07
1868,1.8672723844925798e-07,2.252582618211818e-07
1869,1.1915786757299429e-07,1.0597236865805826e-07
1870,5.447346396181274e-08,1.0206606759766146e-07
1871,1.2426777296070668e-07,7.116188527334089e-08
1872,1.106663096717142e-07,1.8565332027264958e-07
1873,1.0954387902328833e-07,1.436641099417102e-07
1874,9.200898282157866e-08,2.2882753114572552e-07
