year,mon_DET are_NOUN,mon_DET bar_NOUN
1800,0.0,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,2.1337665856435706e-08
1813,0.0,0.0
1814,3.1466771410748606e-09,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,0.0,0.0
1823,1.9765373782121287e-09,0.0
1824,0.0,6.736890156844311e-09
1825,8.805443041381977e-10,8.805443041381977e-10
1826,8.807984341885344e-10,8.807984341885344e-10
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,1.714635211591542e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,5.791814139399776e-09,0.0
1834,4.667265685043276e-09,7.467624740797874e-09
1835,2.2689263801112247e-09,0.0
1836,1.3441500135158435e-09,0.0
1837,0.0,0.0
1838,3.1560809521380406e-09,0.0
1839,2.7965900706306e-09,0.0
1840,1.2739377330817092e-09,6.369688665408546e-10
1841,0.0,0.0
1842,6.708265054555795e-10,6.708265054555795e-10
1843,1.1813822142769936e-09,0.0
1844,1.097712254427563e-09,0.0
1845,5.580227946389016e-10,5.580227946389016e-10
1846,1.7563503984519002e-09,0.0
1847,5.393223645455691e-10,5.393223645455691e-10
1848,8.045221711050488e-10,0.0
1849,8.379414939696517e-10,0.0
1850,0.0,0.0
1851,3.2247193804124663e-09,0.0
1852,6.510545436100301e-10,6.510545436100301e-10
1853,5.971931837933653e-10,0.0
1854,1.0391328908454511e-09,0.0
1855,5.306937111981824e-10,0.0
1856,1.5531567143511893e-09,0.0
1857,9.763018171682347e-10,0.0
1858,9.787352039936081e-10,1.4681028059904122e-09
1859,1.5276520048956854e-09,5.092173349652285e-10
1860,1.373155145145688e-09,0.0
1861,4.715963730639317e-10,1.4147891747029462e-09
1862,9.035972525772706e-10,4.517986262886353e-10
1863,0.0,0.0
1864,9.589455896019672e-10,2.397363974004918e-09
1865,4.706844358715045e-10,0.0
1866,9.731225825149181e-10,2.432806400776144e-09
1867,9.7056229719783e-10,0.0
1868,1.4819622196071691e-09,0.0
