year,en_ADP iles_NOUN,en_ADP bile_NOUN
1800,3.144164484325529e-08,4.4018303668735825e-08
1801,7.143547975374531e-09,8.096020565062645e-08
1802,8.951360541686881e-09,8.056224487518193e-08
1803,9.751695895232615e-09,5.460949736857401e-08
1804,1.9774807569206132e-08,7.415552971679062e-08
1805,2.2743021688143017e-08,2.55858996212055e-08
1806,8.645007376628655e-09,3.458002950651462e-08
1807,8.540865792383556e-09,2.562259560079383e-08
1808,2.4926814390369145e-08,4.5321479902327155e-09
1809,2.25903047379461e-08,2.259030518203531e-09
1810,1.8721014072298203e-08,5.3822915901946544e-08
1811,7.521230305229665e-09,1.178326058948187e-07
1812,8.00162469616339e-09,2.6672083208723052e-08
1813,8.627224934443234e-09,8.339650747757332e-08
1814,3.1466771410748606e-09,3.776012391654149e-08
1815,0.0,1.0788894400093341e-07
1816,2.3176038865813098e-09,5.3304887615013286e-08
1817,2.3353101674672416e-08,3.580808893843823e-08
1818,2.0266001987678806e-08,6.079800130009971e-08
1819,8.280840235741493e-09,5.072014630513877e-08
1820,3.5599443393152796e-09,9.493184904840746e-09
1821,3.94459531705138e-09,2.5639868894700157e-08
1822,1.4035862250239006e-08,7.017931125119503e-09
1823,6.917880712720148e-09,2.4706716672540097e-08
1824,1.6000114122505238e-08,1.8526447931321854e-08
1825,2.641632912414593e-09,1.2327619813845558e-08
1826,8.807984452907647e-09,3.435113882233054e-08
1827,5.530363889061363e-09,1.6591091167583727e-08
1828,2.7516904310687096e-09,1.6510142586412258e-08
1829,2.5719527840806222e-08,1.8860987438529264e-08
1830,9.39315203396518e-09,6.262101504006523e-09
1831,4.677361609140007e-09,1.2472964883158966e-08
1832,8.117981509236927e-09,1.2176972319366541e-08
1833,1.3900354645102198e-08,1.6217079235048004e-08
1834,6.534171870242744e-09,5.600718555598405e-09
1835,1.1344631900556124e-08,4.235329242874286e-08
1836,1.0753199664037538e-08,2.755507466645213e-08
1837,6.262101726051128e-09,6.262101948095733e-09
1838,1.3255539776935166e-08,2.019891809368346e-08
1839,1.1885507911202353e-08,9.088918062616358e-09
1840,1.4013315285943406e-08,1.2102408852854296e-08
1841,7.704658244733764e-09,5.521671653241356e-08
1842,4.695785538189057e-09,4.22620693996123e-08
1843,4.13483786099178e-09,5.31621990873532e-09
