year,ancien_ADJ office_NOUN,ancien beau - fils
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,1.1189200677108602e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-09,0.0
1807,3.9857372513552036e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,3.162642769893864e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,8.091670444798638e-09,0.0
1816,1.622322720606917e-08,0.0
1817,6.227493631882908e-09,0.0
1818,4.530047559292427e-08,0.0
1819,1.449147024601416e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,9.861488514673056e-09,0.0
1822,2.2056354964661296e-08,0.0
1823,4.941343334508019e-09,0.0
1824,5.052667617633233e-09,0.0
1825,6.163809906922779e-09,0.0
1826,2.1139161532346407e-08,0.0
1827,1.8434546111834038e-09,0.0
1828,2.659967357487858e-08,0.0
1829,6.001223074036943e-09,0.0
1830,2.0873670791843324e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,6.764984683549358e-09,0.0
1833,3.4750886612755494e-09,2.534755960681423e-09
1834,8.401078055442213e-09,0.0
1835,2.647080776796429e-08,0.0
1836,1.2097349955109138e-08,0.0
1837,1.87863058442872e-08,0.0
1838,1.2624323808552163e-08,0.0
1839,2.23727205650448e-08,0.0
1840,4.8409633635060345e-08,0.0
1841,2.5040138851295524e-08,0.0
1842,1.0062397137744483e-08,0.0
1843,1.2995204468069232e-08,0.0
1844,4.335963410539989e-08,0.0
1845,1.7298706134205588e-08,0.0
1846,3.2199756860862294e-08,0.0
1847,4.422443300455825e-08,0.0
1848,6.114368433784989e-08,0.0
1849,4.0221190600320256e-08,0.0
1850,2.308258650884909e-08,0.0
1851,3.740674392460619e-08,0.0
1852,7.487126918448439e-08,0.0
1853,2.269334054005867e-08,0.0
1854,2.2341356875621443e-08,0.0
1855,5.519214596461097e-08,0.0
1856,3.6240324075009767e-08,0.0
1857,1.6108979983275873e-08,0.0
1858,2.300027723833864e-08,0.0
1859,4.837564526738447e-08,0.0
1860,2.6089948423901888e-08,0.0
1861,3.489813205082015e-08,0.0
1862,1.3102160273392727e-08,0.0
1863,3.2465035104678464e-08,0.0
1864,4.267307884830984e-08,0.0
1865,3.624270283886233e-08,0.0
1866,1.459683868221262e-08,0.0
1867,2.2808213984149006e-08,0.0
1868,1.8771521337335173e-08,0.0
1869,3.95565057376146e-08,0.0
1870,2.064257564882155e-08,0.0
1871,5.310588635509816e-09,0.0
1872,6.047339295989218e-09,0.0
1873,1.795801407578068e-08,0.0
1874,1.6131444180444987e-08,0.0
1875,3.375701151941968e-08,0.0
1876,2.3579457497646672e-08,0.0
1877,1.4225077116236662e-08,0.0
1878,4.529316466328481e-08,0.0
1879,1.710611030603104e-08,0.0
1880,3.273101478740159e-08,0.0
