year,aucun_DET honneur_NOUN,aucun_DET bonheur_NOUN
1800,1.351990706055517e-07,4.4018303668735825e-08
1801,1.2144030847593967e-07,3.5717739876872656e-08
1802,2.3721105435470236e-07,6.265952379180817e-08
1803,1.1311967540450496e-07,7.606323038089613e-08
1804,5.438072037122765e-08,3.707776485839531e-08
1805,1.9900143399809167e-07,7.675769619908124e-08
1806,9.509508203109363e-08,7.204172547403687e-08
1807,1.7935816742919997e-07,1.1103124819555887e-07
1808,1.8355198649899762e-07,6.345007363961486e-08
1809,1.219876537561504e-07,7.454800510231507e-08
1810,1.427477278603817e-07,1.0764583358024993e-07
1811,1.42903374467096e-07,6.267691787797958e-08
1812,4.800974817698034e-08,9.601949813031752e-08
1813,1.3803560250380542e-07,4.3136125782439194e-08
1814,1.5104049566616595e-07,9.440030979135372e-09
1815,9.170560133497929e-08,3.236668177919455e-08
1816,1.8772591658944293e-07,9.270415546325239e-09
1817,2.1484852652520203e-07,7.940054302935096e-08
1818,1.3351719019283337e-07,4.6492591110336434e-08
1819,1.78038064291286e-07,5.072014452878193e-08
1820,1.091716228529549e-07,1.4358442523842996e-07
1821,2.327311268146559e-07,6.80442688860694e-08
1822,1.3233812978796777e-07,5.213320264374488e-08
1823,9.38855251320092e-08,3.7554211518298075e-08
1824,1.2294824536240867e-07,5.894778709603088e-08
1825,2.1221117663117184e-07,3.5221771055304885e-08
1826,1.8672927382112903e-07,3.52319382557198e-08
1827,1.7328472939892592e-07,2.7651818612639545e-08
1828,1.1373653308055509e-07,4.6778735995900433e-08
1829,1.9032451348266477e-07,3.086343414171466e-08
1830,1.5550885312798357e-07,3.548524252217078e-08
1831,1.387617345471881e-07,4.365537620287796e-08
1832,1.244757186213974e-07,2.4353944638733083e-08
1833,1.6448753115128056e-07,3.359252431778259e-08
1834,1.381510590370283e-07,3.173740381612333e-08
1835,1.3537926690787572e-07,4.0840674842002045e-08
1836,2.2917757291907037e-07,7.191202761047677e-08
1837,2.1986934983786455e-07,3.75726116885744e-08
1838,2.3291877626618884e-07,5.175972606075163e-08
1839,1.5800734065596345e-07,3.705481976812308e-08
1840,1.662488742226742e-07,3.949206894837687e-08
1841,1.2584275133065148e-07,3.852329211184724e-08
1842,1.4825265592932624e-07,3.018719141323345e-08
