year,bien_ADV à_ADP,bien_ADV bas_ADJ,bien_ADV a_ADP
1800,1.1947824781088912e-05,2.703981465401739e-07,1.2576657937302116e-08
1801,1.3167939680869267e-05,2.28593535211985e-07,1.1905912700171939e-08
1802,1.3541170886810505e-05,2.1259481286506343e-07,2.6854081625060644e-08
1803,1.183855950515067e-05,1.3847407842604298e-07,1.755305234496518e-08
1804,1.2468016368671897e-05,1.928043786847411e-07,2.7190360185613827e-08
1805,1.306870884132394e-05,1.3930100806192058e-07,1.421438877713399e-08
1806,1.3742680234685167e-05,9.221341201737232e-08,3.1698359492793315e-08
1807,1.0257579436512287e-05,1.2811298688575334e-07,1.9928686256776018e-08
1808,1.096099994946087e-05,1.9941451512295316e-07,3.172503681980743e-08
1809,1.1098617008542533e-05,2.3042110797177884e-07,2.710836710662079e-08
1810,1.2039951785780545e-05,2.0359102848033217e-07,2.3401266702194334e-08
1811,1.1527538954503314e-05,3.2341290534532163e-07,2.5070768572277302e-08
1812,1.266923915821394e-05,5.601137331723294e-08,2.1337665856435706e-08
1813,1.2017724358770465e-05,2.3581081620704936e-07,2.0130191291656274e-08
1814,1.1365797632834074e-05,1.9824065589091333e-07,1.5733385705374303e-08
1815,1.076731633897765e-05,1.2676950689183286e-07,2.966945977789237e-08
1816,1.1778062946277146e-05,9.502176112619054e-08,1.622322720606917e-08
1817,1.216385172142509e-05,2.1951915130102861e-07,2.335310189671702e-08
1818,1.3329068849543546e-05,2.8610824642782973e-07,1.7881766511962383e-08
1819,1.1919233838142418e-05,1.8838910875729198e-07,2.173720581311045e-08
1820,1.4938713199796894e-05,2.1122336590906343e-07,2.254631414899677e-08
1821,1.4601906094924288e-05,2.554125444476085e-07,3.35290586406245e-08
1822,1.4992306432759506e-05,4.892500555797596e-07,3.0076847679083585e-08
1823,1.5880488659192338e-05,3.1723425308882724e-07,2.8659792761231984e-08
1824,1.543168869488909e-05,2.560018401709385e-07,2.6947561515555662e-08
1825,1.540248045905912e-05,3.152348710955266e-07,2.113306396545056e-08
1826,1.357750787711609e-05,2.7040510985898436e-07,8.80798456392995e-09
1827,1.293920758893563e-05,2.4057081304817984e-07,1.935627425009301e-08
1828,1.3641046298973336e-05,1.981217110369471e-07,1.7427371545863934e-08
1829,1.3727369257310329e-05,2.63196511696151e-07,1.8860986994440054e-08
1830,1.4054243179906223e-05,3.047556162982801e-07,1.8786305178153384e-08
1831,1.3544080980310014e-05,2.697278773666767e-07,2.8064170987107673e-08
1832,1.4616425598745764e-05,4.965498874298646e-07,3.111892965534935e-08
1833,1.4331265054678965e-05,3.4866721421167313e-07,1.5058717495186613e-08
1834,1.3782434944431543e-05,3.687139837893483e-07,2.240287422239362e-08
1835,1.5565591105826115e-05,4.2655815946091025e-07,1.739510224751939e-08
1836,1.6104933560967538e-05,4.3819289885504986e-07,1.612980005116782e-08
1837,1.6659278568198488e-05,4.369555597349972e-07,3.6181031504156635e-08
1838,1.617428296185608e-05,3.888291644216224e-07,2.4617431204632112e-08
1839,1.559658351268922e-05,3.481754617951083e-07,3.076249033284739e-08
1840,1.4556649583497006e-05,3.8918798850318126e-07,1.528725324106972e-08
1841,1.5241098004992182e-05,3.4542551929916954e-07,1.219904177673925e-08
1842,1.4714579442909326e-05,4.340247414802434e-07,2.750388583550034e-08
1843,1.3880059995585725e-05,4.3179520048397535e-07,2.0674189582514657e-08
1844,1.3810318035822888e-05,4.5061088371767255e-07,1.4270258974491412e-08
1845,1.396228868522087e-05,3.515543482990324e-07,1.2834524221183585e-08
1846,1.3859360911361307e-05,3.7410262621051515e-07,1.9905304071698993e-08
1847,1.2365583339501995e-05,3.3384054631824256e-07,1.0247124926365814e-08
1848,1.3716298127519622e-05,3.2019983109421446e-07,2.735375392859396e-08
1849,1.3052614640685078e-05,2.93279526886181e-07,2.262441967104678e-08
1850,1.4138762963966656e-05,3.523489056078688e-07,1.0862393651223101e-08
1851,1.2996908967721765e-05,2.721663179272582e-07,1.612359690206233e-08
1852,1.3994417759732869e-05,2.8906822535645915e-07,2.2135854038651814e-08
1853,1.4707674015568273e-05,2.723200793752767e-07,2.269334142823709e-08
1854,1.5137048485769355e-05,3.5174647905478196e-07,9.871762074453727e-09
1855,1.4128128157153697e-05,4.2508565911703045e-07,1.6982198758341838e-08
1856,1.4606404430850262e-05,4.711242240773572e-07,1.9673318418789165e-08
1857,1.538993458893856e-05,4.139519660384394e-07,3.8075771424672666e-08
1858,1.5956320186916173e-05,4.286860075808363e-07,2.1042807274440634e-08
1859,1.573532436793812e-05,4.6491541638715717e-07,1.985947650773312e-08
1860,1.4878594146949808e-05,4.952512995259895e-07,1.0069804767809387e-08
1861,1.6082850301302187e-05,4.466017742288386e-07,1.55626805886655e-08
1862,1.62159554335517e-05,4.450216408713459e-07,1.8071945939723832e-08
1863,1.540790633924871e-05,4.205470816032175e-07,2.1976332309492363e-08
1864,1.6462218841439835e-05,4.74198600386444e-07,1.8219966202437377e-08
1865,1.6471602059198176e-05,4.725671658434294e-07,1.6473955088969205e-08
1866,1.6188380172366124e-05,4.2087552287739527e-07,1.7516205930157014e-08
1867,1.6199655206605712e-05,4.04239187901112e-07,1.6984840200962026e-08
1868,1.6368766974750315e-05,4.6928803953960596e-07,2.272342025655405e-08
1869,1.6998065220263925e-05,4.1412241102989356e-07,1.7580668809635824e-08
1870,1.678298679053114e-05,3.950759719373309e-07,1.8922361455508963e-08
1871,1.647663269466193e-05,3.0376565973710967e-07,4.5671061599250606e-08
1872,1.6116763163154246e-05,4.4387471120899136e-07,3.1446165227322354e-08
1873,1.666862851834594e-05,3.9028748233249644e-07,3.352162369907319e-08
1874,1.7239136383295772e-05,4.0089628328132676e-07,1.3741600746186577e-08
1875,1.6869922191631304e-05,3.833423249943735e-07,2.9179788085809122e-08
1876,1.7110825879740332e-05,3.42204430126003e-07,2.0556449653597042e-08
1877,1.6483771446473838e-05,3.0862230460115825e-07,2.9068635498674666e-08
1878,1.5534348449364188e-05,3.8348213138306164e-07,3.2611078726318965e-08
1879,1.7260066606183955e-05,3.7938909258627973e-07,1.588424503040642e-08
