year,un_DET office_NOUN,un beau - fils
1800,4.779130078347293e-07,0.0
1801,6.667311325259107e-07,0.0
1802,7.51914285501698e-07,2.4635042894516346e-09
1803,4.563793662981652e-07,1.071427835341865e-08
1804,5.067294566174496e-07,1.3592027059416978e-08
1805,7.590483619424049e-07,3.122235137098528e-09
1806,1.0374009056235423e-06,0.0
1807,1.3893140722309738e-06,0.0
1808,1.3528461915157663e-06,9.960592350921615e-09
1809,9.57828953263018e-07,4.941918430034775e-09
1810,1.0811386115250343e-06,0.0
1811,1.2710878962707284e-06,3.035233930859249e-08
1812,1.0882209267037979e-06,2.920916841731014e-09
1813,1.4781311712397383e-06,1.2588261988355498e-08
1814,1.0163766877013813e-06,1.3757515127110764e-08
1815,8.442309837874973e-07,5.9128351104220656e-09
1816,1.042921775606942e-06,0.0
1817,7.208323888896473e-07,1.3648988606007606e-08
1818,8.404430298369903e-07,1.6943197067575966e-08
1819,1.1065272884636101e-06,5.653045143105828e-09
1820,8.520133683020958e-07,2.3307707763819963e-08
1821,9.91079604162337e-07,1.9440578924445617e-08
1822,1.1509407045195985e-06,1.0964762431342479e-09
1823,1.0475648224428369e-06,6.4775234065450604e-09
1824,6.593731400883485e-07,1.5618814686035876e-08
1825,7.687151626356581e-07,2.3065691578949554e-08
1826,9.662358859685583e-07,5.766354504999072e-09
1827,1.558640901677677e-06,2.7163767235549585e-08
1828,1.1382825602090918e-06,4.009243159686093e-09
1829,1.1993873840765445e-06,1.3111691288258953e-08
1830,1.153270404952167e-06,6.848352551713788e-09
1831,8.263339070779807e-07,0.0
1832,1.1906373558190353e-06,2.223940853696149e-08
1833,1.0286262077663366e-06,1.774329128068075e-08
1834,9.735915522668392e-07,4.091497474156824e-09
1835,1.2138756204649326e-06,8.299605447348313e-09
1836,9.78541194740501e-07,1.2483932110285423e-08
1837,1.0450752734314506e-06,6.07279027065033e-09
1838,1.0617055963280109e-06,7.570467530637615e-09
1839,1.0361366085120949e-06,1.8342189878062243e-08
1840,1.433179974696941e-06,2.3659033843159705e-08
1841,1.3849123536857633e-06,1.754947565046905e-08
1842,1.1249760873965897e-06,8.802249595873946e-09
1843,1.7076879714750248e-06,1.0972103114958998e-08
1844,1.486851203047479e-06,8.975960530399618e-09
1845,1.2862425844417658e-06,1.83012147658701e-08
1846,1.3916149796955324e-06,4.484623339351401e-09
1847,1.908661801053313e-06,5.890599674707175e-09
1848,1.6251347485507495e-06,1.1451721404487358e-08
1849,1.9700004987299735e-06,3.669684556228958e-09
1850,1.6863865717198223e-06,1.188810649921379e-08
1851,1.823901243369619e-06,1.6940564506739975e-08
1852,2.127646215654977e-06,9.273591672354087e-09
1853,1.4846222384790053e-06,1.9611126500507226e-08
1854,1.5815602800728357e-06,1.4207960141732201e-08
1855,1.7767625593023695e-06,1.454446935111875e-08
1856,1.7245217840411442e-06,1.0775166536802772e-08
1857,1.3370453686434303e-06,9.094485498017946e-09
1858,1.5199758180983736e-06,1.8227358400402238e-08
1859,1.7598551309561117e-06,1.0033669006759283e-08
1860,2.0643098395112247e-06,1.4050350327643457e-08
1861,1.3827206188921082e-06,1.1876840844138314e-08
1862,1.3508778913262631e-06,7.921736377980437e-09
1863,1.93691392702533e-06,1.2610010258207183e-08
1864,1.408691127746664e-06,6.824401710403549e-09
1865,2.4433229093290265e-06,1.0319211207754364e-08
1866,1.1852632937348062e-06,6.941097918655714e-09
1867,1.2088353269490426e-06,5.323331997431069e-09
1868,1.2280526773267297e-06,1.3524778408324778e-08
1869,1.2809470826269376e-06,1.1786086773213356e-08
