year,mon_DET office_NOUN,mon beau - fils
1800,1.0061326349841693e-07,3.4447684704730364e-09
1801,1.166779499683912e-07,0.0
1802,6.265952379180817e-08,0.0
1803,6.631153492975272e-08,6.4285670120511895e-09
1804,2.9662211797898408e-08,5.436811001402475e-09
1805,1.1087223206196484e-07,2.810011623388675e-08
1806,2.5935022129885965e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.1783585085467507e-07,4.980296175460808e-09
1809,1.1521055998109375e-07,2.965150969203023e-08
1810,9.594519490008224e-08,1.5385742457851848e-08
1811,2.5070766795920463e-08,1.9315123722662975e-08
1812,5.067695596494559e-08,0.0
1813,9.489947672136623e-08,3.7764785076888074e-08
1814,1.1957372914039865e-07,1.0318136567377678e-08
1815,6.473336622292436e-08,4.43462637722547e-08
1816,5.7940098940889584e-08,5.0662816164503965e-09
1817,8.095741854674543e-08,3.4122471515019015e-09
1818,1.0371424208344138e-07,6.516614359242112e-09
1819,1.0454560772643617e-07,1.1306090508256261e-09
1820,1.0442503484142662e-07,1.2948726535455535e-09
1821,1.5482535942190623e-07,6.480193093238995e-08
1822,1.0226128210888419e-07,3.947314297647608e-08
1823,1.2254531478461672e-07,2.051215730602962e-08
1824,3.031600703806703e-07,6.431276844409695e-09
1825,1.39125998499523e-07,4.420924026860007e-08
1826,1.224309835734516e-07,5.958566617891847e-08
1827,5.253845480890362e-08,1.2072785438022038e-08
1828,8.071624790773058e-08,2.004621502127435e-08
1829,6.00122338489939e-08,2.1540635941619257e-08
1830,1.2732939325132975e-07,3.9948723440375034e-08
1831,1.917718346344799e-07,7.01693778637491e-08
1832,1.0282776585768261e-07,4.447881618574456e-09
1833,1.3900354645102198e-07,3.8021337189775295e-09
1834,1.474855890748472e-07,1.534311522277676e-08
1835,1.792451769233594e-07,5.2287515650562e-08
1836,2.069991067443766e-07,3.818614757733485e-08
1837,2.6370406569498073e-07,4.1750432444587204e-08
1838,2.0830134261906608e-07,1.582915984954525e-07
1839,1.5171500589161724e-07,5.349805043408651e-09
1840,1.5096162542249658e-07,2.5050741925269904e-08
1841,1.8876413276913695e-07,6.80919640672073e-08
1842,1.4556934813114708e-07,3.154139349703655e-08
1843,1.1931960441913247e-07,1.6780863809628954e-08
1844,1.0757580187759075e-07,1.077115296954645e-08
1845,1.0100212799457609e-07,2.8671902629895385e-08
1846,1.305553789521241e-07,2.0501135011841143e-08
1847,1.3752720917636907e-07,1.6493679311224696e-08
1848,1.4964111727522322e-07,7.047213035349387e-09
1849,7.206296714912241e-08,9.174211612617e-09
1850,9.84404397996741e-08,1.8575166293999246e-08
1851,8.577753307648095e-08,2.1881563394554604e-08
1852,1.334661865470821e-07,3.78077205098748e-08
1853,1.0152284413145196e-07,1.7650014338954634e-08
1854,1.236568101248281e-07,2.5006009707340127e-08
1855,1.3108135021866474e-07,8.144903418383365e-09
1856,7.610468388818958e-08,1.928187609578913e-08
1857,1.293599903307019e-07,1.0164424857350696e-08
1858,1.2283127048817732e-07,2.3052248110388973e-08
1859,9.420520519221043e-08,7.692479186971468e-08
1860,1.5837055977740988e-07,3.6129471858714624e-08
1861,1.6081436005066507e-07,1.4458763075708703e-08
1862,1.2153383099899884e-07,1.83190143054901e-08
1863,1.4534346748362736e-07,1.3706532797641557e-08
1864,1.476776272379965e-07,9.449171778364018e-09
1865,1.2002453481096964e-07,2.012246169691423e-08
1866,1.1142253281137826e-07,8.54288983997975e-09
1867,1.5577524692389488e-07,3.247232527314736e-08
1868,1.3930444320298108e-07,5.950902437490413e-09
1869,1.259947914888926e-07,1.9286324759448803e-08
1870,1.301629013461536e-07,1.6336549890638707e-08
1871,1.2108142599664973e-07,1.7497388427045735e-08
1872,1.396935355169049e-07,2.7860749263197704e-08
1873,1.1133968430554475e-07,4.5922971203538054e-08
1874,1.3801347237274442e-07,1.9665492123621675e-08
1875,1.3388373137912524e-07,1.697481977203097e-08
1876,1.1910649089230674e-07,2.7227408327945568e-08
1877,1.8430752146691987e-07,6.467181901115282e-08
1878,6.642997396610895e-08,1.5952410059583144e-08
1879,1.1974277924764465e-07,1.3441058599461542e-08
1880,1.1937194166478093e-07,3.674831350330976e-08
1881,7.390857970079878e-08,3.457976482934555e-08
1882,1.1181047265829136e-07,4.2500275299062196e-08
1883,1.6619861870070807e-07,2.9956421343513284e-08
1884,1.3533479048533081e-07,1.8187106043399126e-08
1885,1.108649332892675e-07,1.7258063311764715e-07
1886,1.0519146287357728e-07,9.244901288951723e-09
1887,1.3776030516332582e-07,2.578539373132571e-07
1888,1.0462014254919438e-07,1.188133291751825e-08
1889,1.3532695319895538e-07,3.59531233118382e-08
1890,1.1601264127136801e-07,3.686777194644719e-08
1891,1.1154884782538232e-07,4.0055081029777284e-08
1892,1.222359951036367e-07,1.936812754621542e-08
1893,1.200891195374254e-07,7.472235941108352e-09
1894,1.0208493450569733e-07,2.7139356983951757e-08
1895,1.1435367164303045e-07,1.6604893460225867e-08
1896,1.0968473662664735e-07,1.1707837532792809e-08
1897,9.730611494340735e-08,9.662762145978832e-09
1898,7.242694310960474e-08,2.4970370160470878e-08
1899,7.849161143269612e-08,3.111209168071838e-08
1900,9.91491115875931e-08,2.409121857560592e-08
1901,5.868176006229575e-08,1.1717957271173418e-08
1902,6.82529441853319e-08,2.2169325930576633e-08
1903,8.640352233690862e-08,1.1325885174162664e-08
1904,8.169430198989858e-08,2.8489088421679298e-08
1905,5.88326547479312e-08,1.0826002316832728e-08
1906,4.5268822468358394e-08,1.872966848281976e-08
1907,9.565689018664614e-08,9.662272371091518e-09
1908,6.13923640813141e-08,2.0614485229941693e-08
1909,8.85658341109874e-08,4.792191621305619e-08
1910,8.55064081761725e-08,1.1206880756731152e-08
1911,6.650467432312013e-08,2.4074421789421763e-08
1912,7.345283847826067e-08,1.0920671367209422e-08
1913,7.689334774463319e-08,1.1702200097829518e-08
1914,7.366418053322832e-08,3.397832903928588e-08
1915,5.536958258556268e-08,2.5976195416888004e-08
1916,1.1317085579776176e-07,7.256016232304319e-09
1917,7.237840193852207e-08,2.0503739150967704e-08
1918,7.695872028534723e-08,1.3901465756305242e-08
1919,5.708866152032144e-08,1.1148440837160933e-08
1920,6.133507834960028e-08,2.4195792647230263e-08
1921,4.089283756059103e-08,1.0864047439440583e-08
1922,6.418803832897169e-08,2.6874826031253463e-08
1923,9.02355585807868e-08,3.754052668725194e-08
1924,8.250639538243121e-08,2.849811231442345e-08
1925,8.138651685918319e-08,2.4370372386783856e-09
1926,8.248142790989732e-08,1.3580273461322179e-08
1927,9.811317625008087e-08,2.221682415814996e-08
1928,7.65544745373603e-08,1.6447145867459767e-08
1929,8.355304914609007e-08,1.6045415662802043e-08
1930,9.138135315112095e-08,1.7438690491644593e-08
1931,7.869695739515237e-08,3.030851081220476e-08
1932,5.1509820520045935e-08,9.703055914300762e-09
1933,5.73533105452384e-08,1.7763168047579825e-08
1934,5.032263672433146e-08,2.9203187423831878e-08
1935,1.01730416979251e-07,1.459011245152908e-08
1936,5.941110181595377e-08,1.208006406017148e-08
1937,6.043736533456467e-08,1.1158072688033371e-08
1938,4.278520659983798e-08,1.577852282164116e-08
1939,5.047036655270176e-08,3.2190132670528726e-08
1940,1.0903866409783802e-07,1.4073074927622997e-08
1941,1.416721193692183e-07,1.968578100530749e-08
1942,1.1530004462301235e-07,1.0093186730841808e-08
1943,1.422585251820152e-07,3.2113727232996325e-09
1944,6.105053707017305e-08,1.7747252556432613e-08
1945,1.0892520085903357e-07,6.728293655555717e-08
1946,7.517396127809661e-08,2.0016565738245617e-08
1947,6.437270316794752e-08,1.8434959891955316e-08
1948,5.0010685814783074e-08,2.1657717841350177e-08
1949,1.0700538888297473e-07,3.1366617081474146e-08
1950,5.849448725392392e-08,8.233934867263315e-09
1951,1.0768015812345766e-07,1.7698589260817243e-08
1952,4.323369462433391e-08,2.3360564149754737e-08
1953,6.464296531394353e-08,2.262569598343589e-08
1954,8.502106618735183e-08,1.6210085274082076e-08
1955,6.569925625754536e-08,1.7659303797046277e-08
1956,5.232685129641368e-08,1.0611580059105563e-08
1957,5.477723308278115e-08,1.6623920018332683e-08
1958,4.7151786142229923e-08,2.744675597909918e-08
1959,6.898165372248855e-08,8.574415288897796e-09
1960,8.097375214788372e-08,4.2093511565255426e-08
1961,1.2089797030157e-07,9.968567804552464e-09
1962,5.70776071961987e-08,3.147416094417821e-08
1963,6.20741111845291e-08,1.4264366798855121e-08
1964,6.692365223104346e-08,3.355656585934952e-09
1965,6.566452032119585e-08,1.2671112714635058e-08
1966,5.317511664326702e-08,1.222115009191782e-08
1967,6.310829503419768e-08,1.3579716962031085e-08
1968,6.602381263931534e-08,1.9763736647249175e-08
1969,8.765592729442773e-08,2.2966606838537018e-08
1970,9.427386582494535e-08,4.5520895941564277e-08
