year,en_ADP arrière_NOUN,en_ADP barrières_NOUN
1800,2.1330012515363705e-05,1.5720821977538435e-08
1801,2.477858538441069e-05,0.0
1802,2.9423122668958968e-05,0.0
1803,2.9196577287393666e-05,1.950339223455444e-09
1804,2.0214797473272483e-05,4.943701892301533e-09
1805,6.263428338115773e-05,2.842877755426798e-08
1806,1.8313007785764057e-05,0.0
1807,1.657497266194241e-05,5.693910232196231e-09
1808,1.4999143886029742e-05,2.2660739951163578e-09
1809,1.8941971717367778e-05,0.0
1810,1.803769616515183e-05,1.8721014072298203e-08
1811,1.642887400521431e-05,0.0
1812,2.374348741795984e-05,2.6672082320544632e-09
1813,2.0883636111079795e-05,0.0
1814,2.412242650962071e-05,6.293354282149721e-09
1815,2.5995840815085103e-05,0.0
1816,3.0381468718587712e-05,0.0
1817,3.575048363302358e-05,0.0
1818,3.074113941181622e-05,0.0
1819,2.5547426304228793e-05,0.0
1820,2.6482426619622856e-05,7.119888678630559e-09
1821,2.5183282389207307e-05,9.86148829262845e-10
1822,2.7264662264769868e-05,0.0
1823,3.287574594423859e-05,0.0
1824,2.9997687420291186e-05,2.5263338088166165e-09
1825,4.0724295274685574e-05,0.0
1826,2.875102217103631e-05,2.642395191543301e-09
1827,2.9820642794220475e-05,9.217273055917019e-10
1828,3.89639349123172e-05,9.172301251858528e-10
1829,3.793373059579608e-05,0.0
1830,3.335195219733578e-05,0.0
1831,3.761690203418766e-05,4.677361609140007e-09
1832,4.0170479053358576e-05,5.411987746839486e-09
1833,3.830242656022165e-05,6.950177322551099e-09
1834,4.4937365714758926e-05,9.334530925997342e-10
1835,4.5692394053276075e-05,0.0
1836,3.6353882251205505e-05,2.016224964762614e-09
1837,4.9215946432923374e-05,6.957890930081589e-10
1838,4.37388626437496e-05,6.312161904276081e-10
1839,4.0095412600749114e-05,6.9914751765765e-10
1840,3.6820621232891426e-05,1.2739377330817092e-09
1841,3.7407401521249994e-05,2.5682194149112547e-09
1842,3.152683342477758e-05,0.0
1843,3.5012624152841454e-05,2.3627644285539873e-09
1844,3.4826568423795834e-05,1.6465684371524958e-09
1845,4.170327656538575e-05,0.0
1846,3.5035678934036696e-05,0.0
1847,2.8570601671162876e-05,4.853901280910122e-09
1848,3.2644291138694825e-05,1.6090443422100975e-09
1849,3.179066226266514e-05,8.379414495607307e-09
1850,3.662324002107198e-05,4.073397619208663e-09
1851,3.722551696228038e-05,0.0
1852,3.4917358732400317e-05,2.6042181744401205e-09
1853,3.929591031237578e-05,1.1943863675867306e-09
1854,3.333642280267668e-05,1.0391328908454511e-09
1855,3.885155422267417e-05,1.0613874223963649e-09
1856,3.3403741952042765e-05,3.1063134287023786e-09
1857,3.877919596106949e-05,1.4644527812635033e-09
1858,3.4619823395587446e-05,0.0
1859,4.141362757081879e-05,5.092173349652285e-09
1860,4.012176481182905e-05,1.8308735638683515e-09
1861,3.409641885809833e-05,1.8863854922557266e-09
1862,3.341773646070578e-05,4.517986262886353e-10
1863,3.42266391726298e-05,9.989241434027463e-09
1864,3.5342899025181396e-05,1.1986819536957682e-08
1865,3.3232676059924415e-05,7.0602665935837194e-09
1866,4.056802134755344e-05,4.865612801552288e-09
1867,4.171767875504884e-05,7.76449837758264e-09
1868,4.5632088358615874e-05,8.89177353968762e-09
1869,4.5011884367340826e-05,4.883519366671862e-09
1870,4.661036410880115e-05,8.027668307875047e-09
1871,5.58567702455548e-05,4.248470908407853e-09
1872,4.765545099871815e-05,3.628403577593531e-09
1873,4.7986207277972426e-05,1.2570609442263958e-08
1874,6.383630932305095e-05,1.4339061493728877e-08
1875,4.6754603999943356e-05,9.7265964171811e-09
1876,4.638562859327067e-05,1.0278225381910033e-08
1877,5.028193731959618e-05,8.658742167710898e-09
1878,4.3730851643886126e-05,2.4760263173106978e-08
1879,3.859994069443928e-05,3.665595160740054e-09
1880,4.1153797837978345e-05,3.2089231272180996e-09
1881,3.679461951833218e-05,9.064259565150223e-09
1882,3.860323147364397e-05,4.6587693702804245e-09
1883,3.956222099077422e-05,3.159669414998234e-09
1884,4.0170667261918425e-05,1.0562715146988921e-08
1885,3.936994141895411e-05,2.5782542767416317e-09
1886,3.969848262386222e-05,6.453463874400711e-10
1887,4.776757009494759e-05,0.0
1888,4.318022149618628e-05,6.340614699951175e-09
1889,4.067702502652537e-05,3.759081934617825e-09
1890,3.732395373390318e-05,1.0487018364813139e-08
1891,4.3501500954334915e-05,5.736798147637501e-09
1892,3.737663030278782e-05,1.0656471260972467e-08
1893,3.978521715453098e-05,1.847525021858587e-09
1894,4.014836804344668e-05,8.192000855444803e-09
1895,4.4671964133158326e-05,1.3240951446391591e-08
1896,3.933907964892569e-05,1.179405795248556e-09
1897,4.1792685010477726e-05,1.1070755867592652e-08
1898,4.045214382131235e-05,3.3950129374460403e-09
1899,4.083774808805174e-05,5.527578395003729e-09
1900,3.640433692453371e-05,7.26747462209687e-09
1901,4.100345904589631e-05,9.500856101851696e-09
