year,en_ADP arrière_NOUN,en_ADP barrière_NOUN
1800,2.1330012515363705e-05,6.288328968651058e-09
1801,2.477858538441069e-05,7.143547975374531e-09
1802,2.9423122668958968e-05,4.475680270843441e-09
1803,2.9196577287393666e-05,1.950339223455444e-09
1804,2.0214797473272483e-05,4.943701892301533e-09
1805,6.263428338115773e-05,8.528633133053631e-09
1806,1.8313007785764057e-05,1.4408345627714425e-08
1807,1.657497266194241e-05,1.4234775136401367e-08
1808,1.4999143886029742e-05,0.0
1809,1.8941971717367778e-05,0.0
1810,1.803769616515183e-05,1.1700633351097167e-08
1811,1.642887400521431e-05,0.0
1812,2.374348741795984e-05,0.0
1813,2.0883636111079795e-05,2.8757416448144113e-09
1814,2.412242650962071e-05,1.5733386149463513e-08
1815,2.5995840815085103e-05,2.697223555614414e-09
1816,3.0381468718587712e-05,2.3176038865813098e-09
1817,3.575048363302358e-05,1.556873407970727e-09
1818,3.074113941181622e-05,1.1921176934492905e-08
1819,2.5547426304228793e-05,9.315945348475907e-09
1820,2.6482426619622856e-05,5.933240565525466e-09
1821,2.5183282389207307e-05,9.861488514673056e-09
1822,2.7264662264769868e-05,5.012807946513931e-09
1823,3.287574594423859e-05,2.964806067318193e-09
1824,2.9997687420291186e-05,0.0
1825,4.0724295274685574e-05,2.641632912414593e-09
1826,2.875102217103631e-05,8.807984341885344e-10
1827,2.9820642794220475e-05,0.0
1828,3.89639349123172e-05,1.5592912128159497e-08
1829,3.793373059579608e-05,1.714635211591542e-09
1830,3.335195219733578e-05,1.0436835395921662e-08
1831,3.761690203418766e-05,9.354723218280014e-09
1832,4.0170479053358576e-05,1.3529969367098715e-09
1833,3.830242656022165e-05,2.3167257001688313e-09
1834,4.4937365714758926e-05,1.5868701908061666e-08
1835,4.5692394053276075e-05,6.050470346963266e-09
1836,3.6353882251205505e-05,4.704525213838906e-09
1837,4.9215946432923374e-05,6.957891152126194e-09
1838,4.37388626437496e-05,1.8936485712828244e-09
1839,4.0095412600749114e-05,6.9914749545318955e-09
1840,3.6820621232891426e-05,1.3376346252869098e-08
1841,3.7407401521249994e-05,2.5682194149112547e-09
1842,3.152683342477758e-05,4.024959032733477e-09
1843,3.5012624152841454e-05,5.906911071384968e-10
1844,3.4826568423795834e-05,1.097712254427563e-09
1845,4.170327656538575e-05,5.580227946389016e-10
1846,3.5035678934036696e-05,1.1709002656346001e-09
1847,2.8570601671162876e-05,5.393223645455691e-10
1848,3.2644291138694825e-05,8.04522137798358e-09
1849,3.179066226266514e-05,1.2569122853633985e-08
1850,3.662324002107198e-05,8.146795238417326e-09
1851,3.722551696228038e-05,3.8696632564949596e-09
1852,3.4917358732400317e-05,5.859491114534876e-09
1853,3.929591031237578e-05,1.7915795513800958e-09
1854,3.333642280267668e-05,4.67609800880453e-09
1855,3.885155422267417e-05,2.1227748447927297e-09
1856,3.3403741952042765e-05,3.1063134287023786e-09
1857,3.877919596106949e-05,1.3180074920349227e-08
1858,3.4619823395587446e-05,9.787352039936081e-10
1859,4.141362757081879e-05,5.601390684617513e-09
1860,4.012176481182905e-05,1.2358396972445007e-08
1861,3.409641885809833e-05,1.4619487842537637e-08
1862,3.341773646070578e-05,3.6143890103090826e-09
1863,3.42266391726298e-05,1.6981710260211003e-08
1864,3.5342899025181396e-05,4.794728170054441e-09
1865,3.3232676059924415e-05,4.706844358715045e-10
1866,4.056802134755344e-05,2.919367858567057e-09
1867,4.171767875504884e-05,1.747012134956094e-08
1868,4.5632088358615874e-05,9.385760946223343e-09
1869,4.5011884367340826e-05,2.9301114867763545e-09
1870,4.661036410880115e-05,1.204150246181257e-08
1871,5.58567702455548e-05,3.18635318130589e-09
1872,4.765545099871815e-05,2.4189357183956872e-09
1873,4.7986207277972426e-05,1.7958012854535355e-09
1874,6.383630932305095e-05,4.182226565063729e-09
1875,4.6754603999943356e-05,1.1443053948845261e-08
1876,4.638562859327067e-05,1.6928841217733748e-08
1877,5.028193731959618e-05,8.040260901509555e-09
1878,4.3730851643886126e-05,1.2682086381055058e-08
1879,3.859994069443928e-05,6.720257683667796e-09
1880,4.1153797837978345e-05,9.626769825743509e-09
1881,3.679461951833218e-05,4.880755410940907e-09
1882,3.860323147364397e-05,1.1314154724217929e-08
1883,3.956222099077422e-05,1.0742875922176154e-08
1884,4.0170667261918425e-05,2.706695756415911e-08
1885,3.936994141895411e-05,1.0957580620640783e-08
1886,3.969848262386222e-05,9.034849313138693e-09
1887,4.776757009494759e-05,1.1752063988623718e-08
1888,4.318022149618628e-05,5.07249175996094e-09
1889,4.067702502652537e-05,1.3783300722991498e-08
1890,3.732395373390318e-05,7.209825181320184e-09
