year,en_ADP ail_NOUN,en_ADP bail_NOUN
1800,1.2576658381391326e-08,9.432493897065797e-09
1801,3.809892001882531e-08,4.286128785224719e-08
1802,5.370816325012129e-08,4.923248297927785e-08
1803,5.070882025393075e-08,8.581492494386112e-08
1804,7.909923027682453e-08,2.9662210465630778e-08
1805,2.5585899399160894e-08,4.264316544322355e-08
1806,6.627838811112952e-08,1.2103009794373065e-07
1807,1.2241906865995134e-07,2.1067468480850948e-07
1808,1.0877154954513912e-07,5.6651849433819734e-08
1809,9.93973401364201e-08,1.0391540428145163e-07
1810,2.9251585464962204e-07,6.552355102940055e-08
1811,1.253538335355131e-07,3.259199843341776e-08
1812,1.8137015445063298e-07,1.1735716043403954e-07
1813,1.2078114730584844e-07,4.3136125782439194e-08
1814,1.0698702368472368e-07,2.8320094713762956e-08
1815,5.664169577812572e-08,2.1847510822681215e-07
1816,4.6352077731626196e-08,1.228330006597389e-07
1817,3.892183608744659e-08,1.71256075987003e-08
1818,5.602953323524673e-08,4.172412104708201e-08
1819,1.2214239364372048e-07,1.1489665752151268e-07
1820,2.966620371580575e-08,1.779972080839798e-08
1821,4.43766958735381e-08,9.368413600441272e-08
1822,3.107940926838637e-08,8.521773509073682e-08
1823,3.755420863171821e-08,6.423746157224741e-08
1824,3.3684449896043134e-08,9.684279689281539e-08
1825,3.258013947515792e-08,1.2767893053933221e-07
1826,2.4662355713189754e-08,2.906634755106552e-08
1827,4.147772969531616e-08,1.1890282536342056e-07
1828,4.3109815550668174e-08,8.988855171310206e-08
1829,1.0545006362550069e-07,4.715246859632316e-08
1830,6.053364676184003e-08,6.157733167810875e-08
1831,7.483779085326603e-08,4.5214498811674275e-08
1832,7.035583848846727e-08,6.764985016616265e-08
1833,3.938433579264711e-08,7.992703388026712e-08
1834,7.000897994657862e-08,3.267085801894609e-08
1835,5.596685070941021e-08,8.546289365085613e-08
1836,6.653542283796554e-08,7.997692819117219e-08
1837,7.792837530828933e-08,1.0019363116953173e-07
