year,en_ADP ans_NOUN,en_ADP bancs_NOUN
1800,1.006132621661493e-07,1.540640539587912e-07
1801,9.28661236798689e-08,3.1907845254863787e-07
1802,9.175144555229053e-08,1.7007585029205075e-07
1803,9.946729906396001e-08,2.9840191473340383e-07
1804,9.887404028852131e-08,1.1617699158250616e-07
1805,6.25433098644379e-08,2.3311596919484145e-07
1806,1.6137346481315262e-07,2.420601958874613e-07
1807,1.5088862248546775e-07,7.117387781363504e-07
1808,1.427626639127766e-07,2.3793776904312836e-07
1809,7.906607124574805e-08,4.3373387370593264e-07
1810,1.4508786394529238e-07,2.386929338626942e-07
1811,8.273353602206157e-08,4.938941060572688e-07
1812,9.068508077803017e-08,3.280666192040371e-07
1813,7.476928232108548e-08,2.7894694198948855e-07
1814,3.1466771410748606e-08,1.950939889638903e-07
1815,4.855002422310406e-08,4.1537242623235215e-07
1816,5.7940095388175905e-08,2.897004947044479e-07
1817,6.383180817248757e-08,6.959224378988438e-07
1818,6.318223921830679e-08,3.1471907391278364e-07
1819,1.066158181739496e-07,9.284892144023615e-07
1820,4.509263007435038e-08,1.1391821885808895e-07
1821,1.0354562518521959e-07,3.70791951809224e-07
1822,1.3334069137727056e-07,7.609442604916694e-07
1823,4.348382143248841e-08,3.9530746676064155e-07
1824,5.557934468214398e-08,1.978961421400527e-07
1825,4.138558074018306e-08,2.896990736189764e-07
1826,3.435113959948666e-08,3.4527297998465656e-07
1827,6.544263980723386e-08,5.75157855564612e-07
1828,4.035812389835414e-08,4.283464818399807e-07
1829,5.658296359234427e-08,4.766685890444933e-07
1830,2.7135772739939057e-08,5.667201889991702e-07
1831,4.989185842241284e-08,3.4612477861628577e-07
1832,3.9236911608675484e-08,3.5989717162010493e-07
1833,3.938433690287013e-08,4.297526174923405e-07
1834,4.760610661236342e-08,5.81541257815843e-07
1835,9.756383434478266e-08,3.8798640389359207e-07
1836,3.09154504218867e-08,1.6264215219052858e-07
1837,3.478945287405111e-08,2.379598669222105e-07
1838,3.282324301245865e-08,2.6763567007037636e-07
1839,6.711815891957684e-08,2.8525218453978596e-07
1840,6.369688487772862e-08,1.8153612302285183e-07
1841,9.052973348744331e-08,3.4606756571520236e-07
1842,7.24492630332918e-08,1.690482775984492e-07
1843,3.544146692791017e-08,2.1264879990212648e-07
1844,3.402907938765409e-08,2.0197904859742266e-07
1845,2.566904799827796e-08,2.4329793291144597e-07
1846,3.2785206105501175e-08,2.4881632043616264e-07
1847,2.1572895470001185e-08,3.4840223861465347e-07
1848,1.930853293918844e-08,1.0418561942060478e-06
1849,4.7762666932626985e-08,3.2344541978091e-07
1850,3.2587180065490884e-08,2.3354147060672403e-07
1851,3.4826968864365426e-08,2.986090237300232e-07
1852,2.79953455972759e-08,2.0768639785728737e-07
1853,6.270528518648177e-08,3.5831590139423497e-07
1854,3.273268556203135e-08,2.187374690265642e-07
1855,2.4411910715116392e-08,3.3911328500835225e-07
1856,1.501384794266869e-08,7.284305070243136e-07
1857,4.58861838525948e-08,4.940087023896922e-07
1858,5.285170184832211e-08,2.897056106121454e-07
1859,2.9025388315062628e-08,2.4340587856386264e-07
1860,1.968189100587381e-08,3.405424706670601e-07
1861,1.9807047502151676e-08,1.9618408941823873e-07
1862,3.252950275811628e-08,3.0496406111524266e-07
1863,2.6970952249349978e-08,2.0677730105944647e-07
1864,1.821996631345968e-08,2.7377896572033933e-07
1865,2.07101151783462e-08,2.767624494026677e-07
1866,3.113992252945508e-08,2.5933715619430586e-07
1867,3.299911810472622e-08,3.2174139619201014e-07
1868,4.8410764397210926e-08,3.724665020854445e-07
1869,5.4207061062072626e-08,4.5172552631811413e-07
1870,2.2362789842134134e-08,3.744333980648662e-07
1871,6.054070955663349e-08,3.1969744895832264e-07
1872,3.5679300403046454e-08,4.039622751861316e-07
1873,5.566984112581608e-08,4.980355470252107e-07
1874,3.166542839050379e-08,4.648245806038176e-07
1875,3.204055232242098e-08,8.176062351594737e-07
1876,3.143927651549916e-08,8.343500326191133e-07
1877,2.4120781705327943e-08,3.5624540828393947e-07
1878,3.502671280797287e-08,4.468925567380211e-07
1879,2.627009876299269e-08,4.2948556711053243e-07
1880,5.519347645588368e-08,4.691445667504013e-07
1881,3.2770786140279284e-08,3.228271054922516e-07
1882,4.192892699705908e-08,4.359277170351561e-07
1883,3.854796920554904e-08,4.891168146059499e-07
1884,2.970763635090634e-08,6.733731083841121e-07
1885,3.351730637479733e-08,1.083511392607761e-06
1886,2.9040586768669385e-08,6.175964699650649e-07
1887,3.7867761704113434e-08,8.938097835198278e-07
1888,2.5996519825710607e-08,7.798956289661874e-07
1889,2.5060547192978788e-08,7.449247618751542e-07
1890,3.211649518553017e-08,7.511326884923619e-07
1891,3.4420787553557375e-08,5.615688110083283e-07
1892,3.447681917734258e-08,5.497485631167365e-07
1893,1.9706933140906102e-08,7.322357191696938e-07
1894,2.5836310646454308e-08,6.515791710626218e-07
1895,2.708376523052891e-08,7.059834956635314e-07
1896,2.594692793955744e-08,6.020866862854746e-07
1897,2.38895258020122e-08,7.166857471929688e-07
1898,2.150174849280262e-08,6.048781528988911e-07
1899,2.819064981451902e-08,6.809976866861689e-07
1900,2.0764212682600203e-08,1.0081025720865e-06
1901,2.5149324622830704e-08,5.761989996244665e-07
1902,3.191684577741327e-08,4.753154883019306e-07
1903,2.4300991663395166e-08,8.856360977915756e-07
