year,en_ADP os_NOUN,en_ADP bosses_NOUN
1800,2.389564883742423e-07,7.231578535993322e-08
1801,1.7620750725200196e-07,5.2386017301842e-08
1802,4.184761053238617e-07,2.9091921760482364e-08
1803,2.691468239390815e-07,2.145373123596528e-08
1804,1.7055771195373381e-07,1.730295728918918e-08
1805,3.5820258403873595e-07,2.2743021688143017e-08
1806,3.976703339958476e-07,1.4408345627714425e-08
1807,2.391442421867396e-07,2.2775640928784924e-08
1808,1.3369836437959748e-07,6.798221985349073e-09
1809,1.9201759471343394e-07,2.25903047379461e-08
1810,2.223120389999167e-07,5.148278958699848e-08
1811,2.8329966994533606e-07,7.521229861140455e-09
1812,2.2137828636914492e-07,5.3344164641089264e-09
1813,3.134558426154399e-07,8.052076339026826e-08
1814,2.454408161156607e-07,1.8880061958270744e-08
1815,1.6992508733437717e-07,5.933891955578474e-08
1816,2.2248997311180574e-07,9.270415546325239e-09
1817,1.7748357095115352e-07,4.670620334934483e-09
1818,2.527289666431898e-07,1.9073883805731384e-08
1819,3.105315045104362e-07,3.1053151161586356e-08
1820,2.408895625194418e-07,1.898636980968149e-08
1821,2.692186171771027e-07,1.577838126820552e-08
1822,2.7871212182617455e-07,7.017931125119503e-09
1823,3.024102284143737e-07,2.3718449426723964e-08
1824,2.6442293687978236e-07,8.421112696055388e-09
1825,2.764909083907696e-07,3.169959583715354e-08
1826,2.589547420939198e-07,4.7563116112314674e-08
1827,3.4564774864520587e-07,1.6591091167583727e-08
1828,2.595761259271967e-07,7.337841001486822e-09
1829,3.0349042390298564e-07,2.743416338546467e-08
1830,3.1832348668103805e-07,2.2961039292113128e-08
1831,3.492430096230237e-07,6.236482441579483e-09
1832,3.9236911675288866e-07,1.7588959622116818e-08
1833,5.421138098427036e-07,1.7375443306377747e-08
1834,4.5085783995091333e-07,3.733812370398937e-09
1835,5.347102955965966e-07,4.5378527602224494e-08
1836,4.4222534256732615e-07,1.8818100855355624e-08
1837,5.621976129077666e-07,6.957891152126194e-09
1838,4.778306674779742e-07,1.3886756633496589e-08
1839,5.411401957644557e-07,1.2584655095793096e-08
1840,4.955617782798072e-07,6.3696887764308485e-09
1841,6.670949801446113e-07,9.630822361827995e-09
1842,5.903273176954826e-07,2.95163662400455e-08
1843,5.03268836382631e-07,1.8311423488626133e-08
1844,4.807979507859272e-07,1.866110821424627e-08
1845,5.864819740963867e-07,7.254296274794569e-09
1846,5.632030024571577e-07,9.367202125076801e-09
